Date,T_Max,T_Min,Tav,Rain,Evap,Radn,VP,RHAv,RHmaxT,RHminT,Mlake
29/01/2014 00:00,24.1,12.4,18.25,0,7.5,26.8,12.7,65.3,42.3,88.3,6
30/01/2014 00:00,30.2,10,20.1,0,8.2,29.6,12.4,64.45,28.9,100,6.9
31/01/2014 00:00,26.8,15.5,21.15,0,8.4,26.4,13.4,57.05,38,76.1,6.2
01/02/2014 00:00,26.6,12.6,19.6,0,7.8,29.9,11.2,54.5,32.2,76.8,6.8
02/02/2014 00:00,34.6,15,24.8,0,7.9,18,14.6,56.1,26.5,85.7,4.7
03/02/2014 00:00,33.7,19,26.35,0,8.7,16,13.9,44.95,26.6,63.3,4.5
04/02/2014 00:00,23.5,20,21.75,3.8,4.2,7,22.5,87,77.7,96.3,2
05/02/2014 00:00,22.2,13.8,18,0.2,7.2,26.7,11.6,58.5,43.4,73.6,5.9
06/02/2014 00:00,25,10.2,17.6,0,6,29.1,11.7,65.5,36.9,94.1,6.4
07/02/2014 00:00,33.3,12.2,22.75,0,7.1,27.8,17.8,67.4,34.8,100,7
08/02/2014 00:00,36.6,17.1,26.85,0,8.4,26.8,17.2,58.15,28,88.3,7.1
09/02/2014 00:00,38.1,20.3,29.2,0,8.7,24.2,17.8,50.75,26.7,74.8,6.8
10/02/2014 00:00,32.4,19.4,25.9,0,8.2,24.1,21.2,68.9,43.6,94.2,6.5
11/02/2014 00:00,20.9,18.3,19.6,2,2.8,7.8,20,88.05,81,95.1,2.2
12/02/2014 00:00,24.3,15.7,20,9.6,5,16.5,18.9,81.1,62.2,100,4
13/02/2014 00:00,27.5,12.9,20.2,0,5.7,19.5,15.8,71.5,43,100,4.6
14/02/2014 00:00,25.2,13.8,19.5,0.2,4.9,24.8,15.4,72.9,48.1,97.7,5.7
15/02/2014 00:00,25.3,16.3,20.8,0,4.7,16.2,18.1,76.9,56.1,97.7,4
16/02/2014 00:00,30,13.6,21.8,0,6.9,27.1,16.5,69.45,38.9,100,6.6
17/02/2014 00:00,26.5,15.2,20.85,0,7.2,25.7,18.2,76.3,52.6,100,6.2
18/02/2014 00:00,26.1,12.9,19.5,0,6.3,26.7,16.2,73.95,47.9,100,6.2
19/02/2014 00:00,32.3,12.1,22.2,0,6.6,25.7,16.2,66.75,33.5,100,6.2
20/02/2014 00:00,34.6,16.7,25.65,0,9.3,18.6,12.7,44.95,23.1,66.8,4.8
21/02/2014 00:00,25.3,15.8,20.55,0,7.3,20.4,18.4,78.55,57.1,100,4.9
22/02/2014 00:00,24.4,14.8,19.6,0,7,22.7,16,73.75,52.4,95.1,5.2
23/02/2014 00:00,22.7,10.2,16.45,0.1,6.8,26.4,10.5,61.25,38.1,84.4,5.6
24/02/2014 00:00,25,10.3,17.65,0,6.7,26.7,12.5,69.65,39.5,99.8,5.9
25/02/2014 00:00,28.2,9.9,19.05,0,6.7,26.5,12.1,65.45,31.6,99.3,5.9
26/02/2014 00:00,34.8,12.8,23.8,0,6.8,21.8,13.3,56.95,23.9,90,5.3
27/02/2014 00:00,25.1,16.2,20.65,0,6.5,20.1,16,68.55,50.2,86.9,4.7
28/02/2014 00:00,21.8,12.1,16.95,0,6.4,24.1,10.2,55.7,39.1,72.3,5
01/03/2014 00:00,22.3,9.5,15.9,0,7.8,25.7,9.5,57.7,35.3,80.1,5.3
02/03/2014 00:00,24.4,9.3,16.85,0,6.5,25.8,11.2,66.2,36.7,95.7,5.5
03/03/2014 00:00,28.2,10,19.1,0,6.3,25.4,13.1,67.15,34.3,100,5.7
04/03/2014 00:00,30.5,11.9,21.2,0,4.8,18.1,14.4,66.5,33,100,4.2
05/03/2014 00:00,27.6,14.8,21.2,0,5.1,20.5,18.4,74.9,49.8,100,4.9
06/03/2014 00:00,25.6,13.6,19.6,0.2,3.5,18.2,14.1,66.8,43,90.6,4.1
07/03/2014 00:00,24,11.1,17.55,0.4,3.2,16.1,14.8,74.8,49.6,100,3.5
08/03/2014 00:00,19.1,13.7,16.4,15.6,2.8,7.8,15.9,85.95,71.9,100,2.1
09/03/2014 00:00,19.4,13.7,16.55,4,5.2,15.2,13.5,73.1,60,86.2,3.1
10/03/2014 00:00,19.6,11.1,15.35,0,4.3,13.9,11.1,66.4,48.7,84.1,2.8
11/03/2014 00:00,21.5,7.8,14.65,0,5.1,20.9,12.3,74,48,100,4.1
12/03/2014 00:00,27.2,10.5,18.85,0,5.3,20,11.8,62.85,32.7,93,4.3
13/03/2014 00:00,30.4,12.4,21.4,0,6.5,20.3,13.4,62,30.9,93.1,4.6
14/03/2014 00:00,29.7,15.1,22.4,0,5.6,12.6,12.4,51,29.7,72.3,3.1
15/03/2014 00:00,31.1,17.1,24.1,0,6.6,20.7,13.5,49.6,29.9,69.3,5
16/03/2014 00:00,31.3,11.3,21.3,0.1,5.2,16.9,14.2,65.55,31.1,100,3.9
17/03/2014 00:00,32.9,15.6,24.25,0,6,15.6,12.5,47.8,25,70.6,3.8
18/03/2014 00:00,32.7,19.3,26,0,5.4,13.4,17.3,56.15,35,77.3,3.7
19/03/2014 00:00,23.5,18.1,20.8,1.8,3.9,14.7,20.4,84.4,70.5,98.3,3.5
20/03/2014 00:00,24.1,10.4,17.25,0,4.1,17.5,16.1,76.85,53.7,100,3.6
21/03/2014 00:00,23.2,13.6,18.4,0,4.7,19.2,17.3,80.45,60.9,100,4.1
22/03/2014 00:00,21.7,9.7,15.7,0,4.7,21.2,12.3,73.7,47.4,100,4.2
23/03/2014 00:00,21.7,8.5,15.1,0,4.1,17.4,13.2,75.45,50.9,100,3.4
24/03/2014 00:00,24.6,10.4,17.5,0,4.2,18.4,14.7,73.75,47.5,100,3.8
25/03/2014 00:00,31.5,11.6,21.55,0,6.7,19.4,14.8,66,32,100,4.4
26/03/2014 00:00,27.1,12.3,19.7,0,3.3,13,14,68.45,39,97.9,2.9
27/03/2014 00:00,23.7,15.2,19.45,0,2.6,6.7,16.7,76.85,57,96.7,2.1
28/03/2014 00:00,20.2,15.9,18.05,0,1,5.1,18.8,89.75,79.5,100,1.4
29/03/2014 00:00,21.8,16.9,19.35,10.6,4.3,17.6,19,85.75,72.8,98.7,3.9
30/03/2014 00:00,21.4,10.7,16.05,0,3.9,19.1,14.2,77.85,55.7,100,3.8
31/03/2014 00:00,22.9,8.5,15.7,0,3.8,20.1,13.7,74.55,49.1,100,4
01/04/2014 00:00,22.5,9.2,15.85,0,2.5,16.5,13.4,74.6,49.2,100,3.2
02/04/2014 00:00,23.1,9.5,16.3,0,4,18.3,14.2,75.15,50.3,100,3.6
03/04/2014 00:00,21.1,7.9,14.5,0,2.9,17.3,10.3,68.95,41.2,96.7,3.1
04/04/2014 00:00,25.7,9.8,17.75,0,3.2,16.5,14.7,72.25,44.5,100,3.3
05/04/2014 00:00,29.2,11.7,20.45,0,4.5,14.2,12.2,59.45,30.1,88.8,3
06/04/2014 00:00,22.3,16.7,19.5,17.4,2.3,10.7,18.6,83.5,69.1,97.9,2.4
07/04/2014 00:00,22.3,15.3,18.8,13.8,3,7.6,18.7,84.75,69.5,100,2.1
08/04/2014 00:00,22.3,15,18.65,0.1,3,14.5,18.4,84.2,68.4,100,3
09/04/2014 00:00,20.2,13.8,17,5.6,0.8,7.5,17,85.9,71.8,100,2
10/04/2014 00:00,21.5,13.8,17.65,5,3.1,13.6,17.5,84.15,68.3,100,2.7
11/04/2014 00:00,17.9,12.4,15.15,2,3.3,15.5,11.5,68,56.1,79.9,2.8
12/04/2014 00:00,18.7,9.4,14.05,0,3.1,13.3,10.6,69.55,49.2,89.9,2.3
13/04/2014 00:00,18.8,8.7,13.75,0,3,13.4,10.7,72.25,49.3,95.2,2.3
14/04/2014 00:00,17.9,6.9,12.4,0,2.5,12.8,11.9,79.05,58.1,100,2.1
15/04/2014 00:00,20,7.6,13.8,0,2.1,16,12.9,77.6,55.2,100,2.8
16/04/2014 00:00,23.5,7.9,15.7,0,2.8,14.4,14.3,74.7,49.4,100,2.6
17/04/2014 00:00,26.4,11.7,19.05,0,2.9,10.5,11.4,58.05,33.1,83,2.1
18/04/2014 00:00,25.1,14.7,19.9,6,2.5,10.2,17.5,77.45,54.9,100,2.2
19/04/2014 00:00,24.9,16.6,20.75,2.2,2.4,10.9,16.6,70.3,52.7,87.9,2.4
20/04/2014 00:00,22,13.4,17.7,1,1.9,11.5,17.6,83.3,66.6,100,2.2
21/04/2014 00:00,25.5,12.6,19.05,0.1,2.2,15.1,16.6,75.45,50.9,100,3
22/04/2014 00:00,27.8,14.5,21.15,0,4.4,14.7,17.7,73.7,47.4,100,3.2
23/04/2014 00:00,21.8,17.9,19.85,0,2.9,4.4,17.9,77.95,68.6,87.3,1.4
24/04/2014 00:00,19.9,15.7,17.8,4.2,2.8,10.1,15.8,78.3,68,88.6,1.9
25/04/2014 00:00,19.3,11,15.15,2.8,2.3,14.3,14,81.3,62.6,100,2.5
26/04/2014 00:00,21.6,6.9,14.25,0,2.1,9,12.3,73.85,47.7,100,1.5
27/04/2014 00:00,17.8,12,14.9,1.2,2.4,12.3,14.1,84.6,69.2,100,2.1
28/04/2014 00:00,19.5,8.9,14.2,0,2.4,9.5,13.2,79.15,58.3,100,1.6
29/04/2014 00:00,18.1,13.3,15.7,1.2,1.5,6.1,13.6,77.3,65.5,89.1,1.4
30/04/2014 00:00,16.6,13.3,14.95,0,2,5.7,12.5,74.05,66.2,81.9,1.3
01/05/2014 00:00,23.9,7.7,15.8,0,2.3,14.4,12.9,71.75,43.5,100,2.5
02/05/2014 00:00,19.1,12.8,15.95,0,2.2,9.8,13.5,76.25,61.1,91.4,1.7
03/05/2014 00:00,23.8,6.9,15.35,0,3.8,11.3,11.5,69.5,39,100,1.9
04/05/2014 00:00,17.9,13.1,15.5,0.4,2.5,8.6,14.8,85.2,72.2,98.2,1.5
05/05/2014 00:00,17,8.4,12.7,4.8,1.2,7.9,11.8,80.45,60.9,100,1.2
06/05/2014 00:00,19.7,10.8,15.25,1.6,1.9,11.7,14.8,82.25,64.5,100,1.9
07/05/2014 00:00,20.2,12.8,16.5,0,1.6,9.9,16.2,84.25,68.5,100,1.7
08/05/2014 00:00,20.5,12.9,16.7,2.2,1.6,10,16.6,84.45,68.9,100,1.7
09/05/2014 00:00,22.7,10.7,16.7,0,2.3,12.1,15.8,78.65,57.3,100,2.1
10/05/2014 00:00,22.7,10.9,16.8,0,4,11.5,11.9,67.25,43.2,91.3,1.9
11/05/2014 00:00,14.7,8.6,11.65,5.8,2.3,11.5,10.2,76.15,61,91.3,1.6
12/05/2014 00:00,16,7.2,11.6,0.1,1.4,9.5,10.9,80,60,100,1.3
13/05/2014 00:00,17,4.2,10.6,0,1.7,11.4,11.1,78.65,57.3,100,1.5
14/05/2014 00:00,18.2,4.4,11.3,0,1.8,11.7,10.1,74.2,48.4,100,1.6
15/05/2014 00:00,19.2,3.7,11.45,0,1.2,11.1,9.3,70.9,41.8,100,1.5
16/05/2014 00:00,20.8,7.1,13.95,0,1.5,10.1,9.8,68.55,39.9,97.2,1.5
17/05/2014 00:00,19.6,5.3,12.45,0,1.8,12.1,10.9,73.9,47.8,100,1.8
18/05/2014 00:00,18.2,5.7,11.95,0,1.3,8.1,11.6,77.75,55.5,100,1.1
19/05/2014 00:00,18.9,6,12.45,0,0.9,6.4,11.4,76.1,52.2,100,0.9
20/05/2014 00:00,19.4,8,13.7,0,1.1,10,10.9,74.2,48.4,100,1.4
21/05/2014 00:00,18.2,3.6,10.9,0,1.5,12,10.8,75.85,51.7,100,1.7
22/05/2014 00:00,17.7,3,10.35,0,1.7,10.1,9.4,73.2,46.4,100,1.3
23/05/2014 00:00,16.6,3.6,10.1,0,1.7,5.4,7.7,69.1,40.8,97.4,0.7
24/05/2014 00:00,15.8,7.9,11.85,1.4,0.8,5,13.1,86.5,73,100,0.9
25/05/2014 00:00,16.5,11.4,13.95,4,0.9,4.4,14.9,89.7,79.4,100,1.1
26/05/2014 00:00,18.1,11.6,14.85,0.2,1.1,7.4,14.3,84.45,68.9,100,1.1
27/05/2014 00:00,18.2,8.2,13.2,0,1.1,7.2,13.5,82.3,64.6,100,1
28/05/2014 00:00,16.7,10.1,13.4,0,1.5,4.1,12.8,83.7,67.4,100,1
29/05/2014 00:00,15.8,11.5,13.65,13.2,1.2,5.6,13.1,84.8,73,96.6,1
30/05/2014 00:00,16.7,12,14.35,2.2,1.4,5.3,15.6,91.05,82.1,100,1
31/05/2014 00:00,17,9.1,13.05,0.1,1.2,8.2,13,83.55,67.1,100,1.1
01/06/2014 00:00,16.1,5.2,10.65,0,1,7.9,10.5,78.7,57.4,100,0.9
02/06/2014 00:00,17.1,4.5,10.8,0,1.3,10.7,11.2,78.75,57.5,100,1.4
03/06/2014 00:00,16.6,3.7,10.15,0,1,9.6,10.5,77.8,55.6,100,1.1
04/06/2014 00:00,17,4.7,10.85,0,0.8,10.1,11,78.4,56.8,100,1.3
05/06/2014 00:00,15.6,6.6,11.1,1.6,1.6,7.9,13.2,87.25,74.5,100,0.3
06/06/2014 00:00,15.6,4.8,10.2,3,0.9,8.7,10.9,80.75,61.5,100,1
07/06/2014 00:00,14.1,3.5,8.8,0,0.9,7.2,8.9,77.7,55.4,100,0.8
08/06/2014 00:00,15.7,5.2,10.45,0,2,8.4,10.9,80.55,61.1,100,1
09/06/2014 00:00,14.9,8.1,11.5,5,1.3,8,11.3,83.35,66.7,100,0.9
10/06/2014 00:00,16.2,8.7,12.45,0.4,0.8,7.9,11.7,81.8,63.6,100,0.9
11/06/2014 00:00,16.3,11,13.65,0,1.2,7.3,11.6,75.5,62.6,88.4,0.9
12/06/2014 00:00,14.4,6.7,10.55,0.6,0.9,8.4,10.5,82,64,100,0.9
13/06/2014 00:00,14.2,6.6,10.4,0,1,6.9,9.2,75.65,56.8,94.5,0.8
14/06/2014 00:00,14.3,3.7,9,0,0.9,9.7,8.7,76.7,53.4,100,1.1
15/06/2014 00:00,13.4,0.5,6.95,0,0.7,9.9,7.2,73.45,46.9,100,1.1
16/06/2014 00:00,15.1,2.9,9,0,2.4,3,8.3,74.2,48.4,100,0.6
17/06/2014 00:00,15.1,8.1,11.6,3.2,2,8.9,10,75.45,58.3,92.6,1
18/06/2014 00:00,17,8.8,12.9,2.4,0.9,8.1,12.7,82.8,65.6,100,1
19/06/2014 00:00,17.6,10.7,14.15,1.4,0.9,9,13.9,84.55,69.1,100,1.2
20/06/2014 00:00,17.4,11.1,14.25,2.4,0.8,8.6,14.5,86.5,73,100,1.1
21/06/2014 00:00,16,5.9,10.95,0,0.6,7.4,11.2,80.8,61.6,100,0.8
22/06/2014 00:00,15.4,7.9,11.65,0,0.9,6.1,11.3,82.3,64.6,100,0.7
23/06/2014 00:00,15.7,4.1,9.9,0,1,9.4,9.1,75.5,51,100,1.1
24/06/2014 00:00,16.1,6.5,11.3,0.1,1.6,4.3,11.6,81.7,63.4,100,0.9
25/06/2014 00:00,14.8,10,12.4,12.2,1.4,7,12.3,86.55,73.1,100,0.8
26/06/2014 00:00,12.7,5.5,9.1,4.8,0.9,7.3,10.2,84.75,69.5,100,0.8
27/06/2014 00:00,13.8,2,7.9,0.4,1.3,9.1,9.3,79.5,59,100,1
28/06/2014 00:00,14.4,5.3,9.85,0,2,8.5,9.3,78.35,56.7,100,0.9
29/06/2014 00:00,11,7.9,9.45,10.4,0.8,3.9,10.6,90.2,80.8,99.6,0.7
30/06/2014 00:00,14.3,4.7,9.5,22.6,0.9,8.9,10,80.7,61.4,100,1
01/07/2014 00:00,13.5,5,9.25,2,1,9.3,10.6,84.25,68.5,100,1
02/07/2014 00:00,13.3,2.5,7.9,0.1,0.5,9.2,9.4,80.8,61.6,100,1
03/07/2014 00:00,14.8,3.6,9.2,0.1,0.5,6.8,10.1,80,60,100,0.7
04/07/2014 00:00,13.4,3.5,8.45,0,0.9,8.1,9.4,80.6,61.2,100,0.9
05/07/2014 00:00,12.9,2.3,7.6,0,1.3,9.8,8.2,77.55,55.1,100,1.1
06/07/2014 00:00,15.6,2,8.8,0,0.6,9.8,9.7,77.4,54.8,100,1.1
07/07/2014 00:00,15.5,4.4,9.95,3.4,0.8,9.1,10.3,79.25,58.5,100,1
08/07/2014 00:00,15.3,3.2,9.25,0,1.2,9.4,10,78.8,57.6,100,1.1
09/07/2014 00:00,14.4,3.2,8.8,0,2.4,7,8.4,75.6,51.2,100,0.8
10/07/2014 00:00,15.4,5.3,10.35,6.8,1.3,6.4,12.9,86.9,73.8,100,0.6
11/07/2014 00:00,16.3,10.2,13.25,0.2,1.3,10,12.4,83.3,66.9,99.7,1.3
12/07/2014 00:00,16.5,6,11.25,0,2.1,9.7,10.3,77.45,54.9,100,1.2
13/07/2014 00:00,17.4,8.7,13.05,0,2.9,7.7,8.8,61.3,44.3,78.3,1
14/07/2014 00:00,15.3,8.7,12,9.4,1.8,7.8,11.3,82.5,65,100,1
15/07/2014 00:00,14.8,8.6,11.7,7.4,0.7,8.2,11.3,83.6,67.2,100,1
16/07/2014 00:00,14.3,8.3,11.3,0.1,1.1,4.9,12.1,87.15,74.3,100,1
17/07/2014 00:00,15.5,9.3,12.4,0,1.4,8.7,10.9,77.5,61.9,93.1,1.1
18/07/2014 00:00,13.7,7.6,10.65,5.6,1.4,5.4,10.9,84.8,69.6,100,1
19/07/2014 00:00,14.8,4.5,9.65,6.6,1,10.1,10.7,81.8,63.6,100,1.2
20/07/2014 00:00,14.5,7.5,11,5.4,1.1,10.5,11.6,85.15,70.3,100,1.4
21/07/2014 00:00,14.9,3.9,9.4,2.2,0.8,10.4,10.9,82.2,64.4,100,1.1
22/07/2014 00:00,14.7,4.7,9.7,0.2,1.2,9.4,11.4,84.1,68.2,100,0.7
23/07/2014 00:00,12.5,7,9.75,0,1.1,4.3,11.2,88.65,77.3,100,0.7
24/07/2014 00:00,13.5,6.9,10.2,0,0.9,6.7,10.7,84.6,69.2,100,1
25/07/2014 00:00,15.3,3,9.15,0,1.1,10.9,10.1,79.05,58.1,100,1.4
26/07/2014 00:00,15.2,2.1,8.65,0,1.3,11.5,9.3,76.95,53.9,100,1.5
27/07/2014 00:00,15.5,3,9.25,0,1.6,9.5,8.4,73.85,47.7,100,1.2
28/07/2014 00:00,16.4,2.9,9.65,0,1.9,12.3,8.3,72.25,44.5,100,1.7
29/07/2014 00:00,15.5,6.3,10.9,0.1,0.7,7.4,12,84.1,68.2,100,1.2
30/07/2014 00:00,18.4,8.8,13.6,0,2.2,9.8,12.4,79.3,58.6,100,1.4
31/07/2014 00:00,16.4,9.4,12.9,2.4,2.8,7.2,12,82.2,64.4,100,1
01/08/2014 00:00,13,7.1,10.05,21,1.9,10.6,9,74.7,60.1,89.3,1.4
02/08/2014 00:00,13.7,7.4,10.55,1,1.4,8.9,8.4,67.6,53.6,81.6,1.2
03/08/2014 00:00,13.7,8.2,10.95,0.1,1.8,5.9,10.7,83.4,68.3,98.5,1.2
04/08/2014 00:00,12,8.4,10.2,2.8,1.8,7.2,10.7,86.7,76.3,97.1,1.2
05/08/2014 00:00,12.7,5.1,8.9,2.4,1.3,9.5,9.2,81.35,62.7,100,1.2
06/08/2014 00:00,13,5,9,0.8,0.6,7.6,10.8,86.1,72.2,100,1
07/08/2014 00:00,14.2,3.7,8.95,0,1.5,10.3,8.3,75.65,51.3,100,1.4
08/08/2014 00:00,14.5,5.7,10.1,0,1.4,8.8,9,76.4,54.5,98.3,1.2
09/08/2014 00:00,15.6,7.8,11.7,4,1.6,7,10.2,77.05,57.6,96.5,1
10/08/2014 00:00,14.7,4,9.35,0.4,2.5,10.3,9.1,77.2,54.4,100,1.4
11/08/2014 00:00,14.5,7.9,11.2,12.4,2.2,11.6,10.6,81.9,64.2,99.6,1.7
12/08/2014 00:00,13.9,8.9,11.4,0.8,1.8,8.6,11.2,84.45,70.6,98.3,1.3
13/08/2014 00:00,14.3,7.1,10.7,0,1.8,9.5,9.5,76.25,58.3,94.2,1.4
14/08/2014 00:00,14.5,8.7,11.6,3.6,1.8,7.5,10.7,80,64.8,95.2,1.2
15/08/2014 00:00,13.5,9.4,11.45,7.6,1.8,9.5,11.1,83,71.8,94.2,1.4
16/08/2014 00:00,12.9,7.9,10.4,5.4,1.8,12.6,8.6,69.3,57.8,80.8,1.8
17/08/2014 00:00,14.2,2.1,8.15,0,2.8,13.3,7.7,73.8,47.6,100,1.9
18/08/2014 00:00,17.2,6.7,11.95,2.6,2.5,9.3,10.2,76,52,100,1.4
19/08/2014 00:00,14.2,7.5,10.85,5.6,2.7,14.5,9.3,73.65,57.5,89.8,2.2
20/08/2014 00:00,14.4,6.4,10.4,1.6,3,13.9,9.2,75.95,56.1,95.8,2.1
21/08/2014 00:00,15.5,7.2,11.35,11.8,1.9,15,10.8,80.7,61.4,100,2.4
22/08/2014 00:00,16.9,5.1,11,1.8,3,16.7,9.7,75.2,50.4,100,2.7
23/08/2014 00:00,15.2,8.2,11.7,0.3,2.1,9.7,11,81.85,63.7,100,1.5
24/08/2014 00:00,13.7,7.8,10.75,0.7,2.6,12.1,10.8,84.45,68.9,100,1.8
25/08/2014 00:00,13.8,5.9,9.85,5.7,2.5,9.2,10.2,82.35,64.7,100,1.5
26/08/2014 00:00,14.2,6.3,10.25,17.8,1.9,11,9.9,80.6,61.2,100,1.7
27/08/2014 00:00,14.5,9.2,11.85,1.2,1.9,12.1,11.1,81.4,67.3,95.5,1.9
28/08/2014 00:00,14.8,5.7,10.25,0.6,2,11.4,12,85.65,71.3,100,1.2
29/08/2014 00:00,17.2,7.5,12.35,0,2.4,14,10.7,77.3,54.6,100,2.3
30/08/2014 00:00,19.1,4.2,11.65,0,2.5,15,11.2,75.35,50.7,100,2.4
31/08/2014 00:00,16.2,9.2,12.7,0,2.2,8,9.2,64.55,50,79.1,1.3
01/09/2014 00:00,12.6,10.4,11.5,7.6,0.8,4.7,13.1,94.9,89.8,100,0.7
02/09/2014 00:00,15,6.4,10.7,2.2,2.3,14.3,11,82.25,64.5,100,2.3
03/09/2014 00:00,14.2,6.4,10.3,0,2.5,5.1,8.6,71.3,53.1,89.5,1
04/09/2014 00:00,16.1,7.5,11.8,25.8,1.9,7.6,14.3,89.1,78.2,100,0.9
05/09/2014 00:00,15.7,8.6,12.15,1.4,2,13.2,11.2,81.4,62.8,100,2.2
06/09/2014 00:00,14.3,6.2,10.25,5,2.3,14.7,9.7,79.8,59.6,100,2.3
07/09/2014 00:00,15.1,8.4,11.75,0,2,16.1,9.5,70.8,55.4,86.2,2.7
08/09/2014 00:00,15.8,8.5,12.15,0,1.6,7.5,9.6,70.05,53.5,86.6,1.3
09/09/2014 00:00,18.9,10,14.45,2,3.8,17.1,14,82.05,64.1,100,3.2
10/09/2014 00:00,15.8,8.7,12.25,1.4,2.8,18.5,11.2,81,62.4,99.6,3.3
11/09/2014 00:00,15.6,10,12.8,0.5,1.8,7.9,10.9,75.15,61.5,88.8,1.6
12/09/2014 00:00,18.5,7.2,12.85,0,2.8,18.3,10.8,75.35,50.7,100,3.3
13/09/2014 00:00,18.8,7.7,13.25,0,3.8,13.6,14,82.25,64.5,100,2.4
14/09/2014 00:00,14.1,7.5,10.8,1,2.5,12.3,9.7,76.95,60.3,93.6,2
15/09/2014 00:00,15.7,8.5,12.1,0.8,1.9,16.8,11.4,82,64,100,2.9
16/09/2014 00:00,14,8.2,11.1,0.4,2.8,10.7,10.8,83.5,67.6,99.4,2
17/09/2014 00:00,14.3,8.4,11.35,0,1.9,8,8.9,67.7,54.6,80.8,1.4
18/09/2014 00:00,14.9,9.2,12.05,0,2,10.6,10.3,74.7,60.8,88.6,1.8
19/09/2014 00:00,15.1,8.5,11.8,1.4,1.5,14.7,11.9,84.7,69.4,100,2.6
20/09/2014 00:00,14.8,8.6,11.7,0.1,2.2,11.2,11.6,84.5,69,100,2.2
21/09/2014 00:00,15.6,9.6,12.6,1.4,1.7,12.4,12.5,85.3,70.6,100,2.4
22/09/2014 00:00,14.7,7,10.85,0,2.2,13.5,11.1,83.2,66.4,100,2.3
23/09/2014 00:00,14.1,7.5,10.8,0,2.4,9.2,9.7,76.95,60.3,93.6,1.8
24/09/2014 00:00,17.1,8.7,12.9,0,2.5,15.8,9.9,69.45,50.8,88.1,2.8
25/09/2014 00:00,18.2,8.4,13.3,0,2.2,17.8,13.3,81.85,63.7,100,3.3
26/09/2014 00:00,17.6,6.9,12.25,0,2.3,16.8,10.7,76.6,53.2,100,3
27/09/2014 00:00,15.7,10.4,13.05,0.2,3.2,16,12.9,86.2,72.4,100,3
28/09/2014 00:00,14.7,7.4,11.05,0.4,2.7,16.3,10.6,81.7,63.4,100,2.8
29/09/2014 00:00,14.7,5.2,9.95,0.5,2.5,20.3,9.2,77.5,55,100,3.5
30/09/2014 00:00,15.5,3.5,9.5,0,2.5,12.8,8.6,74.45,48.9,100,2.1
