X,Y,Zorig,ID,pc0,pc10,pc25,pc33,pc37,pc50,pc50_parpc25,pc50_parpc37,Z,Parnka
302240.8065,6064205.572,-7.7322,65,-7.7322,-7.7322,-7.7322,-7.7322,-7.7322,-7.7322,-7.7322,-7.7322,-7.7322,0
301985.2343,6063748.027,-12.382,66,-12.382,-12.382,-12.382,-12.382,-12.382,-12.382,-12.382,-12.382,-12.382,0
302230.77,6063232.465,-13.5879,67,-13.5879,-13.5879,-13.5879,-13.5879,-13.5879,-13.5879,-13.5879,-13.5879,-13.5879,0
302034.4463,6062844.897,-14.8405,68,-14.8405,-14.8405,-14.8405,-14.8405,-14.8405,-14.8405,-14.8405,-14.8405,-14.8405,0
302271.8565,6062223.2,-18.569,69,-18.569,-18.569,-18.569,-18.569,-18.569,-18.569,-18.569,-18.569,-18.569,0
302456.4965,6061606.567,-22.2024,70,-22.2024,-22.2024,-22.2024,-22.2024,-22.2024,-22.2024,-22.2024,-22.2024,-22.2024,0
302788.951,6064232.735,-4.9282,71,-4.9282,-4.9282,-4.9282,-4.9282,-4.9282,-4.9282,-4.9282,-4.9282,-4.9282,0
301428.186,6066440.737,-4.7243,72,-7.650588036,-6.247642994,-5.557392597,-5.312179565,-5.174384999,-4.556443691,-4.556443691,-4.556443691,-4.7243,0
301837.8833,6066807.417,-0.1751,73,-0.870702863,-0.789664268,-0.389222264,-0.22076872,-0.142520487,0,0,0,-0.1751,0
301768.4337,6066590.513,-0.7961,74,-2.159700871,-1.455423832,-1.044671178,-0.921849549,-0.880240321,-0.796687841,-0.796687841,-0.796687841,-0.7961,0
302180.892,6066843.202,-0.4954,75,-0.894058645,-0.879999995,-0.858307242,-0.835409044,-0.821539164,-0.639059186,-0.639059186,-0.639059186,-0.4954,0
301717.689,6066189.08,-0.437,76,-2.850624561,-1.510298848,-1.057177782,-0.708408892,-0.531598568,-0.219504595,-0.219504595,-0.219504595,-0.437,0
303330.4138,6064262.99,-3.7321,77,-3.7321,-3.7321,-3.7321,-3.7321,-3.7321,-3.7321,-3.7321,-3.7321,-3.7321,0
303426.3645,6064451.683,-2.9207,78,-2.9207,-2.9207,-2.9207,-2.9207,-2.9207,-2.9207,-2.9207,-2.9207,-2.9207,0
303513.5305,6064626.053,-1.3423,79,-1.3423,-1.3423,-1.3423,-1.3423,-1.3423,-1.3423,-1.3423,-1.3423,-1.3423,0
312545.163,6055833.813,-27.2679,80,-27.2679,-27.2679,-27.2679,-27.2679,-27.2679,-27.2679,-27.2679,-27.2679,-27.2679,0
313231.6145,6056067.103,-24.0644,81,-24.0644,-24.0644,-24.0644,-24.0644,-24.0644,-24.0644,-24.0644,-24.0644,-24.0644,0
313946.2477,6056285.18,-18.7229,82,-18.7229,-18.7229,-18.7229,-18.7229,-18.7229,-18.7229,-18.7229,-18.7229,-18.7229,0
302118.841,6063987.22,-10.4288,83,-10.4288,-10.4288,-10.4288,-10.4288,-10.4288,-10.4288,-10.4288,-10.4288,-10.4288,0
302668.6165,6064009.585,-7.9131,84,-7.9131,-7.9131,-7.9131,-7.9131,-7.9131,-7.9131,-7.9131,-7.9131,-7.9131,0
302414.904,6063544.59,-12.2376,85,-12.2376,-12.2376,-12.2376,-12.2376,-12.2376,-12.2376,-12.2376,-12.2376,-12.2376,0
302656.5358,6063024.178,-13.6719,86,-13.6719,-13.6719,-13.6719,-13.6719,-13.6719,-13.6719,-13.6719,-13.6719,-13.6719,0
302464.6945,6062624.005,-15.2687,87,-15.2687,-15.2687,-15.2687,-15.2687,-15.2687,-15.2687,-15.2687,-15.2687,-15.2687,0
302706.2965,6061989.51,-19.6311,88,-19.6311,-19.6311,-19.6311,-19.6311,-19.6311,-19.6311,-19.6311,-19.6311,-19.6311,0
302881.54,6061366.893,-23.9035,89,-23.9035,-23.9035,-23.9035,-23.9035,-23.9035,-23.9035,-23.9035,-23.9035,-23.9035,0
303215.915,6064041.335,-4.7668,90,-4.7668,-4.7668,-4.7668,-4.7668,-4.7668,-4.7668,-4.7668,-4.7668,-4.7668,0
314224.692,6056754.28,-15.1464,91,-15.1464,-15.1464,-15.1464,-15.1464,-15.1464,-15.1464,-15.1464,-15.1464,-15.1464,0
301754.059,6066373.095,-2.3183,92,-3.284510612,-2.668504238,-2.440890074,-2.362829313,-2.32560277,-2.230694056,-2.230694056,-2.230694056,-2.3183,0
302204.2362,6066516.723,-1.1491,93,-2.143747091,-1.752827644,-1.271013945,-1.128080544,-1.09220314,-1.013911009,-1.013911009,-1.013911009,-1.1491,0
302582.8808,6066779.053,-0.4041,94,-0.879999995,-0.878227413,-0.851628363,-0.800685406,-0.758957624,-0.515699089,-0.515699089,-0.515699089,-0.4041,0
302176.2577,6066079.885,-0.2959,95,-1.959568024,-1.370186114,-0.508761525,-0.376838475,-0.3332012,-0.19305335,-0.19305335,-0.19305335,-0.2959,0
303765.7785,6064095.673,-3.6109,96,-3.6109,-3.6109,-3.6109,-3.6109,-3.6109,-3.6109,-3.6109,-3.6109,-3.6109,0
303844.9828,6064255.572,-2.9205,97,-2.9205,-2.9205,-2.9205,-2.9205,-2.9205,-2.9205,-2.9205,-2.9205,-2.9205,0
303945.693,6064463.348,-1.0122,98,-1.0122,-1.0122,-1.0122,-1.0122,-1.0122,-1.0122,-1.0122,-1.0122,-1.0122,0
312119.5088,6056079.332,-27.3293,99,-27.3293,-27.3293,-27.3293,-27.3293,-27.3293,-27.3293,-27.3293,-27.3293,-27.3293,0
312795.2635,6056318.207,-24.2604,100,-24.2604,-24.2604,-24.2604,-24.2604,-24.2604,-24.2604,-24.2604,-24.2604,-24.2604,0
313512.94,6056534.06,-18.0965,101,-18.0965,-18.0965,-18.0965,-18.0965,-18.0965,-18.0965,-18.0965,-18.0965,-18.0965,0
302547.5385,6063787.678,-10.5005,102,-10.5005,-10.5005,-10.5005,-10.5005,-10.5005,-10.5005,-10.5005,-10.5005,-10.5005,0
303096.4263,6063813.593,-7.5262,103,-7.5262,-7.5262,-7.5262,-7.5262,-7.5262,-7.5262,-7.5262,-7.5262,-7.5262,0
302844.5737,6063341.147,-12.2258,104,-12.2258,-12.2258,-12.2258,-12.2258,-12.2258,-12.2258,-12.2258,-12.2258,-12.2258,0
303082.3013,6062815.895,-13.7182,105,-13.7182,-13.7182,-13.7182,-13.7182,-13.7182,-13.7182,-13.7182,-13.7182,-13.7182,0
302894.9385,6062403.107,-15.6337,106,-15.6337,-15.6337,-15.6337,-15.6337,-15.6337,-15.6337,-15.6337,-15.6337,-15.6337,0
303140.7168,6061755.777,-21.3658,107,-21.3658,-21.3658,-21.3658,-21.3658,-21.3658,-21.3658,-21.3658,-21.3658,-21.3658,0
303306.5787,6061127.207,-25.1007,108,-25.1007,-25.1007,-25.1007,-25.1007,-25.1007,-25.1007,-25.1007,-25.1007,-25.1007,0
303774.5007,6063939.527,-4.1035,109,-4.1035,-4.1035,-4.1035,-4.1035,-4.1035,-4.1035,-4.1035,-4.1035,-4.1035,0
303632.9908,6063830.035,-4.7916,110,-4.7916,-4.7916,-4.7916,-4.7916,-4.7916,-4.7916,-4.7916,-4.7916,-4.7916,0
304201.1775,6063928.975,-3.5214,111,-3.5214,-3.5214,-3.5214,-3.5214,-3.5214,-3.5214,-3.5214,-3.5214,-3.5214,0
304263.6663,6064059.173,-2.9876,112,-2.9876,-2.9876,-2.9876,-2.9876,-2.9876,-2.9876,-2.9876,-2.9876,-2.9876,0
313794.7505,6057000.763,-15.0574,113,-15.0574,-15.0574,-15.0574,-15.0574,-15.0574,-15.0574,-15.0574,-15.0574,-15.0574,0
314453.4165,6057152.115,-12.1963,114,-12.1963,-12.1963,-12.1963,-12.1963,-12.1963,-12.1963,-12.1963,-12.1963,-12.1963,0
302222.1933,6066260.907,-2.2009,115,-2.712768793,-2.420639753,-2.314546704,-2.280195773,-2.264174223,-2.202623129,-2.202623129,-2.202623129,-2.2009,0
302527.942,6066509.96,-0.9201,116,-2.003238916,-0.951650202,-0.915370047,-0.905042529,-0.899062753,-0.88609761,-0.88609761,-0.88609761,-0.9201,0
302876.3433,6066633.55,-0.0059,117,-0.879999995,-0.741992235,-0.386075944,-0.236780539,-0.184326574,0.019810505,0.019810505,0.019810505,-0.0059,0
302809.973,6066367.675,-0.8525,118,-2.055779457,-1.242620468,-0.915890038,-0.904155374,-0.899478614,-0.885354638,-0.885354638,-0.885354638,-0.8525,0
302635.417,6065978.515,-0.4108,119,-2.178620577,-1.619839191,-0.681311905,-0.446260691,-0.378545463,-0.239774793,-0.239774793,-0.239774793,-0.4108,0
303966.2363,6064329.56,-2.4104,120,-2.4104,-2.4104,-2.4104,-2.4104,-2.4104,-2.4104,-2.4104,-2.4104,-2.4104,0
304377.79,6064300.935,-0.2965,121,-0.2965,-0.2965,-0.2965,-0.2965,-0.2965,-0.2965,-0.2965,-0.2965,-0.2965,0
304320.728,6064180.055,-2.3823,122,-2.3823,-2.3823,-2.3823,-2.3823,-2.3823,-2.3823,-2.3823,-2.3823,-2.3823,0
311694.0285,6056325.152,-27.7021,123,-27.7021,-27.7021,-27.7021,-27.7021,-27.7021,-27.7021,-27.7021,-27.7021,-27.7021,0
312359.01,6056569.48,-24.7771,124,-24.7771,-24.7771,-24.7771,-24.7771,-24.7771,-24.7771,-24.7771,-24.7771,-24.7771,0
313079.6323,6056782.94,-18.2514,125,-18.2514,-18.2514,-18.2514,-18.2514,-18.2514,-18.2514,-18.2514,-18.2514,-18.2514,0
302976.236,6063588.13,-10.4227,126,-10.4227,-10.4227,-10.4227,-10.4227,-10.4227,-10.4227,-10.4227,-10.4227,-10.4227,0
303524.2363,6063617.603,-7.2324,127,-7.2324,-7.2324,-7.2324,-7.2324,-7.2324,-7.2324,-7.2324,-7.2324,-7.2324,0
304129.5403,6063781.73,-4.0869,128,-4.0869,-4.0869,-4.0869,-4.0869,-4.0869,-4.0869,-4.0869,-4.0869,-4.0869,0
304050.209,6063618.423,-4.8131,129,-4.8131,-4.8131,-4.8131,-4.8131,-4.8131,-4.8131,-4.8131,-4.8131,-4.8131,0
303274.2435,6063137.707,-12.1645,130,-12.1645,-12.1645,-12.1645,-12.1645,-12.1645,-12.1645,-12.1645,-12.1645,-12.1645,0
303508.0235,6062607.52,-13.7917,131,-13.7917,-13.7917,-13.7917,-13.7917,-13.7917,-13.7917,-13.7917,-13.7917,-13.7917,0
303325.1508,6062182.143,-16.2262,132,-16.2262,-16.2262,-16.2262,-16.2262,-16.2262,-16.2262,-16.2262,-16.2262,-16.2262,0
303575.1227,6061522.015,-23.2423,133,-23.2423,-23.2423,-23.2423,-23.2423,-23.2423,-23.2423,-23.2423,-23.2423,-23.2423,0
303731.6173,6060887.525,-25.8094,134,-25.8094,-25.8094,-25.8094,-25.8094,-25.8094,-25.8094,-25.8094,-25.8094,-25.8094,0
304627.6055,6063744.522,-3.4778,135,-3.4778,-3.4778,-3.4778,-3.4778,-3.4778,-3.4778,-3.4778,-3.4778,-3.4778,0
304689.7037,6063877.75,-2.9108,136,-2.9108,-2.9108,-2.9108,-2.9108,-2.9108,-2.9108,-2.9108,-2.9108,-2.9108,0
313364.809,6057247.245,-15.0959,137,-15.0959,-15.0959,-15.0959,-15.0959,-15.0959,-15.0959,-15.0959,-15.0959,-15.0959,0
314016.9842,6057399.843,-12.2601,138,-12.2601,-12.2601,-12.2601,-12.2601,-12.2601,-12.2601,-12.2601,-12.2601,-12.2601,0
314624.141,6057448.862,-9.5649,139,-9.5649,-9.5649,-9.5649,-9.5649,-9.5649,-9.5649,-9.5649,-9.5649,-9.5649,0
302685.815,6066132.255,-2.4282,140,-2.892683983,-2.79919796,-2.671661139,-2.602261782,-2.567560911,-2.46585536,-2.46585536,-2.46585536,-2.4282,0
303273.641,6066247.407,-0.6496,141,-2.062858343,-1.444108605,-1.090847254,-0.951603293,-0.895581424,-0.653401405,-0.653401405,-0.653401405,-0.6496,0
303146.9053,6065833.537,-0.9244,142,-2.25746274,-2.053277731,-1.802269816,-1.631464694,-1.556794167,-1.096041262,-1.096041262,-1.096041262,-0.9244,0
304803.2697,6064125.362,-0.1547,143,-0.1547,-0.1547,-0.1547,-0.1547,-0.1547,-0.1547,-0.1547,-0.1547,-0.1547,0
304746.4865,6064001.558,-2.2516,144,-2.2516,-2.2516,-2.2516,-2.2516,-2.2516,-2.2516,-2.2516,-2.2516,-2.2516,0
311268.781,6056571.37,-28.2958,145,-28.2958,-28.2958,-28.2958,-28.2958,-28.2958,-28.2958,-28.2958,-28.2958,-28.2958,0
311923.2785,6056821.647,-25.6715,146,-25.6715,-25.6715,-25.6715,-25.6715,-25.6715,-25.6715,-25.6715,-25.6715,-25.6715,0
312646.3897,6057031.93,-18.7129,147,-18.7129,-18.7129,-18.7129,-18.7129,-18.7129,-18.7129,-18.7129,-18.7129,-18.7129,0
303404.9335,6063388.585,-10.2484,148,-10.2484,-10.2484,-10.2484,-10.2484,-10.2484,-10.2484,-10.2484,-10.2484,-10.2484,0
303952.0388,6063421.6,-6.9903,149,-6.9903,-6.9903,-6.9903,-6.9903,-6.9903,-6.9903,-6.9903,-6.9903,-6.9903,0
304556.436,6063593.843,-4.0911,150,-4.0911,-4.0911,-4.0911,-4.0911,-4.0911,-4.0911,-4.0911,-4.0911,-4.0911,0
304477.4583,6063426.4,-4.8932,151,-4.8932,-4.8932,-4.8932,-4.8932,-4.8932,-4.8932,-4.8932,-4.8932,-4.8932,0
303703.8727,6062934.183,-12.1323,152,-12.1323,-12.1323,-12.1323,-12.1323,-12.1323,-12.1323,-12.1323,-12.1323,-12.1323,0
303933.7015,6062399.05,-13.9232,153,-13.9232,-13.9232,-13.9232,-13.9232,-13.9232,-13.9232,-13.9232,-13.9232,-13.9232,0
303755.3345,6061961.117,-17.0083,154,-17.0083,-17.0083,-17.0083,-17.0083,-17.0083,-17.0083,-17.0083,-17.0083,-17.0083,0
304009.5285,6061288.253,-24.27,155,-24.27,-24.27,-24.27,-24.27,-24.27,-24.27,-24.27,-24.27,-24.27,0
304156.6558,6060647.84,-26.1463,156,-26.1463,-26.1463,-26.1463,-26.1463,-26.1463,-26.1463,-26.1463,-26.1463,-26.1463,0
305054.033,6063560.067,-3.5765,157,-3.5765,-3.5765,-3.5765,-3.5765,-3.5765,-3.5765,-3.5765,-3.5765,-3.5765,0
305115.9877,6063696.938,-3.0042,158,-3.0042,-3.0042,-3.0042,-3.0042,-3.0042,-3.0042,-3.0042,-3.0042,-3.0042,0
312934.868,6057493.725,-15.1351,159,-15.1351,-15.1351,-15.1351,-15.1351,-15.1351,-15.1351,-15.1351,-15.1351,-15.1351,0
313580.5505,6057647.567,-12.3131,160,-12.3131,-12.3131,-12.3131,-12.3131,-12.3131,-12.3131,-12.3131,-12.3131,-12.3131,0
314185.3755,6057694.775,-9.7171,161,-9.7171,-9.7171,-9.7171,-9.7171,-9.7171,-9.7171,-9.7171,-9.7171,-9.7171,0
314767.35,6057697.865,-7.426,162,-7.426,-7.426,-7.426,-7.426,-7.426,-7.426,-7.426,-7.426,-7.426,0
303188.4963,6065968.895,-2.4373,163,-2.83386445,-2.692361832,-2.6101408,-2.577964067,-2.557033789,-2.479151487,-2.479151487,-2.479151487,-2.4373,0
303863.8193,6066304.223,0.1229,164,-0.823090792,-0.509389043,-0.266326189,-0.14620398,-0.085874089,0.085080273,0.085080273,0.085080273,0.1229,0
303767.4045,6066066.32,-1.0018,165,-1.956911564,-1.384503126,-1.186369061,-1.098846513,-1.064849019,-0.960160255,-0.960160255,-0.960160255,-1.0018,0
304214.191,6066149.87,-0.1062,166,-0.802150846,-0.548539102,-0.388719648,-0.320662409,-0.288960755,-0.18126224,-0.18126224,-0.18126224,-0.1062,0
303672.0307,6065618.043,-1.0231,167,-2.318008423,-1.983145356,-1.603294611,-1.360223889,-1.246859989,-0.945170283,-0.945170283,-0.945170283,-1.0231,0
305229.983,6063952.84,0.1232,168,0.1232,0.1232,0.1232,0.1232,0.1232,0.1232,0.1232,0.1232,0.1232,0
305172.9853,6063824.89,-2.1284,169,-2.1284,-2.1284,-2.1284,-2.1284,-2.1284,-2.1284,-2.1284,-2.1284,-2.1284,0
310843.6253,6056817.745,-28.61,170,-28.61,-28.61,-28.61,-28.61,-28.61,-28.61,-28.61,-28.61,-28.61,0
311488.2462,6057075.013,-26.0937,171,-26.0937,-26.0937,-26.0937,-26.0937,-26.0937,-26.0937,-26.0937,-26.0937,-26.0937,0
312213.8733,6057282.165,-19.169,172,-19.169,-19.169,-19.169,-19.169,-19.169,-19.169,-19.169,-19.169,-19.169,0
303833.6077,6063188.992,-10.1041,173,-10.1041,-10.1041,-10.1041,-10.1041,-10.1041,-10.1041,-10.1041,-10.1041,-10.1041,0
304379.8332,6063225.58,-7.1654,174,-7.1654,-7.1654,-7.1654,-7.1654,-7.1654,-7.1654,-7.1654,-7.1654,-7.1654,0
304983.3315,6063405.952,-4.2256,175,-4.2256,-4.2256,-4.2256,-4.2256,-4.2256,-4.2256,-4.2256,-4.2256,-4.2256,0
304904.7078,6063234.375,-5.1746,176,-5.1746,-5.1746,-5.1746,-5.1746,-5.1746,-5.1746,-5.1746,-5.1746,-5.1746,0
304133.4605,6062730.567,-12.1118,177,-12.1118,-12.1118,-12.1118,-12.1118,-12.1118,-12.1118,-12.1118,-12.1118,-12.1118,0
304359.3783,6062190.58,-14.0647,178,-14.0647,-14.0647,-14.0647,-14.0647,-14.0647,-14.0647,-14.0647,-14.0647,-14.0647,0
304185.5178,6061740.09,-17.7553,179,-17.7553,-17.7553,-17.7553,-17.7553,-17.7553,-17.7553,-17.7553,-17.7553,-17.7553,0
304443.9343,6061054.487,-24.2107,180,-24.2107,-24.2107,-24.2107,-24.2107,-24.2107,-24.2107,-24.2107,-24.2107,-24.2107,0
304577.7605,6060410.035,-26.4954,181,-26.4954,-26.4954,-26.4954,-26.4954,-26.4954,-26.4954,-26.4954,-26.4954,-26.4954,0
305480.4605,6063375.615,-3.7614,182,-3.7614,-3.7614,-3.7614,-3.7614,-3.7614,-3.7614,-3.7614,-3.7614,-3.7614,0
305542.3957,6063516.435,-3.1005,183,-3.1005,-3.1005,-3.1005,-3.1005,-3.1005,-3.1005,-3.1005,-3.1005,-3.1005,0
312505.8093,6057741.72,-15.1675,184,-15.1675,-15.1675,-15.1675,-15.1675,-15.1675,-15.1675,-15.1675,-15.1675,-15.1675,0
313144.1158,6057895.293,-12.3075,185,-12.3075,-12.3075,-12.3075,-12.3075,-12.3075,-12.3075,-12.3075,-12.3075,-12.3075,0
313746.607,6057940.683,-9.6203,186,-9.6203,-9.6203,-9.6203,-9.6203,-9.6203,-9.6203,-9.6203,-9.6203,-9.6203,0
