X,Y,distance_from_Goolwa
331020.269,6050635.539,35550
331066.931,6050617.581,35600
331114.07,6050600.914,35650
331161.882,6050586.402,35700
331210.45,6050574.522,35750
331258.852,6050561.983,35800
331307.079,6050548.788,35850
331355.122,6050534.939,35900
331402.973,6050520.438,35950
331450.622,6050505.289,36000
331498.061,6050489.494,36050
331545.282,6050473.056,36100
331592.274,6050455.978,36150
331639.031,6050438.264,36200
331685.542,6050419.915,36250
331731.8,6050400.937,36300
331777.796,6050381.332,36350
331823.521,6050361.104,36400
331868.967,6050340.257,36450
331914.126,6050318.795,36500
331958.989,6050296.72,36550
332003.548,6050274.039,36600
332047.795,6050250.754,36650
332091.721,6050226.871,36700
332135.319,6050202.393,36750
332178.581,6050177.325,36800
332221.498,6050151.671,36850
332264.062,6050125.437,36900
332306.267,6050098.628,36950
332348.103,6050071.247,37000
332389.563,6050043.301,37050
332430.64,6050014.794,37100
332471.326,6049985.731,37150
332511.613,6049956.119,37200
332551.494,6049925.962,37250
332590.963,6049895.266,37300
332630.01,6049864.037,37350
332668.63,6049832.28,37400
332706.814,6049800.002,37450
332744.557,6049767.208,37500
332781.85,6049733.904,37550
332819.389,6049700.92,37600
332858.238,6049669.446,37650
332896.131,6049636.828,37700
332933.034,6049603.095,37750
332968.915,6049568.275,37800
333003.741,6049532.402,37850
333037.482,6049495.505,37900
333070.108,6049457.619,37950
333101.59,6049418.776,38000
333131.899,6049379.012,38050
333161.008,6049338.362,38100
333188.893,6049296.862,38150
333215.527,6049254.548,38200
333240.888,6049211.46,38250
333264.952,6049167.633,38300
333287.698,6049123.109,38350
333309.107,6049077.926,38400
333329.159,6049032.125,38450
333347.835,6048985.746,38500
333365.121,6048938.831,38550
333380.999,6048891.421,38600
333395.457,6048843.559,38650
333408.48,6048795.287,38700
333420.058,6048746.648,38750
333430.181,6048697.685,38800
333438.839,6048648.442,38850
333446.024,6048598.963,38900
333451.731,6048549.292,38950
333455.954,6048499.472,39000
333458.689,6048449.549,39050
333459.934,6048399.566,39100
333459.688,6048349.569,39150
333455.893,6048299.751,39200
333457.568,6048249.818,39250
333466.042,6048200.581,39300
333481.158,6048152.962,39350
333502.631,6048107.851,39400
333530.061,6048066.093,39450
333562.934,6048028.471,39500
333600.635,6047995.687,39550
333642.457,6047968.356,39600
333687.618,6047946.989,39650
333735.274,6047931.986,39700
333784.53,6047923.628,39750
333834.467,6047922.071,39800
333884.052,6047927.945,39850
333933.591,6047934.651,39900
333983.461,6047938.124,39950
334033.452,6047938.349,40000
334083.352,6047935.325,40050
334132.949,6047929.065,40100
334182.035,6047919.594,40150
334230.402,6047906.954,40200
334277.845,6047891.197,40250
334324.164,6047872.391,40300
334369.163,6047850.614,40350
334412.651,6047825.959,40400
334454.446,6047798.53,40450
334494.369,6047768.443,40500
334532.253,6047735.826,40550
334567.938,6047700.815,40600
334601.271,6047663.559,40650
334631.059,6047623.481,40700
334658.472,6047581.666,40750
334686.328,6047540.145,40800
334714.625,6047498.922,40850
334743.358,6047458.003,40900
334772.524,6047417.391,40950
334802.121,6047377.093,41000
334832.145,6047337.111,41050
334862.593,6047297.451,41100
334893.46,6047258.117,41150
334924.745,6047219.113,41200
334956.442,6047180.445,41250
334988.549,6047142.115,41300
335021.062,6047104.13,41350
335055.798,6047068.47,41400
335095.999,6047038.739,41450
335136.379,6047009.253,41500
335176.937,6046980.012,41550
335217.671,6046951.016,41600
335258.58,6046922.268,41650
335299.662,6046893.768,41700
335340.915,6046865.517,41750
335382.339,6046837.516,41800
335423.932,6046809.767,41850
335465.692,6046782.27,41900
335507.618,6046755.026,41950
335549.708,6046728.036,42000
335591.96,6046701.302,42050
335634.373,6046674.823,42100
335676.946,6046648.602,42150
335719.677,6046622.639,42200
335762.564,6046596.936,42250
335805.606,6046571.492,42300
335848.802,6046546.309,42350
335892.148,6046521.389,42400
335935.645,6046496.731,42450
335979.291,6046472.337,42500
336023.083,6046448.207,42550
336067.02,6046424.343,42600
336111.101,6046400.745,42650
336155.324,6046377.415,42700
336199.688,6046354.353,42750
336244.197,6046331.572,42800
336288.695,6046308.771,42850
336332.954,6046285.51,42900
336376.971,6046261.792,42950
336420.74,6046237.621,43000
336464.256,6046212.998,43050
336507.516,6046187.926,43100
336550.513,6046162.408,43150
336593.245,6046136.446,43200
336635.706,6046110.044,43250
336677.891,6046083.204,43300
336719.796,6046055.929,43350
336761.417,6046028.223,43400
336802.749,6046000.087,43450
336843.788,6045971.525,43500
336884.53,6045942.54,43550
336924.969,6045913.135,43600
336965.102,6045883.313,43650
337004.924,6045853.078,43700
337044.431,6045822.433,43750
337083.619,6045791.38,43800
337122.484,6045759.924,43850
337161.022,6045728.067,43900
337199.228,6045695.814,43950
337237.098,6045663.167,44000
337274.628,6045630.13,44050
337311.815,6045596.706,44100
337348.654,6045562.9,44150
337385.141,6045528.714,44200
337421.273,6045494.153,44250
337457.045,6045459.22,44300
337492.454,6045423.918,44350
337527.496,6045388.253,44400
337562.167,6045352.226,44450
337596.463,6045315.843,44500
337630.382,6045279.107,44550
337663.918,6045242.023,44600
337697.069,6045204.593,44650
337729.832,6045166.822,44700
337762.201,6045128.715,44750
337794.175,6045090.274,44800
337825.749,6045051.505,44850
337856.921,6045012.412,44900
337887.687,6044972.998,44950
337918.043,6044933.268,45000
337947.987,6044893.226,45050
337977.514,6044852.877,45100
338006.623,6044812.224,45150
338035.31,6044771.272,45200
338066.244,6044732.172,45250
338101.844,6044697.071,45300
338139.204,6044663.85,45350
338178.226,6044632.597,45400
338218.805,6044603.394,45450
338260.834,6044576.32,45500
338304.201,6044551.446,45550
338348.792,6044528.838,45600
338394.487,6044508.556,45650
338441.167,6044490.654,45700
338488.706,6044475.18,45750
338536.979,6044462.174,45800
338585.858,6044451.671,45850
338635.213,6044443.7,45900
338684.913,6044438.28,45950
338734.826,6044435.427,46000
338784.819,6044435.147,46050
338834.761,6044437.443,46100
338884.519,6044442.307,46150
338933.959,6044449.727,46200
338982.952,6044459.683,46250
339031.245,6044472.493,46300
339078.171,6044489.681,46350
339126.69,6044501.659,46400
339176.224,6044508.284,46450
339226.185,6044509.477,46500
339275.979,6044505.224,46550
339325.014,6044495.576,46600
339372.708,6044480.648,46650
339418.492,6044460.616,46700
339461.824,6044435.719,46750
339502.189,6044406.253,46800
339539.105,6044372.567,46850
339572.135,6044335.064,46900
339600.887,6044294.187,46950
339625.017,6044250.424,47000
