Site,Agency
A4261108,DEW
A4261110,DEW
A4261122,DEW
A4261123,DEW
A4261124,DEW
A4261126,DEW
A4261128,DEW
A4261133,DEW
A4261134,DEW
A4261135,DEW
A4261148,DEW
A4261153,DEW
A4261155,DEW
A4261156,DEW
A4261158,DEW
A4261159,DEW
A4261160,DEW
A4261161,DEW
A4261162,DEW
A4261163,DEW
A4261164,DEW
A4261165,DEW
A4261167,DEW
A4261168,DEW
A4261172,DEW
A4261173,DEW
A4261204,DEW
A4261205,DEW
A4261206,DEW
A4261207,DEW
A4261208,DEW
A4261209,DEW
A4261219,DEW
A4261220,DEW
A4261221,DEW
A4261222,DEW
A4261223,DEW
A4261224,DEW
A4261225,DEW
A4261244,DEW
A4261246,DEW
A4261247,DEW
A4261248,DEW
A4261255,DEW
A4261263,DEW
A4261264,DEW
A4261265,DEW
A4261269,DEW
A5010500,DEW
A5010503,DEW
A5011006,DEW
A5030502,DEW
A5030503,DEW
A5030504,DEW
A5030525,DEW
A5030526,DEW
A5030529,DEW
A5030537,DEW
A5030543,DEW
A5031001,DEW
A5031004,DEW
A5031005,DEW
A5031009,DEW
A5040503,DEW
A5040512,DEW
A5040529,DEW
A5040549,DEW
A5040563,DEW
A5040578,DEW
A5040583,DEW
A5040901,DEW
A5041003,DEW
A5041006,DEW
A5041014,DEW
A5041021,DEW
A5041023,DEW
A5041045,DEW
A5041046,DEW
A5041051,DEW
A5041052,DEW
A5050502,DEW
A5050503,DEW
A5050510,DEW
A5050517,DEW
A5050532,DEW
A5050533,DEW
A5050535,DEW
A5050543,DEW
A5051003,DEW
A5051004,DEW
A5051016,DEW
A5060500,DEW
A5061008,DEW
A5061010,DEW
A5070500,DEW
A5070501,DEW
A5070503,DEW
A5070901,DEW
A5071002,DEW
A5071005,DEW
A5090502,DEW
A5090503,DEW
A5091002,DEW
A5120500,DEW
A5120503,DEW
A5130501,DEW
A5131002,DEW
A5131007,DEW
A5131014,DEW
A5131015,DEW
Well,SA EPA
EPA_Salt_Creek_West,SA EPA
EPA_Salt_Creek_South_12,SA EPA
EPA_Salt_Creek_South_3,SA EPA
EPA_Bonneys,SA EPA
EPA_Monument,SA EPA
EPA_Currency,SA EPA
EPA_Salt_Creek_Flow,SA EPA
EPA_Ewe,SA EPA
EPA_Finniss,SA EPA
EPA_Goolwa,SA EPA
EPA_Jockwar,SA EPA
EPA_Albert_Middle,SA EPA
EPA_Meningie,SA EPA
EPA_Albert_Opening,SA EPA
EPA_Alex_Middle,SA EPA
EPA_Milang,SA EPA
EPA_Poltalloch,SA EPA
EPA_Wellington,SA EPA
EPA_Mcleay,SA EPA
EPA_Long,SA EPA
EPA_Loveday,SA EPA
EPA_Mark,SA EPA
EPA_McGrath,SA EPA
EPA_Morella,SA EPA
EPA_Mundoo,SA EPA
EPA_Mouth,SA EPA
EPA_Narrung,SA EPA
EPA_North_Jack,SA EPA
EPA_Parnka_Point,SA EPA
EPA_Salt_Creek,SA EPA
EPA_Seagull_Island,SA EPA
EPA_Snipe_Point,SA EPA
EPA_Salt,SA EPA
EPA_Stoney_Well,SA EPA
EPA_Tauwitcherie,SA EPA
EPA_Tauwitchere_Barrage,SA EPA
EPA_Yumpa,SA EPA
SAW_Goolwa_US,SAW
SAW_Milang,SAW
SAW_Murray_Bridge_SP,SAW
SAW_Wall_Flat,SAW
SAW_Cowirra_Surface,SAW
SAW_Mannum,SAW
SAW_Pompoota,SAW
SAW_Mypolonga_Surface,SAW
SAW_Tailem_Bend,SAW
SAW_Swan_Reach_SP,SAW
SAW_Walkers_Flat,SAW
SAW_Blanchetown_Raw,SAW
SAW_Swan_Reach_Town,SAW
SAW_Morgan,SAW
SAW_Cadell_Raw,SAW
SAW_Waikerie_Surface,SAW
SAW_Woolpunda_Surface,SAW
SAW_Kingston_ON_Murray,SAW
SAW_Lock3,SAW
SAW_Moorook_Surface,SAW
SAW_Cobdogla_Surface,SAW
SAW_Loxton_Surface,SAW
SAW_Glossop,SAW
SAW_Berri_Surface,SAW
SAW_Renmark_Surface,SAW
SAW_DS_lock6_8km,SAW
OFFTAKE_MAPL,OFFTAKE
OFFTAKE_MBO,OFFTAKE
OFFTAKE_SRS,OFFTAKE
OFFTAKE_TB,OFFTAKE
OFFTAKE_SR,OFFTAKE
EPA2014_CLLMM_Transect_Coorong,SA EPA
EPA2014_CLLMM_Transect_Lower_Lakes,SA EPA
EPA2014_CLLMM_Transects_Morella,SA EPA
EPA2014_Clayton_1,SA EPA
EPA2014_Clayton_3A,SA EPA
EPA2014_Clayton_3B,SA EPA
EPA2014_Clayton_3C,SA EPA
EPA2014_Coorong_1_8km_West_Salt_Creek,SA EPA
EPA2014_Coorong_Bonneys,SA EPA
EPA2014_Coorong_Boundary_Creek_1,SA EPA
EPA2014_Coorong_Ewe_Island_Barrage,SA EPA
EPA2014_Coorong_Ewe_Island_Barrage_Adj_to_NW_end,SA EPA
EPA2014_Coorong_Goolwa_Channel_Monument_Rd,SA EPA
EPA2014_Coorong_Jockwar_Road,SA EPA
EPA2014_Coorong_Long_Point,SA EPA
EPA2014_Coorong_Mark_Point,SA EPA
EPA2014_Coorong_Monument_Road,SA EPA
EPA2014_Coorong_Mundoo_Channel,SA EPA
EPA2014_Coorong_Murray_Mouth,SA EPA
EPA2014_Coorong_Salt_Ck_outlet_Salt_Creek,SA EPA
EPA2014_Coorong_Tauwitchere_Barrage,SA EPA
EPA2014_Coorong_Villa_de_Yumpa,SA EPA
EPA2014_Coorong_sub_lagoon_1_Tauwitchere,SA EPA
EPA2014_Coorong_sub_lagoon_10_Jack_Point,SA EPA
EPA2014_Coorong_sub_lagoon_12_Sth_of_Salt_Creek,SA EPA
EPA2014_Coorong_sub_lagoon_2_Mark_Point,SA EPA
EPA2014_Coorong_sub_lagoon_3_Long_Point,SA EPA
EPA2014_Coorong_sub_lagoon_4_Noonameena,SA EPA
EPA2014_Coorong_sub_lagoon_5_Bonneys,SA EPA
EPA2014_Coorong_sub_lagoon_6_McGrath_Flat_North,SA EPA
EPA2014_Coorong_sub_lagoon_7_Parnka_Point,SA EPA
EPA2014_Coorong_sub_lagoon_9_Stoney_Well,SA EPA
EPA2014_Currency_Ck_CC_292,SA EPA
EPA2014_Currency_Ck_CC_DS5,SA EPA
EPA2014_Currency_Ck_CC_DS6,SA EPA
EPA2014_Currency_Ck_Bore_LCC_P2,SA EPA
EPA2014_Currency_Ck_CCGC,SA EPA
EPA2014_Currency_Creek_CCUS1,SA EPA
EPA2014_Currency_Creek_Currency_1,SA EPA
EPA2014_Currency_Creek_Currency_2,SA EPA
EPA2014_Currency_Creek_Currency_3,SA EPA
EPA2014_Currency_Creek_Regulator,SA EPA
EPA2014_Currency_Creek_US_of_Narrows,SA EPA
EPA2014_Dunns_Lagoon_DL_Jetty,SA EPA
EPA2014_Dunns_Lagoon_DL1_Kayak,SA EPA
EPA2014_Dunns_Lagoon_DL10_Kayak,SA EPA
EPA2014_Dunns_Lagoon_DL2_Kayak,SA EPA
EPA2014_Dunns_Lagoon_DL3_Kayak,SA EPA
EPA2014_Dunns_Lagoon_DL4_Kayak,SA EPA
EPA2014_Dunns_Lagoon_DL5_Kayak,SA EPA
EPA2014_Dunns_Lagoon_DL6_Kayak,SA EPA
EPA2014_Dunns_Lagoon_DL7_Kayak,SA EPA
EPA2014_Dunns_Lagoon_DL8_Kayak,SA EPA
EPA2014_Dunns_Lagoon_DL9_Kayak,SA EPA
EPA2014_Dunns_Lagoon_DLT10,SA EPA
EPA2014_Dunns_Lagoon_DLT3,SA EPA
EPA2014_Dunns_Lagoon_DLT7,SA EPA
EPA2014_Finniss_River_FR_DS1,SA EPA
EPA2014_Finniss_River_DS_of_WL,SA EPA
EPA2014_Finniss_River_FRGC,SA EPA
EPA2014_Finniss_River_Finniss_1,SA EPA
EPA2014_Finniss_River_Finniss_2,SA EPA
EPA2014_Finniss_River_Finniss_3,SA EPA
EPA2014_Finniss_River_US1,SA EPA
EPA2014_Finniss_River_Wallys_Landing_FR_WL,SA EPA
EPA2014_Hindmarsh_Island_Boggy_Creek_1,SA EPA
EPA2014_Hindmarsh_Island_Boggy_Creek_2,SA EPA
EPA2014_Hindmarsh_Island_Boggy_Creek_3,SA EPA
EPA2014_Hindmarsh_Island_Boggy_Creek_4,SA EPA
EPA2014_Hindmarsh_Island_Boggy_Creek_5,SA EPA
EPA2014_Hindmarsh_Island_Boggy_Creek_6,SA EPA
EPA2014_Hindmarsh_Island_Boggy_Creek_7,SA EPA
EPA2014_Hindmarsh_Island_Estick_Creek_2,SA EPA
EPA2014_Hindmarsh_Island_Estick_Creek_3,SA EPA
EPA2014_Hindmarsh_Island_Estick_Creek_5,SA EPA
EPA2014_Hindmarsh_Island_Hunters_Creek_1,SA EPA
EPA2014_Hindmarsh_Island_Hunters_Creek_2,SA EPA
EPA2014_Hindmarsh_Island_Hunters_Creek_3,SA EPA
EPA2014_Hindmarsh_Island_Hunters_Creek_4,SA EPA
EPA2014_Hindmarsh_Island_Hunters_Creek_5,SA EPA
EPA2014_Hindmarsh_Island_Hunters_Creek_6,SA EPA
EPA2014_Hindmarsh_Island_Mundoo_Channel_2,SA EPA
EPA2014_LMRIA_Plume_Burdett,SA EPA
EPA2014_LMRIA_Plume_Jervois,SA EPA
EPA2014_LMRIA_Plume_Jervois_Wellington,SA EPA
EPA2014_LMRIA_Plume_Jervois_Woods_Point,SA EPA
EPA2014_LMRIA_Plume_Jervois_Monteith,SA EPA
EPA2014_LMRIA_Plume_Long_Flat,SA EPA
EPA2014_LMRIA_Plume_Mobilong,SA EPA
EPA2014_LMRIA_Plume_Monteith,SA EPA
EPA2014_LMRIA_Plume_Riverglen,SA EPA
EPA2014_LMRIA_Plume_Toora,SA EPA
EPA2014_LMRIA_Plume_Westbrook_Park,SA EPA
EPA2014_LMRIA_Plume_Woods_Point,SA EPA
EPA2014_Lake_Albert_Bascombe_Bay_1,SA EPA
EPA2014_Lake_Albert_Bascombe_Bay_2,SA EPA
EPA2014_Lake_Albert_Bascombe_Bay_3,SA EPA
EPA2014_Lake_Albert_Bascombe_Bay_4,SA EPA
EPA2014_Lake_Albert_Bascombe_Bay_5,SA EPA
EPA2014_Lake_Albert_Bascombe_Bay_6,SA EPA
EPA2014_Lake_Albert_Bascombe_Bay_7,SA EPA
EPA2014_Lake_Albert_Bascombe_Bay_8,SA EPA
EPA2014_Lake_Albert_Campbell_Park,SA EPA
EPA2014_Lake_Albert_Granite_2,SA EPA
EPA2014_Lake_Albert_Juron_Swamp_1,SA EPA
EPA2014_Lake_Albert_Juron_Swamp_2,SA EPA
EPA2014_Lake_Albert_Juron_Swamp_3,SA EPA
EPA2014_Lake_Albert_Juron_Swamp_4,SA EPA
EPA2014_Lake_Albert_Narrows_1,SA EPA
EPA2014_Lake_Albert_Narrows_10,SA EPA
EPA2014_Lake_Albert_Narrows_11,SA EPA
EPA2014_Lake_Albert_Narrows_12,SA EPA
EPA2014_Lake_Albert_Narrows_13,SA EPA
EPA2014_Lake_Albert_Narrows_14,SA EPA
EPA2014_Lake_Albert_Narrows_15,SA EPA
EPA2014_Lake_Albert_Narrows_16,SA EPA
EPA2014_Lake_Albert_Narrows_17,SA EPA
EPA2014_Lake_Albert_Narrows_18,SA EPA
EPA2014_Lake_Albert_Narrows_19,SA EPA
EPA2014_Lake_Albert_Narrows_2,SA EPA
EPA2014_Lake_Albert_Narrows_3,SA EPA
EPA2014_Lake_Albert_Narrows_4,SA EPA
EPA2014_Lake_Albert_Narrows_5,SA EPA
EPA2014_Lake_Albert_Narrows_6,SA EPA
EPA2014_Lake_Albert_Narrows_7,SA EPA
EPA2014_Lake_Albert_Narrows_8,SA EPA
EPA2014_Lake_Albert_Narrows_9,SA EPA
EPA2014_Lake_Albert_Narrung,SA EPA
EPA2014_Lake_Albert_Narrung_Narrows_Swamp_1,SA EPA
EPA2014_Lake_Albert_Narrung_Narrows_Swamp_2,SA EPA
EPA2014_Lake_Albert_Narrung_Narrows_Swamp_3,SA EPA
EPA2014_Lake_Albert_Narrung_Swamp_1,SA EPA
EPA2014_Lake_Albert_Opening,SA EPA
EPA2014_Lake_Albert_Reedy_Point_1,SA EPA
EPA2014_Lake_Albert_Reedy_Point_2,SA EPA
EPA2014_Lake_Albert_Reedy_Point_3,SA EPA
EPA2014_Lake_Albert_Reedy_Point_4,SA EPA
EPA2014_Lake_Albert_Reedy_Point_5,SA EPA
EPA2014_Lake_Albert_Reedy_Point_6,SA EPA
EPA2014_Lake_Albert_Reedy_Point_7,SA EPA
EPA2014_Lake_Albert_Reedy_Point_A,SA EPA
EPA2014_Lake_Albert_Reedy_Point_B,SA EPA
EPA2014_Lake_Albert_Reedy_Point_C,SA EPA
EPA2014_Lake_Albert_Reedy_Point_D,SA EPA
EPA2014_Lake_Albert_Reedy_Point_E,SA EPA
EPA2014_Lake_Albert_Reedy_Point_F,SA EPA
EPA2014_Lake_Albert_Reedy_Point_G,SA EPA
EPA2014_Lake_Albert_Reedy_Point_H,SA EPA
EPA2014_Lake_Albert_Reedy_Point_I,SA EPA
EPA2014_Lake_Albert_Reedy_Point_Pool,SA EPA
EPA2014_Lake_Albert_Reedy_Point_South_1,SA EPA
EPA2014_Lake_Albert_Reedy_Point_South_2,SA EPA
EPA2014_Lake_Albert_Reedy_Point_South_3,SA EPA
EPA2014_Lake_Albert_Reedy_Point_South_4,SA EPA
EPA2014_Lake_Albert_Reedy_Point_South_Scum,SA EPA
EPA2014_Lake_Albert_Rumply_Point,SA EPA
EPA2014_Lake_Albert_Rumply_Point_North_1,SA EPA
EPA2014_Lake_Albert_Rumply_Point_North_2,SA EPA
EPA2014_Lake_Albert_Rumply_Point_North_3,SA EPA
EPA2014_Lake_Albert_Rumply_Point_North_A,SA EPA
EPA2014_Lake_Albert_Rumply_Point_Pool,SA EPA
EPA2014_Lake_Albert_Rumply_Point_Pool_1,SA EPA
EPA2014_Lake_Albert_Rumply_Point_Pool_2,SA EPA
EPA2014_Lake_Albert_Rumply_Point_South_1,SA EPA
EPA2014_Lake_Albert_Rumply_Point_South_2,SA EPA
EPA2014_Lake_Albert_Rumply_Point_South_3,SA EPA
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_1,SA EPA
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_2,SA EPA
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_2_A,SA EPA
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_2_B,SA EPA
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_2_C,SA EPA
EPA2014_Lake_Albert_Rumply_Point_South_West_Pool_2_D,SA EPA
EPA2014_Lake_Albert_South_West,SA EPA
EPA2014_Lake_Albert_Teringie_Swamp_1,SA EPA
EPA2014_Lake_Albert_Waringie_Point,SA EPA
EPA2014_Lake_Albert_Water_Level_Recorder,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_1,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_10,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_11,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_12,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_13,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_14,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_15,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_16,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_17,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_18,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_19,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_2,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_20,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_21,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_22,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_23,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_24,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_25,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_26,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_27,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_28,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_29,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_3,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_30,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_31,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_32,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_33,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_34,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_35,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_36,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_37,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_38,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_39,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_4,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_40,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_41,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_42,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_43,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_44,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_5,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_6,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_7,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_8,SA EPA
EPA2014_Lake_Alexandrina_Boggy_Lake_9,SA EPA
EPA2014_Lake_Alexandrina_Dog_Lake_10,SA EPA
EPA2014_Lake_Alexandrina_Dog_Lake_11,SA EPA
EPA2014_Lake_Alexandrina_Dog_Lake_1b,SA EPA
EPA2014_Lake_Alexandrina_Dog_Lake_2,SA EPA
EPA2014_Lake_Alexandrina_Dog_Lake_3,SA EPA
EPA2014_Lake_Alexandrina_Dog_Lake_4,SA EPA
EPA2014_Lake_Alexandrina_Dog_Lake_5,SA EPA
EPA2014_Lake_Alexandrina_Dog_Lake_6,SA EPA
EPA2014_Lake_Alexandrina_Dog_Lake_7,SA EPA
EPA2014_Lake_Alexandrina_Dog_Lake_8,SA EPA
EPA2014_Lake_Alexandrina_Dog_Lake_9,SA EPA
EPA2014_Lake_Alexandrina_Eckerts_Road,SA EPA
EPA2014_Lake_Alexandrina_McHughes_Bay_1,SA EPA
EPA2014_Lake_Alexandrina_McHughes_Bay_2,SA EPA
EPA2014_Lake_Alexandrina_McHughes_Bay_3,SA EPA
EPA2014_Lake_Alexandrina_McHughes_Bay_4,SA EPA
EPA2014_Lake_Alexandrina_Point_Sturt_1,SA EPA
EPA2014_Lake_Alexandrina_Point_Sturt_2,SA EPA
EPA2014_Lake_Alexandrina_Point_Sturt_3,SA EPA
EPA2014_Lake_Alexandrina_Point_Sturt_4,SA EPA
EPA2014_Lake_Alexandrina_Point_Sturt_5,SA EPA
EPA2014_Lake_Alexandrina_Point_Sturt_6,SA EPA
EPA2014_Lake_Alexandrina_Point_Sturt_7,SA EPA
EPA2014_Lake_Alexandrina_Point_Sturt_8,SA EPA
EPA2014_Lake_Alexandrina_Mulgundawa_Recorder,SA EPA
EPA2014_Lake_Alexandrina_Beacon_97,SA EPA
EPA2014_Lake_Alexandrina_Clayton_east_of_regulator,SA EPA
EPA2014_Lake_Alexandrina_Clayton_west_of_regulator,SA EPA
EPA2014_Lake_Alexandrina_Ewe_Island_Barrage_site_1,SA EPA
EPA2014_Lake_Alexandrina_Ewe_Island_Barrage_site_3,SA EPA
EPA2014_Lake_Alexandrina_Goolwa_Barrage_Downstream,SA EPA
EPA2014_Lake_Alexandrina_Goolwa_Barrage_Upstream,SA EPA
EPA2014_Lake_Alexandrina_Islands,SA EPA
EPA2014_Lake_Alexandrina_Middle,SA EPA
EPA2014_Lake_Alexandrina_Narrung,SA EPA
EPA2014_Lake_Alexandrina_Off_Point_McLeay,SA EPA
EPA2014_Lake_Alexandrina_Opening,SA EPA
EPA2014_Lake_Alexandrina_Poltalloch_1A,SA EPA
EPA2014_Lake_Alexandrina_Tauwitcherie_Barrage_site_1,SA EPA
EPA2014_Lake_Alexandrina_Tauwitcherie_Barrage_site_2,SA EPA
EPA2014_Lake_Alexandrina_Tauwitcherie_Barrage_site_3,SA EPA
EPA2014_Lake_Alexandrina_Tauwitcherie_Barrage_site_4,SA EPA
EPA2014_Lake_Alexandrina_Top,SA EPA
EPA2014_Lake_Alexandrina_Top_A,SA EPA
EPA2014_Lake_Alexandrina_Top_E,SA EPA
EPA2014_Lake_Alexandrina_Top_G,SA EPA
EPA2014_Lake_Alexandrina_Wellington,SA EPA
EPA2014_Lake_Alexandrina_off_Point_Sturt,SA EPA
EPA2014_Lake_Alexandrina_off_Rat_Island,SA EPA
EPA2014_Loveday_Bay,SA EPA
EPA2014_Loveday_Bay_LA_Nth,SA EPA
EPA2014_Loveday_Bay_LA_Sth,SA EPA
EPA2014_Loveday_Bay_LB1,SA EPA
EPA2014_Loveday_Bay_LB10,SA EPA
EPA2014_Loveday_Bay_LB11,SA EPA
EPA2014_Loveday_Bay_LB12,SA EPA
EPA2014_Loveday_Bay_LB4,SA EPA
EPA2014_Loveday_Bay_LB5,SA EPA
EPA2014_Loveday_Bay_LB6,SA EPA
EPA2014_Loveday_Bay_LB7,SA EPA
EPA2014_Loveday_Bay_LB8,SA EPA
EPA2014_Loveday_Bay_LB9,SA EPA
EPA2014_Meningie,SA EPA
EPA2014_Milang,SA EPA
EPA2014_Morella_Basin_North_Jack_Point,SA EPA
EPA2014_Murray_Mouth,SA EPA
EPA2014_Murray_Mouth_Goolwa_Beach_1,SA EPA
EPA2014_Murray_Mouth_Goolwa_Beach_2,SA EPA
EPA2014_Murray_Mouth_Goolwa_Beach_3,SA EPA
EPA2014_Murray_Mouth_S_Ocean_1,SA EPA
EPA2014_Murray_Mouth_S_Ocean_2,SA EPA
EPA2014_Murray_Mouth_S_Ocean_3,SA EPA
EPA2014_Murray_Mouth_Young_Husband_1,SA EPA
EPA2014_Murray_Mouth_Young_Husband_2,SA EPA
EPA2014_Murray_Mouth_Young_Husband_3,SA EPA
EPA2014_Narrung_Narrows,SA EPA
EPA2014_Poltalloch,SA EPA
EPA2014_River_Murray_Survey_2011,SA EPA
EPA2014_Salt_Lagoon_SL1,SA EPA
EPA2014_Salt_Lagoon_SL11,SA EPA
EPA2014_Salt_Lagoon_SL13,SA EPA
EPA2014_Salt_Lagoon_SL14,SA EPA
EPA2014_Salt_Lagoon_SL15,SA EPA
EPA2014_Salt_Lagoon_SL16,SA EPA
EPA2014_Salt_Lagoon_SL17,SA EPA
EPA2014_Salt_Lagoon_SL2,SA EPA
EPA2014_Salt_Lagoon_SL3,SA EPA
EPA2014_Salt_Lagoon_SL4,SA EPA
EPA2014_Salt_Lagoon_SL5,SA EPA
EPA2014_Salt_Lagoon_SL8,SA EPA
EPA2014_Tauwitchere_Bogon_Island_East,SA EPA
EPA2014_Tauwitchere_Boundary_Creek_North,SA EPA
EPA2014_Tauwitchere_Long_Island_North,SA EPA
EPA2014_Tauwitchere_Mud_Island_1,SA EPA
EPA2014_Tauwitchere_Mud_Island_2,SA EPA
EPA2014_Tauwitchere_Mundoo_Channel_North,SA EPA
UA_Tauwitchere,UA Compiled
UA_North_Jacks_Pt,UA Compiled
UA_South_Policemans_Pt,UA Compiled
UA_South_Salt_Creek,UA Compiled
UA_Mark_Pt,UA Compiled
UA_Long_Point,UA Compiled
UA_Noonameena,UA Compiled
UA_Bonneys,UA Compiled
UA_McGrath_Flat_Nth,UA Compiled
UA_Parnka_Pt,UA Compiled
UA_Villa_de_Yumpa,UA Compiled
UA_Stony_Well,UA Compiled
UA_Salt_Creek_1p8km_west,UA Compiled
UA_Salt_Creek_3p2km_west,UA Compiled
UA_Murray_Mouth,UA Compiled
UA_Snipe_Point,UA Compiled
Site10,UA Logger
Site14,UA Logger
Site30,UA Logger
