Site,Conductivity,SAL,TEMP,WQ_CAR_DIC,WQ_CAR_PH,WQ_DIAG_TOT_TAL,WQ_DIAG_TOT_TFE,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_GEO_AL,WQ_GEO_CA,WQ_GEO_CALCITE,WQ_GEO_CL,WQ_GEO_FEII,WQ_GEO_K,WQ_GEO_MG,WQ_GEO_MN,WQ_GEO_NA,WQ_GEO_SO4,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OXY_OXY,WQ_PHS_FRP,WQ_PHY_GRN,WQ_SIL_RSI,
Coorong_Long_Point,x, ,x,x,x, , ,x,x, ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Coorong_Mark_Point,x, ,x,x,x, , ,x,x, ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Coorong_Monument_Road,x, ,x,x,x, , ,x,x, ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Coorong_Mundoo_Channel,x, ,x,x,x, , ,x, , ,x, ,x, , , , , , , , , , ,x,x, ,x,x,x,x,
Coorong_Murray_Mouth,x, ,x,x,x, , ,x,x, ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Coorong_Salt_Ck_outlet_Salt_Creek,x,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , ,
Coorong_Salt_Creek_footbridge,x,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , ,
Coorong_Tauwitchere_Barrage,x, ,x,x,x,x,x,x, , ,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,
Coorong_Villa_de_Yumpa,x, ,x,x,x, , ,x,x, ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Coorong_sub_lagoon_1_Tauwitchere,x,x,x,x,x,x,x,x, , ,x, ,x,x, , , ,x, , , , , ,x, , , , ,x, ,
Coorong_sub_lagoon_10_Jack_Point,x,x,x,x,x,x,x,x,x, ,x, ,x,x, , ,x,x, , , , , ,x,x, ,x,x,x,x,
Coorong_sub_lagoon_12_Sth_of_Salt_Creek,x, ,x,x,x,x,x,x,x, ,x, ,x,x, , ,x,x, , , , , ,x,x, ,x,x,x,x,
Coorong_sub_lagoon_2_Mark_Point,x,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , ,
Coorong_sub_lagoon_3_Long_Point,x,x,x,x,x,x,x,x, , ,x, ,x,x, , , ,x, , , , , ,x, , , , ,x, ,
Coorong_sub_lagoon_4_Noonameena,x,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , ,
Coorong_sub_lagoon_5_Bonneys,x,x,x,x,x,x,x,x, , ,x, ,x,x, , , ,x, , , , , ,x, , , , ,x, ,
Coorong_sub_lagoon_6_McGrath_Flat_North,x, ,x,x,x, , ,x,x, ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Coorong_sub_lagoon_7_Parnka_Point,x,x,x,x,x,x,x,x,x, ,x, ,x,x, , ,x,x, , , , , ,x,x, ,x,x,x,x,
Coorong_sub_lagoon_9_Stoney_Well,x,x,x,x,x, , ,x,x, ,x, ,x, , , ,x, , , , , , ,x,x, ,x,x,x,x,
Currency_Ck_CC_292,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Currency_Ck_CC_DS5,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Currency_Ck_CC_DS6,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Currency_Ck_DS1,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Currency_Ck_DS2,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Currency_Ck_DS4TP_surface_water,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Currency_Ck_Bore_LCC_P2,x, ,x,x,x, , , , , , , , ,x,x, ,x,x,x, ,x,x,x, , , ,x, , , ,
Currency_Ck_CCGC,x, , ,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Currency_Creek_CCUS1,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,
Currency_Creek_Currency_1,x, ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Currency_Creek_Currency_2,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Currency_Creek_Currency_3,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,
Currency_Creek_Regulator,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,
Currency_Creek_US_of_Narrows,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,
Dunns_Lagoon_DL_Jetty,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Dunns_Lagoon_DL1_Kayak,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Dunns_Lagoon_DL10_Kayak,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Dunns_Lagoon_DL2_Kayak,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Dunns_Lagoon_DL3_Kayak,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Dunns_Lagoon_DL4_Kayak,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Dunns_Lagoon_DL5_Kayak,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Dunns_Lagoon_DL6_Kayak,x, ,x,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , ,x, , , ,
Dunns_Lagoon_DL7_Kayak,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Dunns_Lagoon_DL8_Kayak,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Dunns_Lagoon_DL9_Kayak,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Dunns_Lagoon_DLT10,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Dunns_Lagoon_DLT3,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Dunns_Lagoon_DLT7,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Finniss_River_FR_DS1,x, , ,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , , , , , ,
Finniss_River_DS_of_WL,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,
Finniss_River_FRGC,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,
Finniss_River_Finniss_1,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Finniss_River_Finniss_2,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Finniss_River_Finniss_3,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,
Finniss_River_US1,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,
Finniss_River_Wallys_Landing_FR_WL,x, ,x,x,x,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x,x, , ,x, , , ,
Hindmarsh_Island_Boggy_Creek_1,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Hindmarsh_Island_Boggy_Creek_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Hindmarsh_Island_Boggy_Creek_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Hindmarsh_Island_Boggy_Creek_4,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Hindmarsh_Island_Boggy_Creek_5,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Hindmarsh_Island_Boggy_Creek_6,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Hindmarsh_Island_Boggy_Creek_7,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Hindmarsh_Island_Estick_Creek_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Hindmarsh_Island_Estick_Creek_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Hindmarsh_Island_Estick_Creek_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Hindmarsh_Island_Estick_Creek_5,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Hindmarsh_Island_Hunters_Creek_1,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Hindmarsh_Island_Hunters_Creek_2,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Hindmarsh_Island_Hunters_Creek_3,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Hindmarsh_Island_Hunters_Creek_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Hindmarsh_Island_Hunters_Creek_5,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Hindmarsh_Island_Hunters_Creek_6,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Hindmarsh_Island_Mundoo_Channel_1,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Hindmarsh_Island_Mundoo_Channel_2,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
LMRIA_Plume_Burdett,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , ,x, , , ,x,
LMRIA_Plume_Jervois,x,x,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x, , , , , , , , ,
LMRIA_Plume_Jervois_Wellington,x,x,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x, ,x,
LMRIA_Plume_Jervois_Woods_Point,x,x,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x, ,x,
LMRIA_Plume_Jervois_Monteith,x, ,x, ,x, , , , , , , ,x, , , , , , , , , , , , , , , , , ,
LMRIA_Plume_Long_Flat,x,x,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x, ,x,
LMRIA_Plume_Mobilong,x,x,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x, ,x,
LMRIA_Plume_Monteith,x,x,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x, ,x,
LMRIA_Plume_Riverglen,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x, ,x,
LMRIA_Plume_Toora,x,x,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x, ,x,
LMRIA_Plume_Westbrook_Park,x,x,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x, ,x,
LMRIA_Plume_Woods_Point,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x,x,x,x, ,x, ,x,
Lake_Albert_Bascombe_Bay_1,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Bascombe_Bay_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Bascombe_Bay_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Bascombe_Bay_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Bascombe_Bay_5,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Bascombe_Bay_6,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Bascombe_Bay_7,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Bascombe_Bay_8,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Campbell_Park,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,
Lake_Albert_Granite_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Juron_Swamp_1,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Albert_Juron_Swamp_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Juron_Swamp_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Juron_Swamp_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_1,x, ,x, ,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_10,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_11,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_12,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_13,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_14,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_15,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_16,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,
Lake_Albert_Narrows_17,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_18,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_19,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_5,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Albert_Narrows_6,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrows_7,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,
Lake_Albert_Narrows_8,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,
Lake_Albert_Narrows_9,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrung,x, ,x,x,x,x,x,x,x, ,x, ,x,x,x, ,x,x,x, ,x,x,x,x,x, ,x,x,x,x,
Lake_Albert_Narrung_Narrows_Swamp_1,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrung_Narrows_Swamp_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrung_Narrows_Swamp_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Narrung_Swamp_1,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Albert_Opening,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lake_Albert_Reedy_Point_1,x, ,x,x,x,x,x,x, , , , ,x,x,x, ,x,x,x, ,x,x,x, ,x, ,x, , ,x,
Lake_Albert_Reedy_Point_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_4,x, ,x,x,x, , , , , , , ,x, , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_5,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Albert_Reedy_Point_6,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_7,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_A,x, ,x,x,x,x,x, , , , , , ,x, , ,x,x, , , , ,x, , , ,x, , , ,
Lake_Albert_Reedy_Point_B,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_C,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_D,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_E,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_F,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_G,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , ,
Lake_Albert_Reedy_Point_H,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_I,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_Pool,x, ,x,x,x,x,x, , , , , , ,x, , ,x,x, , , , ,x, , , ,x, , , ,
Lake_Albert_Reedy_Point_South_1,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_South_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_South_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_South_4,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Reedy_Point_South_Scum,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_North_1,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_North_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_North_3,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Albert_Rumply_Point_North_A,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_Pool,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_Pool_1,x, ,x,x,x,x,x,x, , , , ,x,x,x, ,x,x,x, ,x,x,x, ,x, ,x, , ,x,
Lake_Albert_Rumply_Point_Pool_2,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Albert_Rumply_Point_South_1,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_South_2,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_South_3,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_South_West_Pool_1,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_South_West_Pool_2,x, ,x,x,x,x,x, , , , , , ,x, , ,x,x, , , , ,x, , , ,x, , , ,
Lake_Albert_Rumply_Point_South_West_Pool_2_A,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_South_West_Pool_2_B,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_South_West_Pool_2_C,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Rumply_Point_South_West_Pool_2_D,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , ,
Lake_Albert_South_West,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lake_Albert_Teringie_Swamp_1,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Albert_Waringie_Point,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Albert_Water_Level_Recorder,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Lake_Alexandrina_Boggy_Lake_1,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_10,x, ,x,x,x,x,x, , , , , ,x,x,x, ,x,x,x, ,x,x,x, , , ,x, , ,x,
Lake_Alexandrina_Boggy_Lake_11,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_12,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_13,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_14,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
Lake_Alexandrina_Boggy_Lake_15,x, ,x,x,x, , , , , , , , , , , , , , , , , , , , , ,x, , , ,
