Site_ID,Data_Type,Data_Supplier,Date,Easting,Northing,Total_Dissolved_Solids_mg_L,Turbidity_NTU,Alkalinity_as_Calcium_Carbonate_mg_L,Chloride_mg_L,Silica_Reactive_mg_L,Ammonia_as_N_mg_L,Nitrate_Nitrite_as_N_mg_L,Nitrogen_Total_as_N_mg_L,Phosphorus_Total_as_P_mg_L,pH_field,Dissolved_Organic_Carbon_mg_L,Total_Organic_Carbon_mg_L,Chlorophyll_a_mg_m3,Chlorophyll_b_mg_m3,Pheophytin_a_mg_m3,Total_Algae_Cell_Count_cells_mL,Total_Biovolume_mm3_L
3.2km South of Salt Creek land,Laboratory,AWQC,18/02/2020,377570,5997290,132000,15,194,61700,5.65,0.078,0.004,6.45,0.245,7.8,26.3,35.9,42.5,,6.6,,
3.2km South of Salt Creek land,Laboratory,AWQC,17/03/2020,377570,5997290,157000,26,221,77100,7.83,0.062,0.009,8.44,0.187,7.6,31.4,38.3,29.4,,4.46,,
3.2km South of Salt Creek land,Laboratory,AWQC,15/04/2020,377570,5997290,146000,12,223,70800,5.69,,0.006,6.21,0.103,7.8,31.4,36.4,34.2,,4.3,,
3.2km South of Salt Creek land,Laboratory,AWQC,12/05/2020,377570,5997290,115000,33,216,52500,2.51,0.047,0.028,6.27,0.237,7.9,25.4,35.6,28.9,,7.09,,
3.2km South of Salt Creek land,Laboratory,AWQC,11/06/2020,377570,5997290,101000,7.3,205,52600,1.45,0.05,0.009,4.56,0.225,7.9,23.4,26.9,25,,4.46,,
3.2km South of Salt Creek land,Laboratory,AWQC,24/06/2020,377570,5997290,98100,5.4,185,51200,0.49,0.01,0.003,4.02,0.16,7.9,23.5,26.4,17.2,,2.55,,
3.2km South of Salt Creek land,Laboratory,ALS,7/07/2020,377570,5997290,89400,6.7,210,,0.42,0.03,<0.01,3.9,2.94,4.89,32,38,12,<1,1,385731,
3.2km South of Salt Creek land,Laboratory,ALS,22/07/2020,377570,5997290,90800,8.1,226,48200,0.62,<0.02,<0.01,4.1,2.14,4.89,28,32,2,<1,3,1340233,
3.2km South of Salt Creek land,Laboratory,ALS,5/08/2020,377570,5997290,98800,8.6,224,49600,0.58,<0.02,<0.01,3.8,2.24,6.8,28,35,8,<1,5,2051163,31.68
3.2km South of Salt Creek land,Laboratory,ALS,26/08/2020,377570,5997290,97900,8.6,240,47800,0.11,<0.02,<0.01,3.8,0.66,7.37,31,36,10,<1,1,1724680,34.39
3.2km South of Salt Creek land,Laboratory,ALS,9/09/2020,377570,5997290,84600,7.8,215,48800,0.42,<0.02,<0.01,3.8,1.42,7.8,23,38,9,<1,1,612451,18.23
3.2km South of Salt Creek land,Laboratory,ALS,30/09/2020,377570,5997290,89600,10.1,206,49700,<0.05,<0.02,<0.01,3.3,1.28,7.73,30,36,8,<1,1,798592,16.93
3.2km South of Salt Creek land,Laboratory,ALS,21/10/2020,377570,5997290,85400,8.7,234,45300,0.26,<0.02,<0.01,2.6,2.95,7.89,29,32,2,<1,<1,3945953,40.68
3.2km South of Salt Creek land,Laboratory,ALS,17/11/2020,377570,5997290,92400,10.9,213,49500,0.08,<0.02,0.02,3.8,2.74,8.08,32,38,16,3,3,1386972,17.07
3.2km South of Salt Creek land,Laboratory,ALS,1/12/2020,377570,5997290,87200,11.1,224,52500,0.88,<0.02,<0.01,4,0.48,8.47,33,42,12,2,2,1483759,20.6
3.2km South of Salt Creek land,Laboratory,ALS,3/02/2021,377570,5997290,130000,23.2,225,78800,5.36,<0.02,<0.01,11.9,4.9,8.26,46,55,7,<1,4,322795,15.4
3.2km South of Salt Creek land,Laboratory,ALS,24/02/2021,377570,5997290,127000,12.1,211,86800,5.71,<0.02,<0.01,2.2,0.11,6.72,43,54,11,<1,7,328658,15.33
3.2km South of Salt Creek land,Laboratory,ALS,17/03/2021,377570,5997290,138000,11.2,214,76900,6.21,<0.02,<0.01,2.8,0.31,7.37,48,56,11,<1,7,525745,30.51
3.2km South of Salt Creek land,Laboratory,ALS,7/04/2021,377570,5997290,106000,13.1,229,74400,5.62,<0.02,<0.01,4.1,4.55,7.6,48,55,34,2,<1,298555,17.03
3.2km South of Salt Creek land,Laboratory,ALS,12/05/2021,377570,5997290,85400,7.9,228,65900,3.46,<0.02,<0.01,3.1,5.01,7.77,48,54,6,<1,<1,278106,9.06
3.2km South of Salt Creek land,Laboratory,ALS,21/06/2021,377570,5997290,114000,6.5,191,53800,1.42,<0.02,<0.01,4.4,1.12,8.23,32,37,9,<1,4,956052,17.51
3.2km South of Salt Creek land,Laboratory,ALS,28/06/2021,377570,5997290,102000,7.5,211,56500,1.51,<0.02,<0.01,1,4.25,10.04,30,34,16,<1,3,999286,9.32
3.2km South of Salt Creek land,Laboratory,ALS,13/07/2021,377570,5997290,101000,5.5,221,48700,1.19,<0.02,<0.01,2.4,0.06,9.82,34,36,8,<1,6,1146607,16.56
3.2km South of Salt Creek land,Laboratory,ALS,9/08/2021,377570,5997290,80500,14.5,206,46700,1.23,<0.02,<0.01,4.3,1.64,11.13,29,33,6,<1,3,956855,8.72
3.2km South of Salt Creek land,Laboratory,ALS,24/08/2021,377570,5997290,68100,11.9,252,39600,1.81,0.06,<0.01,1.4,0.17,7.72,25,30,6,<1,2,724274,5.67
3.2km South of Salt Creek land,Laboratory,ALS,8/09/2021,377570,5997290,67600,5.4,259,35000,3.2,<0.02,<0.01,1.2,0.42,8.05,22,24,,,,193483,1.63
3.2km South of Salt Creek land,Laboratory,ALS,22/09/2021,377570,5997290,65000,10.3,259,36400,1.77,<0.02,<0.01,2.6,1.3,8.16,21,25,4,<1,2,744064,5.58
3.2km South of Salt Creek land,Laboratory,ALS,26/10/2021,377570,5997290,73000,6.4,247,38000,1.1,<0.02,<0.01,2.6,0.67,7.92,24,32,2,<1,<1,2833734,23.27
3.2km South of Salt Creek land,Laboratory,ALS,16/11/2021,377570,5997290,75900,14.2,233,33800,1.6,<0.02,0.04,4,0.31,8.16,6,38,17,<1,3,486720,10.89
3.2km South of Salt Creek land,Laboratory,ALS,14/12/2021,377570,5997290,86100,14.1,206,39000,3.18,<0.02,<0.01,3.5,4.48,7.64,34,46,12,<2,3,2653700,46.41
3.2km South of Salt Creek land,Laboratory,ALS,20/01/2022,377570,5997290,123000,24,207,48600,5.75,<0.02,<0.01,4.2,3.42,7.42,42,61,14,2,6,3042437,67.03
3.2km South of Salt Creek land,Laboratory,ALS,22/02/2022,377570,5997290,120000,26.2,250,60000,8.25,<0.02,<0.01,3.6,2.08,8,43,62,25,2,12,867996,39.09
3.2km South of Salt Creek land,Laboratory,ALS,16/03/2022,377570,5997290,122000,26.8,247,54200,8.11,<0.02,<0.01,5.1,3.83,7.58,44,57,47,3,2,2086432,42.14
3.2km South of Salt Creek land,Laboratory,ALS,20/04/2022,377570,5997290,132000,29.6,251,65800,7.91,0.03,<0.01,4.7,2.86,7.23,46,57,42,3,2,1301508,30.12
3.2km South of Salt Creek land,Laboratory,ALS,19/05/2022,377570,5997290,82400,10.6,231,57800,5.24,<0.02,<0.01,6,1.03,7.72,45,50,<1,1,30,523144,11.05
3.2km South of Salt Creek land,Laboratory,ALS,2/06/2022,377570,5997290,,,,,,,,,,6,,,,,,330940,7.51
3.2km South of Salt Creek land,Laboratory,ALS,20/07/2022,377570,5997290,77200,13.7,194,35600,2.34,<0.02,<0.01,3.5,0.14,,33,42,12,<1,3,747792,16.21
3.2km South of Salt Creek land,Laboratory,ALS,31/08/2022,377570,5997290,80700,16.6,193,31600,1.49,<0.02,<0.01,4,<0.1,,28,37,18,1,4,485502,9.66
3.2km South of Salt Creek land,Laboratory,ALS,29/09/2022,377570,5997290,67000,18.3,202,37200,0.47,<0.02,<0.01,3.5,<0.1,,28,35,,,,503932,4.84
3.2km South of Salt Creek land,Laboratory,AWQC,9/11/2022,377570,5997290,69600,6.2,213,35800,1.16,0.216,0.078,3.69,0.07,8.2,17.5,22.6,12.3,,1.84,1210000,
3.2km South of Salt Creek land,Laboratory,AWQC,24/11/2022,377570,5997290,67300,8.7,212,35500,2.12,0.038,0.002,3.69,0.143,8.1,18.8,23.4,21.6,,7.54,1140000,
3.2km South of Salt Creek land,Laboratory,AWQC,20/12/2022,377570,5997290,79500,8.4,207,40100,4.08,0.058,0.004,4.15,0.152,8.1,20,24.8,23.5,,6.45,628000,
3.2km South of Salt Creek land,Laboratory,AWQC,20/01/2023,377570,5997290,81100,11,221,42300,6.09,0.117,0.006,4.1,0.18,8,22.7,31.9,40,,14.4,847000,
3.2km South of Salt Creek land,Laboratory,AWQC,15/02/2023,377570,5997290,83200,10,231,38800,6.66,0.086,0.006,6.18,0.188,8,21.8,30.8,49.2,,14.8,1420000,
3.2km South of Salt Creek land,Laboratory,AWQC,16/03/2023,377570,5997290,95800,14,254,48800,8.81,0.039,0.014,5.79,0.06,7.8,25,32.7,39.4,,12.4,642000,
3.2km South of Salt Creek land,Laboratory,AWQC,13/04/2023,377570,5997290,97800,18,247,52200,6.31,0.106,0.004,4.21,0.212,7.8,26.3,36.3,43.6,,15.8,1090000,
3.2km South of Salt Creek land,Laboratory,AWQC,19/05/2023,377570,5997290,80900,8.6,232,42700,5.05,0.026,<0.0005,5.45,0.133,8,23.3,29.3,34.2,,9.35,794000,
3.2km South of Salt Creek land,Laboratory,AWQC,28/06/2023,377570,5997290,59200,12,216,29900,5.87,0.002,0.01,4.13,0.085,7.8,20.9,26.5,82.7,,24.2,1140000,
3.2km South of Salt Creek land,Laboratory,AWQC,27/07/2023,377570,5997290,47300,10,249,23600,7.44,18,0.004,2.96,0.109,8,19.4,24.1,67.8,,25,1060000,
3.2km South of Salt Creek land,Laboratory,AWQC,16/08/2023,377570,5997290,48500,13,253,24300,7.34,26,<0.0005,4.19,0.036,8.1,20.3,25.6,94.9,,31.2,1880000,
3.2km South of Salt Creek land,Laboratory,AWQC,28/09/2023,377570,5997290,52200,18,246,25500,6.93,112,<0.0005,4.94,0.113,8.3,20.5,26.7,153,,50.6,124000,
3.2km South of Salt Creek land,Laboratory,AWQC,21/03/2024,378221,5997404,,20,221,55500,5.24,91,10.9,8.31,0.233,7.7,45,54.3,,,,5290000,
3.2km South of Salt Creek land,Laboratory,AWQC,9/05/2024,378221,5997404,,17,244,65300,12.1,<1,0.8,4.57,0.609,7.9,40.7,53.3,74.9,,22.1,2430000,
Bonneys,Laboratory,ALS,7/07/2020,347969,6037304,57200,4.5,177,,<0.05,0.04,<0.01,1.9,0.33,8.52,18,18,2,<1,2,114599,
Bonneys,Laboratory,ALS,22/07/2020,347969,6037304,53900,5.6,179,29500,<0.05,<0.02,<0.01,2.8,0.3,8.61,14,12,5,<1,3,299520,
Bonneys,Laboratory,ALS,5/08/2020,347969,6037304,51200,3.3,187,31100,0.09,<0.02,<0.01,2.1,0.22,8.77,14,15,2,<1,1,181095,5.03
Bonneys,Laboratory,ALS,26/08/2020,347969,6037304,40000,2,191,23700,0.07,0.03,<0.01,1.9,0.09,8.87,10,10,3,<1,<1,179905,8.56
Bonneys,Laboratory,ALS,9/09/2020,347969,6037304,45200,3.6,173,26100,<0.10,0.02,0.04,1.8,0.09,8.68,15,16,6,<1,2,141146,9.34
Bonneys,Laboratory,ALS,30/09/2020,347969,6037304,49600,3.8,172,26300,<0.05,0.02,<0.01,2.3,0.13,8.73,16,16,6,<1,2,472263,98.09
Bonneys,Laboratory,ALS,21/10/2020,347969,6037304,62000,2.5,221,33900,0.44,<0.02,<0.01,2.3,0.31,8.31,19,20,3,<1,1,119850,3.43
Bonneys,Laboratory,ALS,17/11/2020,347969,6037304,60700,6.4,205,33600,0.23,<0.02,0.01,2.8,0.34,8.55,21,24,6,<1,1,120949,1.75
Bonneys,Laboratory,ALS,1/12/2020,347969,6037304,56300,21,206,30500,0.36,<0.02,<0.01,1.7,0.28,8.53,22,24,18,<2,7,106175,3.83
Bonneys,Laboratory,ALS,3/02/2021,347969,6037304,72100,51.7,210,48600,0.51,<0.02,<0.01,<10.0,2.06,8.11,31,31,23,<4,12,684184,7.48
Bonneys,Laboratory,ALS,24/02/2021,347969,6037304,56400,7.6,183,46100,0.3,<0.02,<0.01,0.9,0.35,8.3,20,23,20,<1,6,139691,7.05
Bonneys,Laboratory,ALS,17/03/2021,347969,6037304,63000,10.2,169,33900,0.34,<0.02,<0.01,2.4,0.94,8.27,20,22,7,<1,4,154291,9.32
Bonneys,Laboratory,ALS,7/04/2021,347969,6037304,37400,9,157,25300,0.06,0.1,<0.01,0.2,0.08,7.98,17,20,6,<1,2,177411,4.14
Bonneys,Laboratory,ALS,12/05/2021,347969,6037304,32400,4.8,175,15400,0.55,0.02,0.01,1.4,0.04,8.29,12,12,1,<1,2,18939,1.33
Bonneys,Laboratory,ALS,21/06/2021,347969,6037304,39300,7,172,19700,1.57,<0.02,0.03,1.9,0.18,9.89,11,12,9,<2,9,237860,1.91
Bonneys,Laboratory,ALS,28/06/2021,347969,6037304,40400,8.8,174,24100,0.72,<0.02,0.01,1.4,0.34,10.39,10,11,8,1,5,140481,5.3
Bonneys,Laboratory,ALS,13/07/2021,347969,6037304,37300,4.2,180,25400,0.12,<0.02,0.21,0.2,<0.01,7.08,14,12,4,<1,1,219212,2.21
Bonneys,Laboratory,ALS,9/08/2021,347969,6037304,45900,5.4,160,26700,0.15,<0.02,<0.01,1.7,0.3,6.86,15,17,6,<1,3,185872,3.38
Bonneys,Laboratory,ALS,24/08/2021,347969,6037304,51700,26.3,180,26500,0.43,0.05,<0.01,0.4,0.02,6.6,17,18,6,<1,3,113887,2.07
Bonneys,Laboratory,ALS,8/09/2021,347969,6037304,60300,7,6,32600,0.54,<0.02,<0.01,0.9,0.63,6.87,18,20,,,,433826,3.44
Bonneys,Laboratory,ALS,22/09/2021,347969,6037304,51700,5.2,166,28200,0.06,<0.02,0.01,1.6,0.45,6.92,17,18,2,<1,2,41850,0.48
Bonneys,Laboratory,ALS,26/10/2021,347969,6037304,63100,2.8,181,31300,0.3,0.3,<0.01,0.6,0.06,7.19,21,21,2,<1,<1,40022,1.62
Bonneys,Laboratory,ALS,16/11/2021,347969,6037304,61700,6,172,29500,0.29,<0.02,0.04,2.1,0.23,7.06,23,24,4,<1,2,136837,3.02
Bonneys,Laboratory,ALS,14/12/2021,347969,6037304,64900,7.5,184,34800,1.18,<0.02,<0.01,2.2,1.9,8.03,27,28,7,<1,2,460968,21.07
Bonneys,Laboratory,ALS,20/01/2022,347969,6037304,62400,13,164,26100,1.16,<0.02,0.01,2.4,0.45,7.72,24,26,13,<1,5,89422,3.84
Bonneys,Laboratory,ALS,22/02/2022,347969,6037304,49200,8.3,163,24500,<0.05,0.03,0.01,0.4,0.04,,22,22,9,<1,3,14727,1.09
Bonneys,Laboratory,ALS,16/03/2022,347969,6037304,52300,6.3,157,19200,0.29,0.08,0.01,10.1,0.27,7.83,21,22,12,<1,1,32500,1.49
Bonneys,Laboratory,ALS,20/04/2022,347969,6037304,30800,15.4,132,15500,0.11,0.04,<0.01,0.6,0.02,8.55,18,17,9,<1,10,40097,5.22
Bonneys,Laboratory,ALS,19/05/2022,347969,6037304,4560,40.9,131,1370,3.6,0.35,0.28,1.3,0.07,6.83,14,13,48,<6,35,5908,0.83
Bonneys,Laboratory,ALS,2/06/2022,347969,6037304,,,,,,,,,,7.25,,,,,,9122,1.36
Bonneys,Laboratory,ALS,20/07/2022,347969,6037304,36900,6.4,143,15700,0.16,0.13,0.01,1.2,0.2,,19,19,,,,29009,0.29
Bonneys,Laboratory,ALS,30/08/2022,347969,6037304,27800,38.8,135,13400,0.7,0.05,0.06,2.3,0.26,,16,17,16,<2,22,12330,4.33
Bonneys,Laboratory,ALS,28/09/2022,347969,6037304,34900,7.2,158,20100,0.37,<0.02,<0.01,2.6,<0.1,,19,21,,,,889,0.09
Bonneys,Laboratory,AWQC,9/11/2022,347969,6037304,31700,2.3,135,18300,0.63,0.014,0.006,1.68,0.03,8,12.6,13,1.75,,1.11,8950,
Bonneys,Laboratory,AWQC,24/11/2022,347969,6037304,15400,15,119,8660,2.87,0.057,0.125,1.83,0.115,8.4,10.1,12.3,3.33,,5.41,64,
Bonneys,Laboratory,AWQC,20/12/2022,347969,6037304,39100,2.9,142,22400,1.28,0.084,0.013,2.47,0.082,8.3,14.8,15.9,2.15,,1.03,6680,
Bonneys,Laboratory,AWQC,20/01/2023,347969,6037304,16400,11,138,9200,3.67,0.25,0.009,2.45,0.249,7.8,15.6,20.4,32.6,,19.9,337,
Bonneys,Laboratory,AWQC,15/02/2023,347969,6037304,15800,6.6,150,9680,1.71,0.193,0.012,2.77,0.174,8.2,15.9,17.9,25,,17.6,5560,
Bonneys,Laboratory,AWQC,16/03/2023,347969,6037304,37300,2.6,195,19500,0.52,0.079,0.014,2.07,0.05,8,18.3,18.6,4.25,,3.05,682,
Bonneys,Laboratory,AWQC,13/04/2023,347969,6037304,48400,38,173,2520,0.07,0.025,<0.0005,3.38,0.274,7.7,17.7,24.6,43.4,,90.3,74900,
Bonneys,Laboratory,AWQC,19/05/2023,347969,6037304,40300,2.2,181,21400,2.07,0.013,<0.0005,2.37,<0.005,8.1,16.9,17.1,1.46,,1.26,120,
