Sampling_point,Date,Easting,Northing,Distance_Murray_Mouth,AMPA_ug_L,Acidity_as_Calcium_Carbonate_mg_L,Aldrin_ug_L,Algae_Total_cells_mL,Alkalinity_as_Calcium_Carbonate_mg_L,Aluminium_Soluble_mg_L,Aluminium_Total_mg_L,Ammonia_as_N_mg_L,Antimony_Total_mg_L,Arsenic_Inorganic_mg_L,Atrazine_ug_L,Azinphos_methyl_ug_L,Bicarbonate_mg_L,Blue_Green_Algae_Total_cells_mL,Cadmium_Total_mg_L,Calcium_mg_L,Calcium_Hardness_as_CaCO3_mg_L,Carbon_Dioxide_Free_mg_L,Carbonate_mg_L,Carbonate_hardness_as_CaCO3_mg_L,Cells_ml_cells_mL,Chlordane_a_ug_L,Chlordane_g_ug_L,Chloride_mg_L,Chlorides_Total_as_NaCl_mg_L,Chlorophyll_a_ug_L,Chlorophyll_b_ug_L,Chlorothalonil_ug_L,Chlorpyrifos_ug_L,Chlorthal_Dimethyl_ug_L,Chromium_Total_mg_L,Conductivity_uS_cm,Copper_Total_mg_L,DDD_ug_L,DDE_ug_L,DDT_ug_L,Diazinon_ug_L,Dieldrin_ug_L,Dissolved_Organic_Carbon_mg_L,Dissolved_Oxygen_mg_L,Dissolved_solids_by_calculation_mg_L,Endosulfan_ug_L,Endosulfan_1_ug_L,Endosulfan_2_ug_L,Endosulfan_Sulphate_ug_L,Endrin_ug_L,Fenitrothion_ug_L,Fixed_Solids_mg_L,Geosmin_MIB_producing_BGA_Total_cells_mL,Glyphosate_ug_L,Heptachlor_ug_L,Heptachlor_Epoxide_ug_L,Hexazinone_ug_L,Ion_balance_percent,Iron_Soluble_mg_L,Iron_Total_mg_L,Langelier_Index,Lead_Total_mg_L,Lindane_ug_L,Magnesium_mg_L,Magnesium_Hardness_as_CaCO3_mg_L,Malathion_ug_L,Mercury_Total_mg_L,Methoxychlor_ug_L,Nickel_Total_mg_L,Nitrate_Nitrite_as_N_mg_L,Nitrate_as_Nitrogen_mg_L,Nitrite_as_Nitrogen_mg_L,Nitrogen_Total_mg_L,Noncarbonate_hardness_as_CaCO3_mg_L,Parathion_ug_L,Parathion_methyl_ug_L,Phaeophytin_a_ug_L,Phosphorus_Filterable_Reactive_as_P_mg_L,Phosphorus_Total_mg_L,Potassium_mg_L,Prometryne_ug_L,Selenium_Total_mg_L,Silica_Reactive_mg_L,Silver_Total_mg_L,Simazine_ug_L,Sodium_mg_L,Sodium_Adsorption_Ratio_Calculation,Sodium_Total_cations_ratio_percent,Sulphate_mg_L,Suspended_Solids_mg_L,TKN_as_Nitrogen_mg_L,Temperature_at_which_pH_is_measured_celsius,Total_Dissolved_Solids_by_EC_mg_L,Total_Dissolved_Solids_by_evaporation_mg_L,Total_Hardness_as_CaCO3_mg_L,Total_Organic_Carbon_mg_L,Trifluralin_ug_L,Turbidity_NTU,Vinclozolin_ug_L,Volatile_Suspended_Solids_mg_L,Zinc_Soluble_mg_L,Zinc_Total_mg_L,pH_pH_units,Total_Nitrogen
Tauwitchere,9/08/2001 15:30,320218,6059692,13.58,,,,,111,,6.64,0.2,0.002,0.005,,,135,,0.0004,158,,,,,,,,8030,,74,1.9,,,,0.012,22600,,,,,,,,,,,,,,,,,,,,,,-1.99,,7.67,,0.005,,517,,,0.0005,,0.002,0.005,,,,,,,,0.005,0.34,159,,0.002,1,0.0008,,4300,,,1080,150,2.3,,13000,,,,,150,,,,0.024,8,2.305
Tauwitchere,20/10/2001 16:00,320218,6059692,13.58,,,,,123,,0.324,0.2,0.002,0.002,,,124,,0.008,177,,,13,,,,,8850,,7.4,0.1,,,,0.02,24700,,,,,,,,,,,,,,,,,,,,,,-3.14,,0.096,,0.1,,561,,,0.0003,,0.04,0.006,,,,,,,,0.005,0.035,168,,0.002,2,0.004,,4620,,,1200,,0.45,,15000,,,,,3.1,,,,0.2,8.7,0.456
Tauwitchere,10/12/2001 15:30,320218,6059692,13.58,,,,,124,,2.91,0.02,0.002,0.003,,,143,,0.005,141,,,4,,,,,6310,,27,0.3,,,,0.03,20400,,,,,,,,,,,,,,,,,,,,,,1.53,,2.61,,0.005,,445,,,0.0018,,0.013,0.005,,,,,,,,0.006,0.145,134,,0.002,2,0.008,,3670,,,946,,1.41,,12000,,,,,42,,,,0.03,8.4,1.415
Tauwitchere,26/03/2002 0:00,320218,6059692,13.58,,,,,138,,3.89,0.121,0.002,0.005,,,168,,0.005,378,,,,,,,,17500,,27,2.5,,,,0.03,48500,,,,,,,,,,,,,,,,,,,,,,1.4,,3.86,,0.005,,1220,,,0.0003,,0.005,0.005,,,,,,,,0.01,0.51,350,,0.002,1.1,0.008,,10000,,,2510,,3.4,,32000,,,,,82,,,,0.03,8.4,3.405
Tauwitchere,18/07/2002 15:00,320218,6059692,13.58,,,,,127,,0.412,0.2,0.002,0.002,,,155,,0.005,383,,,,,,,,19300,,4.5,0.7,,,,0.03,49900,,,,,,,,,,,,,,,,,,,,,,-2.28,,0.163,,0.005,,1260,,,0.0003,,0.005,0.01,,,,,,,,0.007,0.037,369,,0.002,2,0.002,,10200,,,2650,,0.32,,33000,,,,,2.8,,,,0.03,8,0.33
Tauwitchere,18/11/2002 13:00,320218,6059692,13.58,,,,,133,,0.473,0.01,0.002,0.003,,,162,,0.005,502,,,,,,,,23300,,11,2,,,,0.01,59300,,,,,,,,,,,,,,,,,,,,,,2.21,,0.34,,0.005,,1670,,,0.0003,,0.081,0.005,,,,,,,,0.005,0.035,491,,0.003,4,0.008,,13600,,,3430,,0.44,,40000,,,,,9.1,,,,0.03,8.1,0.445
Tauwitchere,17/02/2003 15:30,320218,6059692,13.58,5,,0.01,,139,,0.437,0.2,0.002,0.004,0.5,0.5,167,,0.005,556,,,1,,,0.01,0.01,30500,,17,1.4,0.05,0.05,0.05,0.01,71500,,0.05,0.05,0.05,0.5,0.01,,,,,0.05,0.05,0.05,0.05,0.5,,,5,0.05,0.05,0.5,-0.53,,0.297,,0.005,0.05,2010,,0.5,0.0003,0.05,0.018,0.005,,,,,0.5,0.3,,0.017,0.149,610,0.5,0.001,2,0.002,0.5,16800,,,4170,,1.8,,50000,,,,0.05,8.2,0.05,,,0.03,8.3,1.805
Tauwitchere,27/03/2003 15:30,320218,6059692,13.58,,,,,128,,0.078,0.04,0.002,0.002,,,156,,0.005,379,,,,,,,,20400,,17,2.1,,,,0.01,52500,,,,,,,,,,,,,,,,,,,,,,-3.13,,0.025,,0.005,,1300,,,0.0003,,0.009,0.006,,,,,,,,0.007,0.058,394,,0.001,1,0.0065,,10600,,,2770,,0.57,,35000,,,,,2.8,,,,0.03,8.3,0.576
Tauwitchere,18/06/2003 0:00,320218,6059692,13.58,,,,,121,,0.107,0.2,0.002,0.002,,,148,,0.005,397,,,,,,,,21300,,8.9,1.4,,,,0.01,51500,,,,,,,,,,,,,,,,,,,,,,-4.61,,0.025,,0.005,,1280,,,0.0003,,0.012,0.005,,,,,,,,0.008,0.1,382,,0.002,0.28,0.002,,10800,,,2720,,0.34,,34000,,,,,3,,,,0.03,8.2,0.345
Tauwitchere,30/06/2003 10:55,320218,6059692,13.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31000,,,,,,,,,,7.7,
Tauwitchere,24/07/2003 9:24,320218,6059692,13.58,,,,,138,,1.64,0.2,0.002,0.002,,,168,,0.005,354,,,,,,,,19000,,14,1.5,,,,0.01,46800,,,,,,,,,,,,,,,,,,,,,,-5.27,,1.63,,0.005,,1150,,,0.0003,,0.008,0.005,,,,,,,,0.011,0.123,337,,0.002,1,0.0036,,9400,,,2400,,1.11,,30000,,,,,24,,,,0.03,7.9,1.115
Tauwitchere,20/08/2003 9:33,320218,6059692,13.58,,,,,143,,0.39,0.25,0.002,0.002,,,175,,0.005,463,,,,,,,,22800,,3,0.1,,,,0.01,60200,,,,,,,,,,,,,,,,,,,,,,-0.08,,0.224,,0.005,,1580,,,0.0003,,0.005,0.006,,,,,,,,0.009,0.075,464,,0.003,0.16,0.002,,12600,,,3360,,0.86,,41000,,,,,3.8,,,,0.03,8.2,0.866
Tauwitchere,15/09/2003 16:30,320218,6059692,13.58,,,,,151,,2.88,0.005,0.002,0.002,,,184,,0.005,127,,,,,,,,4810,,53,4.7,,,,0.03,14500,,,,,,,,,,,,,,,,,,,,,,-0.94,,2.15,,0.005,,337,,,0.0003,,0.005,0.005,,,,,,,,0.01,0.22,91.9,,,0.5,0.002,,2630,,,719,,1.99,,8400,,,,,43,,,,0.03,8.3,1.995
Tauwitchere,27/10/2003 11:10,320218,6059692,13.58,,,,,162,,0.275,0.056,0.002,0.005,,,173,,0.005,375,,,12,,,,,18600,,1.8,0.1,,,,0.01,49000,,,,,,,,,,,,,,,,,,,,,,0.12,,0.158,,0.005,,1280,,,0.001,,0.012,0.005,,,,,,,,0.005,0.073,365,,0.001,0.32,0.002,,10400,,,2670,,1.29,,32000,,,,,3.4,,,,0.03,8.4,1.295
Tauwitchere,24/11/2003 10:59,320218,6059692,13.58,,,,,157,,0.566,0.067,0.002,0.002,,,191,,0.005,450,,,,,,,,23500,,9.3,0.8,,,,0.01,56800,,,,,,,,,41300,,,,,,,,,,,,,-3.35,,0.396,,0.005,,1490,,,0.0003,,0.023,0.005,,,,,,,,0.019,0.102,433,,0.002,0.16,0.002,,12200,,,3230,,1.36,,38000,,,,,0.65,,,,0.03,8.2,1.365
Tauwitchere,9/12/2003 0:01,320218,6059692,13.58,,,,,177,0.083,,0.01,,,,,216,,0.005,504,,,,,,,,27300,,28,3,,,,0.01,62100,0.01,,,,,,,,,,,,,,,,,,,,,-5.64,0.045,,,0.005,,1720,,,0.0003,,,0.005,,,,,,,,0.044,0.121,507,,,0.64,0.0024,,13300,,,3470,,1.62,,42000,,,,,2.8,,,0.03,,8.2,1.625
Tauwitchere,20/01/2004 9:10,320218,6059692,13.58,,,,,146,,0.215,0.067,0.002,0.003,,,178,,0.005,384,,,,,,,,21000,,7.4,0.1,,,,0.01,51500,,,,,,,,,,,,,,,,,,,,,,-5.72,,0.214,,0.005,,1270,,,0.0003,,0.024,0.005,,,,,,,,0.014,0.093,373,,0.004,0.76,0.002,,10300,,,2680,,1.02,,34000,,,,,12,,,,0.03,8,1.025
Tauwitchere,24/02/2004 10:15,320218,6059692,13.58,,,,,134,,0.217,0.073,0.002,0.003,,,163,,0.005,435,,,,,,,,20000,,16,1,,,,0.01,51300,,,,,,,,,,,,,,,,,,,,,,2.58,,0.174,,0.005,,1440,,,0.0003,,0.005,0.005,,,,,,,,0.006,0.06,435,,0.001,0.27,0.002,,11800,,,3060,,0.79,,34000,,,,,8.3,,,,0.03,8.1,0.795
Tauwitchere,25/03/2004 16:00,320218,6059692,13.58,,,,,134,0.066,,0.045,,,,,164,,0.005,434,,,,,,,,21100,,12,0.9,,,,0.01,55100,0.01,,,,,,,,38000,,,,,,,,,,,,,-0.98,0.02,,,0.005,,1440,,,0.0003,,,0.012,,,,,,,,0.022,0.332,431,,,0.13,0.002,,11400,,,3100,,0.05,,37000,,,,,5,,,0.03,,8.2,0.062
Tauwitchere,21/04/2004 9:12,320218,6059692,13.58,,,,,134,,0.478,0.136,0.002,0.002,,,164,,0.005,469,,,,,,,,21900,,18,1.7,,,,0.01,52800,,,,,,,,,,,,,,,,,,,,,,3.74,,0.529,,0.005,,1520,,,0.0005,,0.005,0.01,,,,,,,,0.008,0.09,513,,0.001,0.12,0.002,,13300,,,3260,,1.46,,35000,,,,,6.2,,,,0.03,7.8,1.47
Tauwitchere,26/05/2004 10:24,320218,6059692,13.58,,,,,123,,0.169,0.051,0.002,0.003,,,150,,0.005,405,,,,,,,,20500,,5.2,0.5,,,,0.01,44400,,,,,,,,,,,,,,,,,,,,,,-2.22,,0.172,,0.005,,1310,,,0.0003,,0.005,0.007,,,,,,,,0.005,0.051,381,,0.002,0.33,0.002,,10900,,,2780,,0.36,,28000,,,,,4,,,,0.03,8,0.367
Tauwitchere,21/06/2004 18:30,320218,6059692,13.58,,,,,120,0.077,0.114,0.062,,,,,147,,0.005,410,,,,,,,,20200,,2.7,0.3,,,,0.01,53100,0.01,,,,,,,,36600,,,,,,,,,,,,,-0.3,0.02,0.072,,0.005,,1350,,,0.0003,,,0.022,,,,,,,,0.008,0.065,426,,,0.38,0.002,,11200,,,2870,,0.37,,35000,,,,,2,,,0.03,0.03,8.1,0.392
Tauwitchere,28/07/2004 9:05,320218,6059692,13.58,,,,,,,0.164,0.067,0.002,0.002,,,,,0.005,403,1010,,,,,,,,,3.3,0.2,,,,0.01,48500,,,,,,,,,,,,,,,,,,,,,,,,0.184,,0.005,,1280,5280,,0.0004,,0.008,0.009,,,,,,,,0.005,0.068,,,0.001,0.14,0.002,,,,,,,0.51,,32000,,6283,,,5.5,,,,0.03,8,0.519
Tauwitchere,25/08/2004 9:54,320218,6059692,13.58,,,,,,,0.154,0.044,0.1,0.002,,,190,,0.005,213,,,,,,,,,,13,1.3,,,,0.01,28600,,,,,,,,,,,,,,,,,,,,,,,,0.162,,0.005,,682,,,0.0003,,0.008,0.006,,,,,,,,0.005,0.102,,,0.001,0.26,0.002,,,,,,,1.58,,17000,,,,,17,,,,0.03,8.3,1.586
Tauwitchere,15/09/2004 12:00,320218,6059692,13.58,,,,,150,0.05,0.652,0.046,,,,,177,,0.005,148,,,3,,,,,6340,,,,,,,0.01,17700,0.01,,,,,,,,11400,,,,,,,,,,,,,-2.4,0.025,0.732,,0.005,,426,,,0.0003,,,0.009,,,,,,,,0.01,0.076,125,,,0.47,0.002,,3350,,,900,,1.08,,10000,,,,,13,,,0.03,0.03,8.3,1.089
Tauwitchere,27/10/2004 9:35,320218,6059692,13.58,,,,,,,1.22,0.028,0.002,0.004,,,,,0.005,331,,,,,,,,,,50,0.1,,,,0.01,42100,,,,,,,,,,,,,,,,,,,,,,,,1.78,,0.005,,1100,,,0.0003,,0.005,0.016,,,,,,,,0.015,0.234,,,0.001,0.6,0.002,,,,,,,1.78,,27000,,,,,63,,,,0.03,8,1.796
Tauwitchere,29/11/2004 8:50,320218,6059692,13.58,,,,,,,0.216,0.804,0.002,0.003,,,,,0.005,385,,,,,,,,,,22,1.2,,,,0.01,50300,,,,,,,,,,,,,,,,,,,,,,,,0.299,,0.005,,1280,,,0.0003,,0.005,0.01,,,,,,,,0.005,0.125,,,0.002,0.89,0.002,,,,,,,1.49,,33000,,,,,8.5,,,,0.03,8.2,1.5
Tauwitchere,8/12/2004 20:00,320218,6059692,13.58,,,,,161,0.05,1.89,0.014,0.002,,,,196,,0.005,688,,,1,,,,,29000,,52,6.2,,,,0.01,67400,0.02,,,,,,,,55100,,,,,,,,,,,,,2.41,0.025,1.9,,0.005,,1880,,,0.0003,,,0.005,,,,,,,,0.005,0.202,674,,,2.2,0.002,,17700,,,5140,,2.32,,46000,,,,,40,,,0.03,0.03,8.3,2.325
Tauwitchere,13/01/2005 10:32,320218,6059692,13.58,,,,,,,0.076,0.008,0.002,0.003,,,,,0.005,406,,,,,,,,,,52,0.1,,,,0.01,48800,,,,,,,,,,,,,,,,,,,,,,,,0.109,,0.005,,1310,,,0.0003,,,0.006,,,,,,,,0.007,0.076,,,0.001,0.31,0.002,,,,,,,0.64,,32000,,,,,4.6,,,,0.03,8.4,0.646
Tauwitchere,8/03/2005 15:30,320218,6059692,13.58,,,,,120,0.01,0.058,0.021,,,,,147,,0.005,422,,,,,,,,21100,,6.3,1.1,,,,0.01,54200,0.01,,,,,,,,37300,,,,,,,,,,,,,-2.3,0.005,0.077,1.34,0.005,,1390,,,0.0003,,,0.005,,,,,,,,0.008,0.063,422,,,0.12,0.002,,11000,58.3,,2890,,0.57,,36000,,6798,,,4.8,,,0.03,0.03,8.2,0.575
Tauwitchere,6/07/2005 17:30,320218,6059692,13.58,,,,,,0.1,0.698,0.108,,,,,,,0.005,,,,,,,,,,,4.6,0.4,,,,,47300,0.08,,,,,,,,,,,,,,,,,,,,,,0.05,0.307,,,,,,,,,,0.046,,,,,,,,0.01,0.049,,,,,0.002,,,,,,,0.36,,31000,,,,,,,,0.03,0.03,8.2,0.406
Tauwitchere,6/09/2005 9:00,320218,6059692,13.58,,,,,,0.05,0.25,0.019,,,,,,,0.005,,,,,,,,,,,,,,,,,45600,0.02,,,,,,,,,,,,,,,,,,,,,,0.025,0.312,,,,,,,,,,0.01,,,,,,,,0.005,0.116,,,,,0.002,,,,,,,1.71,,29000,,,,,,,,0.025,0.025,8.4,1.72
Tauwitchere,6/02/2006 0:00,320218,6059692,13.58,,,,,,0.0125,0.0785,0.092,,,,,,,0.005,,,,,,,,,,,,,,,,,24800,0.01,,,,,,,,,,,,,,,,,,,,,,0.005,0.115,,,,,,,,,,0.013,,,,,,,,0.006,0.139,,,,,0.002,,,,,,,2.17,,14900,,,,,,,,0.03,0.03,9,2.183
Tauwitchere,31/05/2006 13:45,320218,6059692,13.58,,,,,,0.01,0.278,0.011,,,,,,,0.005,,,,,,,,,,,,,,,,,54200,0.01,,,,,,,,,,,,,,,,,,,,,,0.005,0.154,,,,,,,,,,0.005,,,,,,,,0.005,0.052,,,,,0.002,,,,,,,0.76,,35800,,,,,,,,0.03,0.03,8.3,0.765
Tauwitchere,28/08/2006 15:00,320218,6059692,13.58,,,,,,0.01,0.733,0.015,,,,,,,0.005,,,,,,,,,,,6.24,0.45,,,,,43600,0.01,,,,,,,,,,,,,,,,,,,,,,0.005,0.491,,,,,,,,,,0.009,,,,,,,,0.005,0.057,,,,,0.002,,,,,,,0.68,,27900,,,,,6.3,,,0.03,0.03,8.3,0.689
Tauwitchere,14/11/2006 18:15,320218,6059692,13.58,,,,,,0.01,1.59,0.032,,,,,,,0.005,,,,,,,,,,,10.3,0.53,,,,,43900,0.012,,,,,,,,,,,,,,,,,,,,,,0.005,1.76,,,,,,,,,,0.006,,,,,,,,0.008,0.1,,,,,0.002,,,,,,,0.74,,28000,,,,,27,,,0.03,0.03,8.3,0.746
Tauwitchere,23/01/2007 0:00,320218,6059692,13.58,,,,,,0.01,0.03,0.07,,,,,,,0.005,,,,,,,,,,,2.91,0.53,,,,,52100,0.01,,,,,,,,,,,,,,,,,,,,,,0.005,0.052,,,,,,,,,,0.007,,,,,,,,0.017,0.042,,,,,0.002,,,,,,,0.32,,34000,,,,,0.13,,,0.03,0.03,8.1,0.327
Tauwitchere,3/04/2007 0:00,320218,6059692,13.58,,,,,,0.01,0.049,0.022,,,,,,,0.005,,,,,,,,,,,2.72,0.4,,,,,54400,0.02,,,,,,,,,,,,,,,,,,,,,,0.005,0.066,,,,,,,,,,0.016,,,,,,,,0.012,0.052,,,,,0.002,,,,,,,0.42,,36000,,,,,4.8,,,0.03,0.03,8.1,0.436
Tauwitchere,22/08/2007 17:20,320218,6059692,13.58,,,,,,0.01,0.149,0.005,,,,,,,0.005,,,,,,,,,,,11.8,2.21,,,,,67200,0.01,,,,,,,,,,,,,,,,,,,,,,0.005,0.143,,,,,,,,,,0.037,,,,,,,,0.008,0.103,,,,,0.002,,,,,,,1.14,,46000,,,,,5.5,,,0.03,0.03,8.1,1.177
Tauwitchere,19/11/2007 0:00,320218,6059692,13.58,,,,,,0.01,0.101,0.005,,,,,,,0.005,,,,,,,,,,,12.6,1.1,,,,,50100,0.013,,,,,,,,,,,,,,,,,,,,,,0.005,0.103,,,,,,,,,,0.005,,,,,,,,0.005,0.04,,,,,0.002,,,,,,,0.4,,33000,,,,,2.2,,,0.005,0.005,8.3,0.405
Tauwitchere,27/02/2008 12:15,320218,6059692,13.58,,,,,,0.02,0.05,0.031,,,,,,,0.005,,,,,,,,,,,2.01,0.1,,,,,52800,0.027,,,,,,,,,,,,,,,,,,,,,,0.025,0.04,,,,,,,,,,0.01,,,,,,,,0.007,0.036,,,,,0.002,,,,,,,0.32,,35000,,,,,1.3,,,0.03,0.041,8.3,0.33
