Date,T.Max,T.Min,Rain,Evap,Radn,VP,RHmaxT,RHminT,Tav,Rhav
01/03/1960 00:00,34,16.6,0,6.1,25.9,12.2,22.9,64.6,25.30,43.75
02/03/1960 00:00,34.7,17.7,0,6.3,20.2,12.6,22.8,62.2,26.20,42.5
03/03/1960 00:00,23.6,15.2,0,6.3,23.2,13.7,47,79.4,19.40,63.2
04/03/1960 00:00,26.6,9.3,0,6.3,24.3,13.4,38.5,100,17.95,69.25
05/03/1960 00:00,20,12.9,0,6.1,7,14,59.9,94.2,16.45,77.05
06/03/1960 00:00,19.6,10.7,13.7,6,13.8,14.5,63.6,100,15.15,81.8
07/03/1960 00:00,19.9,12.9,3,5.8,9,13.7,59,92.1,16.40,75.55
08/03/1960 00:00,24.3,11.1,0,5.8,21.2,13.7,45.1,100,17.70,72.55
09/03/1960 00:00,23.2,10.9,0,5.7,20.3,15.6,54.9,100,17.05,77.45
10/03/1960 00:00,19.7,10.8,0,5.7,10.3,10.2,44.5,78.8,15.25,61.65
11/03/1960 00:00,20.8,11,0,5.6,15.2,13.1,53.4,99.9,15.90,76.65
12/03/1960 00:00,20.4,10.6,0,5.7,19.6,10.1,42.2,79.1,15.50,60.65
13/03/1960 00:00,21.1,12,0,5.5,13,11.7,46.8,83.5,16.55,65.15
14/03/1960 00:00,22.4,11,0,5.3,22.7,11.8,43.6,90,16.70,66.8
15/03/1960 00:00,27.2,10.6,0,5.2,21.8,14.3,39.6,100,18.90,69.8
16/03/1960 00:00,30.5,14.7,0,5.3,15.4,12.3,28.2,73.6,22.60,50.9
17/03/1960 00:00,31.5,16.5,0,5.3,21.7,10.2,22.1,54.4,24.00,38.25
18/03/1960 00:00,33.3,15.3,0,5.2,15,10.5,20.5,60.4,24.30,40.45
19/03/1960 00:00,32,18.1,0,5,10.9,12,25.2,57.8,25.05,41.5
20/03/1960 00:00,28.9,20.4,0,4.9,9.3,13.3,33.4,55.5,24.65,44.45
21/03/1960 00:00,19.8,16.4,0,4.8,7.9,17.5,75.8,93.9,18.10,84.85
22/03/1960 00:00,22,13,0,4.7,13.4,11.4,43.1,76.2,17.50,59.65
23/03/1960 00:00,22.9,10.1,0,4.8,18.8,12.5,44.8,100,16.50,72.4
24/03/1960 00:00,26.5,9.3,0,4.7,14.7,12,34.7,100,17.90,67.35
25/03/1960 00:00,31.4,13.9,0,4.8,21.2,11,23.9,69.3,22.65,46.6
26/03/1960 00:00,26.3,17.8,0,4.7,15.3,12.5,36.5,61.4,22.05,48.95
27/03/1960 00:00,25.1,12.7,0,4.4,16.4,14.1,44.3,96.1,18.90,70.2
28/03/1960 00:00,28.8,12.5,0,4.2,18,12.8,32.3,88.4,20.65,60.35
29/03/1960 00:00,37.3,14.7,0,4.2,18.9,11.2,17.6,67,26.00,42.3
30/03/1960 00:00,31.4,18.1,0,4.1,18,15.3,33.3,73.7,24.75,53.5
31/03/1960 00:00,20.9,12.9,0,4.2,14.9,11.7,47.4,78.7,16.90,63.05
01/04/1960 00:00,20,12.9,1.3,4.2,10.2,12.9,55.2,86.8,16.45,71
02/04/1960 00:00,20,10.6,0,4.2,17.7,10,42.8,78.3,15.30,60.55
03/04/1960 00:00,23.4,6.4,0,4.1,18.2,10.6,36.8,100,14.90,68.4
04/04/1960 00:00,20.2,11.5,0,4,17.2,11.7,49.4,86.3,15.85,67.85
05/04/1960 00:00,22.7,6.2,0,4,18.7,10.6,38.4,100,14.45,69.2
06/04/1960 00:00,28.3,9,0,3.9,18.1,9.5,24.7,82.8,18.65,53.75
07/04/1960 00:00,33.2,10.5,0,3.8,14.8,11.2,22,88.3,21.85,55.15
08/04/1960 00:00,19.7,15,0,3.8,5.6,15.7,68.4,92.1,17.35,80.25
09/04/1960 00:00,21.2,11.7,2.3,3.8,12.7,15.3,60.8,100,16.45,80.4
10/04/1960 00:00,19.9,9.1,0,3.7,11.7,13,56,100,14.50,78
11/04/1960 00:00,19.3,8.4,0,3.6,8.8,11.1,49.6,100,13.85,74.8
12/04/1960 00:00,22.8,10.4,0,3.6,7.5,11.6,41.8,92,16.60,66.9
13/04/1960 00:00,24.6,7.8,0,3.5,14.9,13.7,44.3,100,16.20,72.15
14/04/1960 00:00,23.6,13.5,0,3.4,11.4,15.2,52.2,98.3,18.55,75.25
15/04/1960 00:00,18.2,10.6,0,3.4,13.3,9.8,46.9,76.7,14.40,61.8
16/04/1960 00:00,18.8,9.4,0,3.3,6.9,11.8,54.4,100,14.10,77.2
17/04/1960 00:00,18.9,13.3,1.3,3.2,6.9,12.2,55.9,79.9,16.10,67.9
18/04/1960 00:00,18.9,12.2,2.3,3.2,8.4,12.7,58.2,89.4,15.55,73.8
19/04/1960 00:00,21.2,11.1,0,3.1,6.7,14.2,56.4,100,16.15,78.2
20/04/1960 00:00,14.6,10.5,2.5,3.1,4.3,13.1,78.9,100,12.55,89.45
21/04/1960 00:00,14.6,6.5,15.5,3.1,12.3,10.2,61.4,100,10.55,80.7
22/04/1960 00:00,14.4,6.7,20.3,3,11.7,9.3,56.7,94.8,10.55,75.75
23/04/1960 00:00,14.8,9.6,0,3,4.5,9.8,58.3,82,12.20,70.15
24/04/1960 00:00,15.5,8.3,0,2.9,5.5,9,51.1,82.3,11.90,66.7
25/04/1960 00:00,15.1,11.6,0,2.9,4,10,58.3,73.3,13.35,65.8
26/04/1960 00:00,14.8,10.1,14,2.8,7.5,12.4,73.7,100,12.45,86.85
27/04/1960 00:00,16.3,8.1,5.1,2.8,7.1,11.2,60.5,100,12.20,80.25
28/04/1960 00:00,18.4,11.2,19.1,2.7,10,12.4,58.6,93.3,14.80,75.95
29/04/1960 00:00,19.9,10.4,1.3,2.7,7.2,12.8,55.1,100,15.15,77.55
30/04/1960 00:00,18,10.6,0,2.6,4.2,12.5,60.6,97.9,14.30,79.25
01/05/1960 00:00,17.1,9.8,8.9,2.7,8.4,12.8,65.7,100,13.45,82.85
02/05/1960 00:00,15.5,8.9,6.6,2.7,6.1,10.2,58,89.5,12.20,73.75
03/05/1960 00:00,19.6,9.4,0,2.6,12,10.4,45.6,88.2,14.50,66.9
04/05/1960 00:00,15.8,8.5,10.2,2.6,8.7,10.6,59.1,95.6,12.15,77.35
05/05/1960 00:00,13.2,7.6,11.9,2.6,5.3,8.6,56.7,82.4,10.40,69.55
06/05/1960 00:00,15.1,8,16.5,2.5,8,11.3,65.9,100,11.55,82.95
07/05/1960 00:00,15.9,10.7,0,2.4,8.6,11,60.9,85.5,13.30,73.2
08/05/1960 00:00,14.2,10.1,0,2.4,6.1,8.5,52.5,68.8,12.15,60.65
09/05/1960 00:00,14.6,6.8,0,2.4,4.6,8.8,53,89.1,10.70,71.05
10/05/1960 00:00,17.4,5.6,0,2.3,10.5,9.1,45.8,100,11.50,72.9
11/05/1960 00:00,12,8.7,0,2.3,3.6,9,64.2,80.1,10.35,72.15
12/05/1960 00:00,12.7,7,12.7,2.2,7.3,8.7,59.3,86.9,9.85,73.1
13/05/1960 00:00,15.2,7.3,17.8,2.3,8.6,11.1,64.3,100,11.25,82.15
14/05/1960 00:00,14,9.2,10.2,2.2,8.9,10.2,63.8,87.7,11.60,75.75
15/05/1960 00:00,13.9,8.4,0,2.1,5.9,10,63,90.8,11.15,76.9
16/05/1960 00:00,14.4,8.2,9.7,2.1,10.1,10,61,92,11.30,76.5
17/05/1960 00:00,14.6,8.4,0,2,9.3,10.1,60.8,91.7,11.50,76.25
18/05/1960 00:00,14.8,3.9,0,1.9,11.7,9,53.5,100,9.35,76.75
19/05/1960 00:00,16.4,1.4,0,1.9,8.5,9.3,49.9,100,8.90,74.95
20/05/1960 00:00,15.7,3.3,0,1.9,4.3,10.3,57.8,100,9.50,78.9
21/05/1960 00:00,13.8,6,0,1.9,7.3,9.2,58.3,98.4,9.90,78.35
22/05/1960 00:00,12.4,7.7,0,1.9,3.9,10.3,71.6,98.1,10.05,84.85
23/05/1960 00:00,14.6,6.4,0,1.9,4.9,9.9,59.6,100,10.50,79.8
24/05/1960 00:00,16.7,3.8,0,1.9,10.3,9.1,47.9,100,10.25,73.95
25/05/1960 00:00,20.1,7.6,0,1.8,10.6,11.5,48.9,100,13.85,74.45
26/05/1960 00:00,20.5,12.6,0,1.8,5.8,13.1,54.3,89.8,16.55,72.05
27/05/1960 00:00,18.1,13.2,17.8,1.8,10,13.9,67,91.7,15.65,79.35
28/05/1960 00:00,18.5,8.7,0,1.9,11,10.2,47.9,90.7,13.60,69.3
29/05/1960 00:00,15.4,10.2,7.6,1.9,6,12.4,70.9,99.7,12.80,85.3
30/05/1960 00:00,14.6,9.4,6.4,1.9,7.5,11.2,67.4,95,12.00,81.2
31/05/1960 00:00,13.8,10.8,2.5,1.8,4,11.8,74.8,91.2,12.30,83
01/06/1960 00:00,14.7,9.8,0,1.7,3.4,11.8,70.6,97.5,12.25,84.05
02/06/1960 00:00,14.6,9,0,1.6,3.8,12.7,76.5,100,11.80,88.25
03/06/1960 00:00,13.9,4.8,0,1.6,9.2,9.8,61.7,100,9.35,80.85
04/06/1960 00:00,15.9,5.5,0,1.6,10.1,9.9,54.8,100,10.70,77.4
05/06/1960 00:00,14.6,7.8,0,1.7,5.7,9.6,57.8,90.8,11.20,74.3
06/06/1960 00:00,15.6,7.9,4.6,1.7,8.8,11.9,67.2,100,11.75,83.6
07/06/1960 00:00,15.9,4,0,1.6,8.5,10.4,57.6,100,9.95,78.8
08/06/1960 00:00,14.2,8.2,0,1.6,5.1,10.9,67.4,100,11.20,83.7
09/06/1960 00:00,16,6.8,10.2,1.6,8.5,11.2,61.6,100,11.40,80.8
10/06/1960 00:00,13.9,9.5,0,1.6,6.9,9.8,61.7,82.6,11.70,72.15
11/06/1960 00:00,13.9,6.3,0,1.5,7.9,9.2,58,96.4,10.10,77.2
12/06/1960 00:00,14.7,7.3,0,1.5,6.4,10.9,65.2,100,11.00,82.6
13/06/1960 00:00,14.6,6.4,0,1.5,10.4,9.7,58.4,100,10.50,79.2
14/06/1960 00:00,13,5.6,17.8,1.5,5.2,6.7,44.8,73.7,9.30,59.25
15/06/1960 00:00,12.2,8.7,10.9,1.4,6.6,9.9,69.7,88.1,10.45,78.9
16/06/1960 00:00,14.6,8,0,1.4,7.5,10.7,64.4,99.8,11.30,82.1
17/06/1960 00:00,14.6,6.8,0,1.4,8.3,10.5,63.2,100,10.70,81.6
18/06/1960 00:00,15,2.9,0,1.5,9,8.8,51.6,100,8.95,75.8
19/06/1960 00:00,13,4.8,0,1.5,4,8.9,59.5,100,8.90,79.75
20/06/1960 00:00,12.5,5.5,0,1.5,7.5,8.7,60.1,96.4,9.00,78.25
21/06/1960 00:00,13.6,0.3,0,1.5,9.9,7.9,50.8,100,6.95,75.4
22/06/1960 00:00,13.7,3.7,0,1.6,10,8.9,56.8,100,8.70,78.4
23/06/1960 00:00,12.7,1.2,0,1.7,9.3,7.9,53.8,100,6.95,76.9
24/06/1960 00:00,13.1,1,5.1,1.7,8,8.5,56.4,100,7.05,78.2
25/06/1960 00:00,14,4.6,0,1.7,7.8,9,56.3,100,9.30,78.15
26/06/1960 00:00,13.8,1,0,1.7,10.7,8,50.7,100,7.40,75.35
27/06/1960 00:00,14.4,1.3,0,1.7,10.6,9.1,55.5,100,7.85,77.75
28/06/1960 00:00,14.1,1.4,0,1.6,10.6,7.9,49.1,100,7.75,74.55
29/06/1960 00:00,15.3,2,0,1.6,10.6,7.6,43.7,100,8.65,71.85
30/06/1960 00:00,14.2,3.4,0,1.6,9.3,7.6,47,97.5,8.80,72.25
01/07/1960 00:00,13.4,2.9,0,1.6,8.5,8.1,52.7,100,8.15,76.35
02/07/1960 00:00,12.8,3.8,0,1.6,4.9,8,54.2,99.8,8.30,77
03/07/1960 00:00,13.7,4.5,0,1.6,8.5,9.1,58.1,100,9.10,79.05
04/07/1960 00:00,11.4,4.6,7.1,1.6,8.6,7.1,52.7,83.7,8.00,68.2
05/07/1960 00:00,13.5,5.2,0,1.6,8.3,9.1,58.8,100,9.35,79.4
06/07/1960 00:00,11.8,3.1,0,1.5,3.2,9.6,69.4,100,7.45,84.7
07/07/1960 00:00,13.2,3.8,0,1.5,9.6,7.1,46.8,88.6,8.50,67.7
08/07/1960 00:00,12.7,6.1,0,1.5,4.8,7.6,51.8,80.8,9.40,66.3
09/07/1960 00:00,14.1,8.8,0,1.5,8.4,11,68.4,97.2,11.45,82.8
10/07/1960 00:00,12.8,6.5,12.7,1.5,8.4,9.5,64.3,98.2,9.65,81.25
11/07/1960 00:00,12,2.1,5.8,1.6,9,8.9,63.5,100,7.05,81.75
12/07/1960 00:00,12.6,0.9,0,1.6,9.9,8.6,59,100,6.75,79.5
13/07/1960 00:00,12.8,1.9,0,1.6,5.2,7.8,52.8,100,7.35,76.4
14/07/1960 00:00,15,5.9,0,1.7,5.1,10.6,62.2,100,10.45,81.1
15/07/1960 00:00,14.9,7.6,0,1.7,5.9,11,65,100,11.25,82.5
16/07/1960 00:00,15.3,7,0,1.7,9.4,9.9,57,98.9,11.15,77.95
17/07/1960 00:00,12.5,6.7,5.1,1.7,6.2,10.3,71.1,100,9.60,85.55
18/07/1960 00:00,12.5,4.2,5.1,1.8,7.5,8.6,59.4,100,8.35,79.7
19/07/1960 00:00,12.2,3.8,0,1.8,8.3,9.5,66.9,100,8.00,83.45
20/07/1960 00:00,12.8,4,7.6,1.8,8,8.1,54.8,99.7,8.40,77.25
21/07/1960 00:00,15.3,6.2,0,1.8,3.2,7.8,44.9,82.3,10.75,63.6
22/07/1960 00:00,14.7,9.7,0,1.8,5.8,11.9,71.2,98.9,12.20,85.05
23/07/1960 00:00,12.3,3.8,0,1.8,8.2,8.4,58.8,100,8.05,79.4
24/07/1960 00:00,12.2,4.2,0,1.8,6.6,8,56.3,97,8.20,76.65
25/07/1960 00:00,13.4,7,6.4,1.9,3.9,8.1,52.7,80.9,10.20,66.8
26/07/1960 00:00,19.2,7.3,0,1.8,12.6,8.6,38.7,84.1,13.25,61.4
27/07/1960 00:00,18.1,5.2,0,1.9,5.7,9.2,44.3,100,11.65,72.15
28/07/1960 00:00,17.2,8,0,2,11.4,11.3,57.6,100,12.60,78.8
29/07/1960 00:00,16.6,6.8,0,2,7.2,10.9,57.7,100,11.70,78.85
30/07/1960 00:00,16.4,7.3,0,2,11.4,10.8,57.9,100,11.85,78.95
31/07/1960 00:00,14.9,8,0,2,10.1,10.7,63.2,99.8,11.45,81.5
01/08/1960 00:00,12.8,6.4,3.8,2,7.2,10,67.7,100,9.60,83.85
02/08/1960 00:00,13.3,3.2,0,2,12.1,9.6,62.9,100,8.25,81.45
03/08/1960 00:00,13.6,6.8,5.1,2,10.7,10.2,65.5,100,10.20,82.75
04/08/1960 00:00,13.6,4.9,0,2,9.3,9.7,62.3,100,9.25,81.15
05/08/1960 00:00,13.3,5.5,0,2.1,8.1,7.5,49.1,83.1,9.40,66.1
06/08/1960 00:00,14.6,0.2,0,2.2,12.9,7.8,47,100,7.40,73.5
07/08/1960 00:00,13.5,1.4,0,2.2,11.8,7.9,51.1,100,7.45,75.55
08/08/1960 00:00,11.6,5.8,5.3,2.3,6.6,9.5,69.6,100,8.70,84.8
09/08/1960 00:00,13.7,1.4,1.8,2.3,11.1,9.5,60.6,100,7.55,80.3
10/08/1960 00:00,13.6,1.8,0,2.3,10.4,9.1,58.5,100,7.70,79.25
11/08/1960 00:00,10.3,6.5,5.1,2.2,4.6,9.3,74.3,96.1,8.40,85.2
12/08/1960 00:00,11,3.6,19.1,2.3,7.8,7.9,60.2,100,7.30,80.1
13/08/1960 00:00,14.4,7.7,4.1,2.3,9,11.1,67.7,100,11.05,83.85
14/08/1960 00:00,14.8,8.3,0,2.3,10.6,10.9,64.8,99.6,11.55,82.2
15/08/1960 00:00,15.8,8,0,2.3,12.9,11.4,63.5,100,11.90,81.75
16/08/1960 00:00,19.2,6.3,0,2.4,15.4,8.3,37.3,87,12.75,62.15
17/08/1960 00:00,15.6,9,2,2.4,12.4,10.8,61,94.1,12.30,77.55
18/08/1960 00:00,15,1.1,0.8,2.4,12.4,9.3,54.6,100,8.05,77.3
19/08/1960 00:00,14.7,5.8,0,2.4,10.1,9.7,58,100,10.25,79
20/08/1960 00:00,13.7,2.7,0,2.5,14.6,9.5,60.6,100,8.20,80.3
21/08/1960 00:00,15.2,2.6,0,2.5,14.2,9,52.1,100,8.90,76.05
22/08/1960 00:00,15.2,6.6,0,2.5,9.9,11.3,65.5,100,10.90,82.75
23/08/1960 00:00,15.3,6.9,0,2.5,13.3,10.4,59.9,100,11.10,79.95
24/08/1960 00:00,15.8,-0.7,0,2.5,17.5,7.9,44,100,7.55,72
25/08/1960 00:00,19.6,4.5,0,2.6,14.7,7.5,32.9,89.1,12.05,61
26/08/1960 00:00,16.2,9.5,0,2.6,9.6,10.1,54.9,85.1,12.85,70
27/08/1960 00:00,12.8,8.1,2.3,2.6,7.2,10.5,71.1,97.3,10.45,84.2
28/08/1960 00:00,11.8,5.3,0,2.7,5.8,8.5,61.5,95.5,8.55,78.5
29/08/1960 00:00,13.5,3.1,0,2.7,15,9.8,63.4,100,8.30,81.7
30/08/1960 00:00,15.7,3.4,8.1,2.7,17,9.9,55.5,100,9.55,77.75
31/08/1960 00:00,18.9,6.6,0,2.8,13.7,8.8,40.3,90.3,12.75,65.3
01/09/1960 00:00,15.1,7.5,0,2.8,10.8,9.9,57.7,95.6,11.30,76.65
02/09/1960 00:00,14.8,8.4,0,2.8,9.7,10.4,61.8,94.4,11.60,78.1
03/09/1960 00:00,13.7,6.1,5.1,2.9,11.5,9.6,61.3,100,9.90,80.65
04/09/1960 00:00,13.7,6.2,2.8,2.9,11.4,8.7,55.5,91.8,9.95,73.65
05/09/1960 00:00,14.9,3.6,0,3,13.7,9.9,58.5,100,9.25,79.25
06/09/1960 00:00,16,5.4,0,3,6.6,7.4,40.7,82.5,10.70,61.6
07/09/1960 00:00,12.2,8.7,25.4,3.1,8.5,10.1,71.1,89.8,10.45,80.45
08/09/1960 00:00,12.4,6.7,3,3.2,7.8,8.6,59.8,87.7,9.55,73.75
09/09/1960 00:00,15.2,6.9,0,3.2,7,11.7,67.8,100,11.05,83.9
10/09/1960 00:00,17.3,7.8,0,3.1,12.5,11.2,56.7,100,12.55,78.35
11/09/1960 00:00,20.6,9,0,3.1,14.2,11.5,47.4,100,14.80,73.7
12/09/1960 00:00,19.2,10,0,3.2,6.4,11.5,51.7,93.7,14.60,72.7
13/09/1960 00:00,13.6,11.9,16.5,3.2,5.3,13.9,89.3,99.8,12.75,94.55
14/09/1960 00:00,14.6,11,16.5,3.2,6,13.6,81.9,100,12.80,90.95
15/09/1960 00:00,17.1,11.1,0,3.4,5.5,13.1,67.2,99.2,14.10,83.2
16/09/1960 00:00,16.3,9,2,3.4,12.9,13,70.2,100,12.65,85.1
17/09/1960 00:00,14.8,9.1,8.9,3.3,8.4,13,77.3,100,11.95,88.65
18/09/1960 00:00,13.9,7.5,1.3,3.4,9.5,9.1,57.3,87.8,10.70,72.55
19/09/1960 00:00,15.1,6.3,0,3.5,14.8,8.8,51.3,92.2,10.70,71.75
20/09/1960 00:00,19.1,4.2,0,3.5,17.1,10.7,48.4,100,11.65,74.2
21/09/1960 00:00,18.1,4.7,0,3.6,21.1,10.7,51.5,100,11.40,75.75
22/09/1960 00:00,22.6,4.7,0,3.7,19.6,11.9,43.4,100,13.65,71.7
23/09/1960 00:00,21.9,12.4,0,3.7,18.9,13.8,52.5,95.9,17.15,74.2
24/09/1960 00:00,14.5,9.4,0,3.7,9.8,11.1,67.3,94.2,11.95,80.75
25/09/1960 00:00,13.3,7.8,19.1,3.7,12.4,9,59,85.1,10.55,72.05
26/09/1960 00:00,15,8.5,1.5,3.8,14.3,10.8,63.4,97.4,11.75,80.4
27/09/1960 00:00,15.1,9.1,0,3.9,10.2,10.3,60.1,89.2,12.10,74.65
28/09/1960 00:00,20.9,4,0,4,22.7,10.3,41.7,100,12.45,70.85
29/09/1960 00:00,18.4,9.7,0,4,9,12.1,57.2,100,14.05,78.6
30/09/1960 00:00,18.2,7.1,2,4.1,18.6,10.9,52.2,100,12.65,76.1
01/10/1960 00:00,18.9,5.7,0,4.2,17,10.8,49.5,100,12.30,74.75
02/10/1960 00:00,19.3,7.9,0,4.3,14.4,11.4,50.9,100,13.60,75.45
03/10/1960 00:00,24.1,11.2,0,4.2,20.7,11.3,37.7,85,17.65,61.35
04/10/1960 00:00,16.4,8.3,1,4.2,20.7,8.3,44.5,75.9,12.35,60.2
05/10/1960 00:00,16.9,9,10.2,4.3,14.1,12.5,65,100,12.95,82.5
06/10/1960 00:00,15.2,10.1,0,4.3,6.5,13.1,75.9,100,12.65,87.95
07/10/1960 00:00,16.8,7.5,7.1,4.3,16.5,9.8,51.3,94.6,12.15,72.95
08/10/1960 00:00,21.4,8.8,0,4.3,18.9,10.7,42,94.5,15.10,68.25
09/10/1960 00:00,23.3,8,0,4.4,23.4,10.7,37.4,99.8,15.65,68.6
10/10/1960 00:00,15.7,8.1,0,4.5,21.8,9.3,52.2,86.2,11.90,69.2
11/10/1960 00:00,16.5,8.2,7.6,4.5,18.8,9.7,51.7,89.3,12.35,70.5
12/10/1960 00:00,16.9,8.7,0,4.6,13.5,10.3,53.5,91.6,12.80,72.55
13/10/1960 00:00,21.1,4.8,0,4.6,11.7,10.3,41.2,100,12.95,70.6
14/10/1960 00:00,27,8.4,0,4.6,25.4,9.2,25.8,83.5,17.70,54.65
15/10/1960 00:00,29.8,12.3,0,4.7,19.9,9.8,23.4,68.6,21.05,46
16/10/1960 00:00,29.9,15.7,0,4.7,17.3,7.7,18.3,43.2,22.80,30.75
17/10/1960 00:00,15.7,10.6,3.8,4.6,15.3,12.4,69.6,97.1,13.15,83.35
18/10/1960 00:00,15.4,8.9,0,4.6,7.3,8,45.8,70.2,12.15,58
19/10/1960 00:00,16.5,8.2,0,4.7,11.3,9.2,49,84.7,12.35,66.85
