Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site,Conductivity,ON,OP,SAL,TEMP,WQ_CAR_DIC,WQ_CAR_PH,WQ_DIAG_PHY_TCHLA,WQ_DIAG_TOT_TAL,WQ_DIAG_TOT_TFE,WQ_DIAG_TOT_TKN,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TOC,WQ_DIAG_TOT_TP,WQ_DIAG_TOT_TSS,WQ_DIAG_TOT_TURBIDITY,WQ_GEO_AL,WQ_GEO_CA,WQ_GEO_CALCITE,WQ_GEO_CL,WQ_GEO_FEII,WQ_GEO_K,WQ_GEO_MG,WQ_GEO_MN,WQ_GEO_NA,WQ_GEO_SO4,WQ_NCS_SS1,WQ_NIT_AMM,WQ_NIT_NIT,WQ_OGM_DOC,WQ_OGM_DON,WQ_OGM_DOP,WQ_OGM_POC,WQ_OGM_PON,WQ_OGM_POP,WQ_OXY_OXY,WQ_PHS_FRP,WQ_PHS_FRP_ADS,WQ_PHY_GRN,WQ_SIL_RSI,WQ_TRC_SS1,pH
EPA_Mark,325762,6054914,21,11/09/2012,5/01/2016,880, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, ,x,x, ,x,x, ,x,x,x,x,x,x
EPA_McGrath,354600,6029390,22,21/07/2014,8/06/2016,1024, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, 
EPA_Morella,380179,6001380,21,21/07/2014,11/02/2016,160, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x, 
EPA_Mundoo,312516,6065450,16,20/07/2010,22/01/2015,224, ,x,x, , , , ,x, , ,x,x, ,x, , , , , , , , , , , , , ,x,x, ,x,x, ,x,x, ,x,x,x,x, , 
EPA_Mouth,308015,6063155,20,12/09/2012,6/01/2016,658, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x, ,x,x, ,x,x, ,x,x,x,x,x, 
EPA_Narrung,336596,6067746,13,1/10/2010,23/01/2015,714, ,x,x, , , , ,x, , ,x, , ,x, , , , , , , , , , , , , ,x,x, , ,x, , ,x, ,x,x,x,x, , 
EPA_North_Jack,369342,6010970,23,27/02/2008,8/06/2016,2106, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x
EPA_Parnka_Point,355237,6025730,22,21/07/2014,8/06/2016,1064, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, 
EPA_Salt_Creek,378834.7,6001351.5,15,3/07/2013,11/09/2013,294, ,x,x, , , , ,x, , ,x,x, ,x, , , , , , , , , , , , , ,x,x, ,x,x, ,x,x, ,x,x,x, , , 
EPA_Seagull_Island,372453,6005680,22,21/07/2014,8/06/2016,1062, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, 
EPA_Snipe_Point,374406,6002900,21,21/07/2014,5/01/2016,840, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x, 
EPA_Salt,377597,6000430,1,14/07/2014,23/04/2015,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x
EPA_Stoney_Well,365104,6017790,22,21/07/2014,8/06/2016,1062, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, 
EPA_Tauwitcherie,320218,6059692,23,27/02/2008,8/06/2016,2004, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x
EPA_Tauwitchere_Barrage,320219,6059690,6,27/02/2008,8/06/2016,363, , , , , , , , , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , , , , , ,x,x,x
EPA_Yumpa,359175,6022894,23,12/09/2012,8/06/2016,2236, ,x,x, , , , ,x, , ,x,x, ,x,x,x, , , , , , , , , , ,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x,x
EPA2014_CLLMM_Transect_Coorong,370265.5031,6007366.866,8,11/09/2012,13/11/2014,51444,x, , ,x,x, ,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , , , , , , ,x, 
EPA2014_CLLMM_Transect_Lower_Lakes,352555.3168,6090350.466,8,31/03/2011,12/11/2014,160960,x, , ,x,x, ,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , , , , , , ,x, 
EPA2014_CLLMM_Transects_Morella,377472.3518,6000546.136,8,3/07/2013,11/09/2013,16554,x, , ,x,x, ,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , , , , , , ,x, 
EPA2014_Clayton_1,312259,6068892,25,19/08/2009,19/11/2010,988,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, , , , , , ,x,x,x, ,x,x, 
EPA2014_Clayton_3A,311417,6069731,39,6/01/2010,21/06/2011,2270,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Clayton_3B,311152,6069844,25,30/09/2009,19/11/2010,444,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, , , , , , ,x,x,x, ,x,x, 
EPA2014_Clayton_3C,310934,6069857,25,27/08/2009,19/11/2010,520,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x,x,x, , , , , , ,x,x,x, ,x,x, 
EPA2014_Coorong_1_8km_West_Salt_Creek,377597,6000430,7,27/02/2008,15/10/2014,498,x, , ,x,x,x,x, , , , , , , , , , , , ,x, , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Coorong_Bonneys,347969,6037304,7,12/09/2012,10/12/2014,192,x, , ,x,x,x,x, , , , , , , , , , , , ,x, , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Coorong_Boundary_Creek_1,311596,6062368,21,21/09/2010,11/04/2013,272,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Coorong_Ewe_Island_Barrage,314880,6062880,27,21/09/2010,10/12/2014,704,x,x,x,x,x,x,x,x, , ,x,x, ,x,x,x, , , ,x, , , , , , ,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Coorong_Ewe_Island_Barrage_Adj_to_NW_end,314659,6062546,19,27/02/2008,23/11/2009,276,x,x, ,x,x,x,x,x,x,x,x, , ,x,x,x,x, , , ,x, , , , , ,x,x, , , , , , , , , , ,x, ,x, 
EPA2014_Coorong_Goolwa_Channel_Monument_Rd,302097,6066373,9,27/02/2008,10/12/2014,250,x, , ,x,x,x,x, ,x,x, , , , , , ,x, , , ,x, , , , , , , , , , , , , , , , , , , , , 
EPA2014_Coorong_Jockwar_Road,351368,6083419,10,13/12/2012,9/12/2014,218,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Coorong_Long_Point,333756,6048257,7,12/09/2012,10/12/2014,358,x, , ,x,x,x,x, , , , , , , , , , , , ,x, , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Coorong_Mark_Point,325762,6054914,7,11/09/2012,10/12/2014,206,x, , ,x,x,x,x, , , , , , , , , , , , ,x, , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Coorong_Monument_Road,302097,6066373,2,12/09/2012,10/12/2014,44, , , , , , , , , , , , , , , , , , , ,x, , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Coorong_Mundoo_Channel,312516,6065450,10,14/07/2010,10/12/2014,478,x, , ,x,x,x,x, , , , , , , ,x,x, , , , , , , , , , ,x, , , , , , , , ,x, , , , ,x, 
EPA2014_Coorong_Murray_Mouth,308015,6063155,7,12/09/2012,10/12/2014,172,x, , ,x,x,x,x, , , , , , , , , , , , ,x, , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Coorong_Salt_Ck_outlet_Salt_Creek,377597,6000430,1,27/02/2008,15/10/2014,55, , , ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
EPA2014_Coorong_Tauwitchere_Barrage,320218,6059692,16,27/02/2008,10/12/2014,420,x, , ,x,x,x,x, ,x,x, , , , , , ,x,x, ,x,x,x, ,x,x,x, , , , , , , , , ,x, , , , , , 
EPA2014_Coorong_Villa_de_Yumpa,359175,6022894,7,12/09/2012,10/12/2014,394,x, , ,x,x,x,x, , , , , , , , , , , , ,x, , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Coorong_sub_lagoon_1_Tauwitchere,325883,6060247,19,27/02/2008,3/06/2010,286,x,x, ,x,x,x,x,x,x,x,x, , ,x,x,x,x, , , ,x, , , , , ,x,x, , , , , , , , , , ,x, ,x, 
EPA2014_Coorong_sub_lagoon_10_Jack_Point,323910,6058687,31,27/02/2008,10/12/2014,982,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x, , ,x,x, , , , , ,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Coorong_sub_lagoon_12_Sth_of_Salt_Creek,323636,6058164,31,27/02/2008,10/12/2014,798,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x, , ,x,x, , , , , ,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Coorong_sub_lagoon_2_Mark_Point,325774,6060184,4,27/02/2008,3/06/2010,16,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
EPA2014_Coorong_sub_lagoon_3_Long_Point,326106,6060249,19,27/02/2008,3/06/2010,286,x,x, ,x,x,x,x,x,x,x,x, , ,x,x,x,x, , , ,x, , , , , ,x,x, , , , , , , , , , ,x, ,x, 
EPA2014_Coorong_sub_lagoon_4_Noonameena,324117,6058653,4,27/02/2008,3/08/2010,32,x, , ,x,x, ,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
EPA2014_Coorong_sub_lagoon_5_Bonneys,326015,6058300,19,27/02/2008,3/08/2010,356,x,x, ,x,x,x,x,x,x,x,x, , ,x,x,x,x, , , ,x, , , , , ,x,x, , , , , , , , , , ,x, ,x, 
EPA2014_Coorong_sub_lagoon_6_McGrath_Flat_North,326056,6058268,27,1/07/2010,15/10/2014,444,x,x,x,x,x,x,x,x, , ,x,x, ,x,x,x, , , ,x, , , , , , ,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Coorong_sub_lagoon_7_Parnka_Point,324163,6058614,31,27/02/2008,15/10/2014,1264,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x, , ,x,x, , , , , ,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Coorong_sub_lagoon_9_Stoney_Well,325989,6058354,27,27/02/2008,15/10/2014,444,x,x,x,x,x,x,x,x, , ,x,x, ,x,x,x, , , ,x, , , , , , ,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Currency_Ck_CC_292,299331,6073729,20,18/05/2009,9/06/2009,356,x,x, ,x, ,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , 
EPA2014_Currency_Ck_CC_DS5,302991,6070631,20,18/05/2009,11/09/2009,740,x,x, ,x, ,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , 
EPA2014_Currency_Ck_CC_DS6,302789,6070149,19,22/05/2009,20/08/2009,112,x, , ,x, ,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , 
EPA2014_Currency_Ck_Bore_LCC_P2,302192,6071732,14,2/05/2009,18/12/2014,942,x, , ,x,x,x,x, , , , , , , , , ,x,x, ,x,x,x, ,x,x,x, , , , , , , , , ,x, , , , , , 
EPA2014_Currency_Ck_CCGC,302418,6069589,24,18/05/2009,30/12/2009,654,x,x, ,x, ,x,x, ,x,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x, , , , , , , , , , , , ,x, 
EPA2014_Currency_Creek_CCUS1,296153,6074149,37,9/04/2009,16/10/2014,2840,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Currency_Creek_Currency_1,301314,6073082,41,4/08/2008,16/10/2014,4736,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Currency_Creek_Currency_2,301809,6071434,22,4/08/2008,3/02/2016,4701,x, , ,x,x,x,x, ,x,x, ,x,x, ,x, ,x,x,x,x,x,x,x,x,x,x, , , ,x, , , , , ,x, , , , , , 
EPA2014_Currency_Creek_Currency_3,302660,6069803,40,4/08/2008,16/08/2010,4064,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, 
EPA2014_Currency_Creek_Regulator,302553,6072223,37,14/01/2009,16/10/2014,3822,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Currency_Creek_US_of_Narrows,299424,6073808,37,8/05/2009,16/10/2014,4550,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Dunns_Lagoon_DL_Jetty,312400,6069240,6,9/04/2010,26/04/2012,200,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DL1_Kayak,312378,6069672,6,16/04/2010,12/01/2011,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DL10_Kayak,313633,6069763,6,16/04/2010,12/01/2011,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DL2_Kayak,312643,6069962,6,16/04/2010,12/01/2011,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DL3_Kayak,312679,6070129,6,16/04/2010,12/01/2011,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DL4_Kayak,312696,6070322,6,16/04/2010,12/01/2011,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DL5_Kayak,313298,6070307,6,16/04/2010,12/01/2011,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DL6_Kayak,313303,6070124,21,5/08/2009,12/01/2011,62,x, , ,x,x,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DL7_Kayak,313306,6069875,6,16/04/2010,16/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DL8_Kayak,313297,6069684,6,16/04/2010,12/01/2011,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DL9_Kayak,313450,6069669,6,16/04/2010,16/04/2010,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DLT10,313310,6070356,6,30/04/2010,26/04/2012,176,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Dunns_Lagoon_DLT3,312474,6070172,21,9/04/2010,26/04/2012,218,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Dunns_Lagoon_DLT7,313321,6070311,6,9/04/2010,7/12/2011,36,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Finniss_River_FR_DS1,304044,6077930,20,19/05/2009,23/11/2009,638,x,x, ,x, ,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , , , , , , , , 
EPA2014_Finniss_River_DS_of_WL,303479,6079269,37,26/11/2009,3/10/2013,3738,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Finniss_River_FRGC,308604,6071593,37,14/05/2009,16/10/2014,3518,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Finniss_River_Finniss_1,306660,6076270,41,4/08/2008,16/10/2014,4990,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Finniss_River_Finniss_2,308064,6073399,41,4/08/2008,9/12/2014,8138,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, 
EPA2014_Finniss_River_Finniss_3,309297,6070539,40,4/08/2008,21/06/2011,5790,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x, ,x, 
EPA2014_Finniss_River_US1,302460,6080680,37,9/04/2009,16/10/2014,2728,x,x,x,x,x,x,x,x,x,x,x,x, ,x,x,x,x,x, ,x,x,x,x,x,x,x,x,x,x, ,x,x, ,x,x,x,x,x,x,x,x, 
EPA2014_Finniss_River_Wallys_Landing_FR_WL,303113,6079582,21,19/05/2009,18/09/2014,136,x, , ,x,x,x,x, ,x,x,x,x, ,x, , ,x,x, ,x,x,x,x,x,x,x, ,x, , , , , , , ,x, , , , , , 
EPA2014_Hindmarsh_Island_Boggy_Creek_1,311149,6066040,21,14/07/2010,23/12/2014,1248,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Hindmarsh_Island_Boggy_Creek_2,311431,6066040,6,14/07/2010,3/02/2012,468,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Hindmarsh_Island_Boggy_Creek_3,311056,6065794,6,14/07/2010,23/12/2014,1008,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Hindmarsh_Island_Boggy_Creek_4,311562,6065312,21,14/07/2010,23/12/2014,1990,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Hindmarsh_Island_Boggy_Creek_5,311341,6066722,21,12/08/2010,23/12/2014,1546,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Hindmarsh_Island_Boggy_Creek_6,311612,6066862,21,12/08/2010,23/12/2014,2338,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Hindmarsh_Island_Boggy_Creek_7,311305,6066572,21,18/08/2010,1/05/2012,516,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Hindmarsh_Island_Estick_Creek_2,311683,6065664,6,5/01/2011,5/01/2011,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Hindmarsh_Island_Estick_Creek_3,311639,6065584,6,5/01/2011,5/01/2011,24,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Hindmarsh_Island_Estick_Creek_5,311805,6065433,6,5/01/2011,5/01/2011,12,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
EPA2014_Hindmarsh_Island_Hunters_Creek_1,308875,6066444,21,31/08/2010,23/12/2014,2416,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Hindmarsh_Island_Hunters_Creek_2,308613,6066358,21,8/09/2010,23/12/2014,1018,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Hindmarsh_Island_Hunters_Creek_3,308561,6065999,21,8/09/2010,23/12/2014,1038,x, , ,x,x,x,x, ,x,x, , , , ,x,x,x,x, ,x,x,x, ,x,x,x,x, , , , , , , , ,x, , , ,x,x, 
EPA2014_Hindmarsh_Island_Hunters_Creek_4,308062,6065764,6,8/09/2010,23/12/2014,948,x, , ,x,x,x,x, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,x, , , , , , 
