!				1				2			3			4			5			6			7,
&bc
headings1 = 	timestep, 	time, 	      oxy,		  nit,		  amm,		 frp, 	      pocl,
                86,         42.50,       217.9667,      1.5883,      3.3421,      0.0318,      0.0107,
                87,         43.00,       205.1956,      1.4992,      3.1574,      0.0299,      0.0100,
                88,         43.50,       190.0807,      1.3946,      2.9354,      0.0277,      0.0379,
                89,         44.00,       177.6199,      1.3138,      2.7628,      0.0258,      0.0478,
                90,         44.50,       54.4515,      1.9357,      3.9044,      0.0339,      16.7776,
                91,         45.00,       8.3478,      1.9473,      4.3917,      0.0490,      14.5953,
                92,         45.50,       249.3848,      1.8938,      3.9433,      0.0435,      0.1173,
                93,         46.00,       249.2768,      1.8894,      3.9394,      0.0433,      0.0374,
                94,         46.50,       245.3811,      1.8357,      3.8543,      0.0427,      0.0965,
                95,         47.00,       229.0193,      1.6893,      3.5533,      0.0393,      0.1257,
                96,         47.50,       211.0067,      1.5357,      3.2362,      0.0358,      0.0590,
                97,         48.00,       203.3192,      0.9791,      2.2359,      0.0300,      21.6021,
                98,         48.50,       173.0779,      0.2846,      0.9107,      0.0671,      28.9913,
                99,         49.00,       304.7157,      0.0246,      0.3107,      0.3327,      37.1007,
                100,         49.50,       405.5115,      0.0375,      0.3250,      0.2741,      36.5037,
                101,         50.00,       310.1490,      0.0280,      0.3496,      0.2343,      34.3223,
                102,         50.50,       311.8986,      0.0224,      0.4536,      0.2868,      21.3922,
                103,         51.00,       304.2762,      0.0170,      0.3384,      0.2869,      2.8306,
                104,         51.50,       294.1537,      0.0168,      0.3339,      0.2774,      0.0530,
                105,         52.00,       282.9205,      0.0187,      0.3262,      0.2658,      0.0401,
                106,         52.50,       271.8882,      0.0224,      0.3215,      0.2544,      0.0412,
                107,         53.00,       274.4462,      0.1565,      0.7122,      0.0662,      27.9080,
                108,         53.50,       285.7283,      0.2112,      1.0549,      0.0431,      20.9223,
                109,         54.00,       332.7079,      0.2191,      1.4291,      0.0402,      18.0560,
                110,         54.50,       290.3294,      0.2140,      1.3859,      0.0393,      0.0338,
                111,         55.00,       288.6519,      0.2125,      1.3817,      0.0389,      0.0342,
                112,         55.50,       287.7261,      0.2122,      1.3956,      0.0391,      0.0254,
                113,         56.00,       287.5271,      0.2121,      1.3962,      0.0390,      0.0008,
                114,         56.50,       286.2648,      0.2120,      1.4017,      0.0390,      0.0165,
                115,         57.00,       282.8614,      0.2118,      1.4095,      0.0387,      0.0328,
                116,         57.50,       279.8519,      0.2181,      1.5037,      0.0397,      0.0232,
                117,         58.00,       278.6763,      0.2210,      1.5296,      0.0398,      0.0057,
                118,         58.50,       277.5956,      0.2230,      1.5333,      0.0397,      0.0019,
                119,         59.00,       274.4352,      0.2228,      1.5239,      0.0393,      0.0065,
                120,         59.50,       266.4500,      0.2309,      1.5427,      0.0390,      0.0257,
                121,         60.00,       251.5160,      0.2508,      1.5444,      0.0371,      0.0266,
                122,         60.50,       238.6298,      0.2624,      1.5161,      0.0354,      0.0232,
                123,         61.00,       234.3615,      0.2686,      1.5132,      0.0348,      0.0270,
                124,         61.50,       234.7683,      0.3217,      1.6464,      0.0357,      0.0342,
                125,         62.00,       234.7441,      0.3440,      1.7053,      0.0359,      0.0311,
                126,         62.50,       235.1608,      0.4185,      1.9148,      0.0378,      0.0412,
                127,         63.00,       235.1437,      0.4243,      1.9281,      0.0379,      0.0065,
                128,         63.50,       235.0754,      0.4291,      1.9399,      0.0379,      0.0108,
                129,         64.00,       235.0587,      0.4289,      1.9387,      0.0379,      0.0000,
                130,         64.50,       235.3899,      0.5014,      2.1918,      0.0407,      0.0340,
                131,         65.00,       235.3243,      0.5232,      2.2727,      0.0414,      0.0139,
                132,         65.50,       235.4047,      0.6332,      2.7119,      0.0473,      0.0286,
                133,         66.00,       233.0041,      0.6759,      2.8926,      0.0485,      0.0606,
                134,         66.50,       228.7308,      0.6672,      2.8487,      0.0477,      0.0052,
                135,         67.00,       221.2008,      0.6474,      2.7616,      0.0460,      0.0066,
                136,         67.50,       213.3623,      0.6404,      2.7379,      0.0455,      0.0090,
                137,         68.00,       208.1246,      0.6286,      2.6875,      0.0445,      0.0036,
                138,         68.50,       205.0782,      0.6235,      2.6628,      0.0440,      0.0087,
                139,         69.00,       204.0279,      0.6201,      2.6473,      0.0437,      0.0000,
                140,         69.50,       204.1587,      0.6264,      2.6750,      0.0440,      0.0069,
                141,         70.00,       204.4972,      0.6641,      2.8526,      0.0457,      0.0216,
                142,         70.50,       205.3695,      0.7732,      3.5014,      0.0558,      0.0083,
                143,         71.00,       203.0460,      0.7767,      3.4858,      0.0548,      0.0455,
                144,         71.50,       199.6792,      0.7759,      3.4437,      0.0536,      0.0256,
                145,         72.00,       195.5658,      0.7701,      3.3874,      0.0523,      0.0287,
                146,         72.50,       191.8431,      0.7678,      3.3335,      0.0511,      0.0099,
                147,         73.00,       189.4384,      0.7581,      3.2880,      0.0503,      0.0003,
                148,         73.50,       180.4879,      0.7256,      3.1342,      0.0479,      0.0001,
                149,         74.00,       159.6198,      0.6741,      2.8408,      0.0425,      0.0256,
                150,         74.50,       141.1897,      0.6910,      2.7310,      0.0401,      0.0086,
                151,         75.00,       127.9443,      0.6432,      2.5068,      0.0366,      0.0063,
                152,         75.50,       122.1216,      0.6596,      2.5016,      0.0364,      0.0146,
                153,         76.00,       119.4644,      0.6454,      2.4453,      0.0355,      0.0001,
                154,         76.50,       119.9662,      0.6683,      2.5075,      0.0362,      0.0131,
                155,         77.00,       121.0648,      0.7100,      2.6193,      0.0372,      0.0241,
                156,         77.50,       122.8557,      0.7734,      2.7999,      0.0394,      0.0148,
                157,         78.00,       123.3365,      0.7959,      2.8356,      0.0390,      0.0601,
                158,         78.50,       122.1465,      0.8035,      2.8260,      0.0382,      0.0405,
                159,         79.00,       117.2437,      0.7802,      2.7325,      0.0366,      0.0164,
                160,         79.50,       113.6359,      0.7869,      2.6911,      0.0353,      0.0557,
                161,         80.00,       112.5221,      0.8004,      2.6773,      0.0345,      0.0266,
                162,         80.50,       112.3791,      0.8276,      2.7031,      0.0342,      0.0304,
                163,         81.00,       110.7060,      0.8603,      2.6976,      0.0330,      0.0354,
                164,         81.50,       108.1750,      0.8639,      2.6411,      0.0320,      0.0132,
                165,         82.00,       107.2982,      0.8653,      2.6259,      0.0316,      0.0106,
                166,         82.50,       108.9469,      0.9385,      2.7311,      0.0324,      0.0161,
                167,         83.00,       108.6771,      0.9635,      2.7498,      0.0322,      0.0115,
                168,         83.50,       107.7629,      0.9675,      2.7313,      0.0319,      0.0025,
                169,         84.00,       107.6816,      0.9788,      2.7429,      0.0319,      0.0121,
                170,         84.50,       114.4471,      1.2129,      3.1598,      0.0365,      0.0217,
                171,         85.00,       114.9392,      1.2347,      3.1870,      0.0366,      0.0138,
                172,         85.50,       116.6354,      1.3047,      3.2977,      0.0377,      0.0032,
                173,         86.00,       117.4746,      1.3493,      3.3521,      0.0378,      0.0200,
                174,         86.50,       116.8069,      1.3710,      3.3606,      0.0379,      0.0013,
                175,         87.00,       112.9698,      1.3520,      3.2569,      0.0363,      0.0442,
                176,         87.50,       110.5439,      1.3847,      3.1838,      0.0347,      0.0294,
                177,         88.00,       109.6018,      1.3905,      3.1619,      0.0343,      0.0183,
                178,         88.50,       114.5810,      1.5895,      3.3525,      0.0352,      0.0339,
                179,         89.00,       115.1876,      1.6147,      3.3664,      0.0351,      0.0078,
                180,         89.50,       115.7094,      1.6352,      3.3767,      0.0351,      0.0021,
                181,         90.00,       116.0108,      1.6478,      3.3863,      0.0351,      0.0064,
                182,         90.50,       118.3444,      1.7427,      3.4694,      0.0356,      0.0238,
                183,         91.00,       120.5464,      1.8370,      3.5539,      0.0359,      0.0283,
                184,         91.50,       119.4315,      1.8725,      3.5419,      0.0356,      0.0149,
                185,         92.00,       116.1474,      1.9409,      3.4651,      0.0338,      0.0597,
                186,         92.50,       108.6723,      1.8317,      3.2235,      0.0312,      0.0314,
                187,         93.00,       240.0073,      5.8580,      5.8722,      0.0218,      0.2530,
                188,         93.50,       396.2069,      4.5880,      4.7170,      0.0246,      23.8869,
                189,         94.00,       381.8516,      4.7851,      4.6379,      0.0226,      31.2446,
                190,         94.50,       229.0409,      5.0678,      4.9921,      0.0250,      15.6995,
                191,         95.00,       227.6345,      5.0343,      4.9594,      0.0248,      0.0078,
                192,         95.50,       228.0360,      5.0314,      4.9724,      0.0252,      0.0289,
                193,         96.00,       228.1889,      5.0220,      4.9853,      0.0253,      0.0343,
                194,         96.50,       228.7362,      5.0074,      5.0228,      0.0264,      0.0042,
                195,         97.00,       228.7242,      5.0088,      5.0254,      0.0264,      0.0159,
                196,         97.50,       228.7498,      5.0104,      5.0317,      0.0265,      0.0094,
                197,         98.00,       228.7555,      5.0115,      5.0332,      0.0265,      0.0041,
                198,         98.50,       228.7666,      5.0112,      5.0435,      0.0266,      0.0040,
                199,         99.00,       228.7903,      5.0129,      5.0462,      0.0266,      0.0050,
                200,         99.50,       228.8447,      5.0125,      5.0772,      0.0270,      0.0370,
                201,         100.00,       228.7963,      5.0053,      5.1163,      0.0274,      0.0230,
                202,         100.50,       229.4728,      4.9739,      5.3431,      0.0313,      0.0278,
                203,         101.00,       228.8242,      4.9676,      5.3915,      0.0315,      0.0198,
                204,         101.50,       228.2335,      4.9819,      5.4050,      0.0316,      0.0189,
                205,         102.00,       227.9587,      4.9972,      5.4184,      0.0315,      0.0389,
                206,         102.50,       227.9502,      5.0096,      5.4296,      0.0316,      0.0124,
                207,         103.00,       227.9285,      5.0117,      5.4357,      0.0316,      0.0101,
                208,         103.50,       227.7142,      5.0491,      5.5473,      0.0326,      0.0315,
                209,         104.00,       226.5814,      5.0304,      5.5254,      0.0325,      0.0230,
                210,         104.50,       224.6838,      5.0277,      5.5146,      0.0324,      0.0397,
                211,         105.00,       222.0683,      5.0050,      5.4811,      0.0318,      0.0530,
                212,         105.50,       219.9113,      4.9719,      5.4417,      0.0315,      0.0410,
                213,         106.00,       219.1278,      4.9661,      5.4330,      0.0313,      0.0070,
                214,         106.50,       219.2611,      4.9975,      5.4870,      0.0317,      0.0133,
                215,         107.00,       219.2405,      5.0015,      5.4975,      0.0317,      0.0085,
                216,         107.50,       216.6268,      5.0194,      5.6582,      0.0339,      0.0849,
                217,         108.00,       207.3699,      4.8375,      5.4371,      0.0323,      0.0405,
                218,         108.50,       198.8279,      4.6947,      5.2392,      0.0309,      0.0436,
                219,         109.00,       195.9937,      4.6417,      5.1724,      0.0304,      0.0151,
                220,         109.50,       197.0361,      4.7305,      5.2643,      0.0307,      0.0321,
                221,         110.00,       197.1572,      4.7570,      5.2910,      0.0306,      0.0185,
                222,         110.50,       198.5845,      4.8779,      5.4524,      0.0318,      0.0141,
                223,         111.00,       198.7020,      4.9121,      5.5180,      0.0319,      0.0196,
                224,         111.50,       198.7333,      4.9728,      5.6612,      0.0339,      0.0010,
                225,         112.00,       196.4380,      4.9153,      5.5902,      0.0335,      0.0019,
                226,         112.50,       192.5791,      4.8213,      5.4807,      0.0328,      0.0002,
                227,         113.00,       187.0627,      4.6921,      5.3514,      0.0322,      0.0473,
                228,         113.50,       180.6331,      4.5393,      5.1815,      0.0313,      0.0023,
                229,         114.00,       174.5284,      4.4301,      5.0535,      0.0300,      0.0979,
                230,         114.50,       169.3521,      4.3240,      4.9357,      0.0292,      0.0859,
                231,         115.00,       165.6531,      4.2456,      4.8440,      0.0284,      0.0598,
                232,         115.50,       163.7046,      4.2149,      4.8068,      0.0280,      0.0379,
                233,         116.00,       162.9412,      4.2048,      4.7947,      0.0278,      0.0405,
                234,         116.50,       163.1295,      4.2240,      4.8173,      0.0278,      0.0300,
                235,         117.00,       163.1540,      4.2311,      4.8253,      0.0278,      0.0190,
                236,         117.50,       162.8037,      4.2276,      4.8253,      0.0278,      0.0118,
                237,         118.00,       161.3735,      4.1925,      4.7813,      0.0275,      0.0000,
                238,         118.50,       159.6176,      4.1477,      4.7292,      0.0272,      0.0000,
                239,         119.00,       157.8078,      4.1045,      4.6763,      0.0268,      0.0014,
                240,         119.50,       157.0657,      4.1046,      4.6829,      0.0267,      0.1783,
                241,         120.00,       157.5939,      4.1380,      4.7379,      0.0266,      0.0171,
                242,         120.50,       158.0810,      4.1469,      4.7675,      0.0267,      0.1132,
                243,         121.00,       158.4068,      4.1538,      4.7950,      0.0267,      0.0364,
                244,         121.50,       158.7511,      4.1633,      4.8227,      0.0269,      0.0284,
                245,         122.00,       158.9617,      4.1709,      4.8414,      0.0269,      0.0020,
                246,         122.50,       159.2062,      4.1689,      4.8649,      0.0272,      0.0484,
                247,         123.00,       159.2948,      4.1718,      4.8713,      0.0272,      0.0000,
                248,         123.50,       159.5042,      4.1732,      4.8941,      0.0275,      0.0137,
                249,         124.00,       159.5683,      4.1743,      4.9103,      0.0277,      0.0206,
                250,         124.50,       159.7569,      4.1795,      4.9494,      0.0284,      0.0025,
                251,         125.00,       160.2312,      4.1923,      4.9991,      0.0285,      0.0204,
                252,         125.50,       160.8952,      4.2103,      5.0759,      0.0290,      0.0897,
                253,         126.00,       161.2268,      4.2184,      5.1059,      0.0290,      0.0001,
                254,         126.50,       161.3402,      4.2207,      5.1131,      0.0290,      0.0008,
                255,         127.00,       161.4601,      4.2228,      5.1204,      0.0291,      0.0000,
                256,         127.50,       161.8499,      4.2157,      5.1641,      0.0295,      0.0924,
                257,         128.00,       162.4089,      4.1987,      5.2507,      0.0304,      0.0001,
                258,         128.50,       162.4315,      4.1991,      5.2533,      0.0305,      0.0025,
                259,         129.00,       162.7602,      4.2232,      5.3454,      0.0317,      0.0927,
                260,         129.50,       161.4410,      4.1882,      5.3218,      0.0316,      0.0016,
                261,         130.00,       157.0945,      4.0699,      5.1930,      0.0307,      0.0004,
                262,         130.50,       152.3824,      3.9415,      5.0521,      0.0298,      0.0083,
                263,         131.00,       150.2554,      3.8650,      5.0148,      0.0293,      0.0018,
                264,         131.50,       150.3808,      3.8426,      5.0577,      0.0294,      0.0324,
                265,         132.00,       150.4155,      3.8340,      5.0754,      0.0294,      0.0001,
                266,         132.50,       150.6516,      3.8351,      5.0887,      0.0294,      0.0055,
                267,         133.00,       151.1052,      3.8373,      5.1179,      0.0295,      0.0000,
                268,         133.50,       151.1052,      3.8373,      5.1179,      0.0295,      0.0000,
                269,         134.00,       151.1052,      3.8373,      5.1179,      0.0295,      0.0000,
                270,         134.50,       151.0290,      3.8353,      5.1153,      0.0294,      0.0000,
                271,         135.00,       150.7862,      3.8292,      5.1071,      0.0294,      0.0000,
                272,         135.50,       150.5927,      3.8231,      5.1015,      0.0294,      0.0000,
                273,         136.00,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                274,         136.50,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                275,         137.00,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                276,         137.50,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                277,         138.00,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                278,         138.50,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                279,         139.00,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                280,         139.50,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                281,         140.00,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                282,         140.50,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                283,         141.00,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                284,         141.50,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                285,         142.00,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                286,         142.50,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                287,         143.00,       150.5117,      3.8211,      5.0988,      0.0293,      0.0000,
                288,         143.50,       148.8529,      3.7777,      5.0437,      0.0290,      0.0000,
                289,         144.00,       144.0733,      3.6491,      4.8885,      0.0280,      0.0000,
                290,         144.50,       139.3194,      3.5229,      4.7326,      0.0271,      0.0000,
                291,         145.00,       137.8450,      3.4813,      4.6865,      0.0268,      0.0000,
                292,         145.50,       137.7001,      3.4776,      4.6816,      0.0268,      0.0000,
                293,         146.00,       137.2652,      3.4666,      4.6669,      0.0267,      0.0000,
                294,         146.50,       136.8263,      3.4554,      4.6520,      0.0266,      0.0000,
                295,         147.00,       136.6808,      3.4517,      4.6471,      0.0266,      0.0000,
                296,         147.50,       136.6808,      3.4517,      4.6471,      0.0266,      0.0000,
                297,         148.00,       136.6808,      3.4517,      4.6471,      0.0266,      0.0000,
                298,         148.50,       136.6808,      3.4517,      4.6471,      0.0266,      0.0000,
                299,         149.00,       136.6808,      3.4517,      4.6471,      0.0266,      0.0000,
                300,         149.50,       136.9560,      3.4672,      4.7078,      0.0273,      0.0225,
                301,         150.00,       137.0147,      3.4773,      4.7303,      0.0273,      0.0015,
                302,         150.50,       136.4952,      3.4978,      4.7761,      0.0276,      0.0090,
                303,         151.00,       134.1979,      3.4505,      4.7273,      0.0272,      0.0003,
                304,         151.50,       131.9910,      3.3956,      4.6702,      0.0268,      0.0015,
                305,         152.00,       131.3340,      3.3816,      4.6586,      0.0267,      0.0000,
                306,         152.50,       131.3765,      3.3835,      4.6626,      0.0267,      0.0000,
                307,         153.00,       131.7494,      3.4069,      4.7160,      0.0270,      0.0000,
                308,         153.50,       131.0005,      3.3901,      4.6976,      0.0269,      0.0001,
                309,         154.00,       128.4678,      3.3273,      4.6157,      0.0264,      0.0000,
                310,         154.50,       126.0003,      3.2963,      4.5722,      0.0261,      0.0415,
                311,         155.00,       125.3652,      3.3162,      4.6009,      0.0260,      0.0002,
                312,         155.50,       124.9163,      3.3184,      4.6098,      0.0261,      0.0022,
                313,         156.00,       125.3469,      3.4038,      4.7185,      0.0264,      0.0351,
                314,         156.50,       124.6082,      3.4687,      4.7756,      0.0266,      0.0406,
                315,         157.00,       121.5478,      3.4556,      4.7239,      0.0260,      0.0310,
                316,         157.50,       119.3695,      3.6204,      4.8095,      0.0259,      0.0587,
                317,         158.00,       118.5369,      3.7335,      4.8601,      0.0257,      0.0216,
                318,         158.50,       118.5143,      3.8110,      4.9006,      0.0257,      0.0128,
                319,         159.00,       118.4112,      3.8143,      4.9017,      0.0258,      0.0010,
                320,         159.50,       119.3370,      4.0422,      5.1340,      0.0287,      0.0280,
                321,         160.00,       120.5219,      4.2683,      5.4646,      0.0346,      0.0101,
                322,         160.50,       129.6152,      5.4910,      7.6606,      0.0756,      0.0060,
                323,         161.00,       127.8858,      5.4399,      7.5576,      0.0742,      0.0004,
                324,         161.50,       126.2693,      5.4446,      7.4812,      0.0730,      0.0164,
                325,         162.00,       125.9255,      5.5175,      7.4773,      0.0724,      0.0220,
                326,         162.50,       126.2639,      5.6484,      7.5017,      0.0721,      0.0185,
                327,         163.00,       125.8017,      5.6622,      7.4629,      0.0714,      0.0140,
                328,         163.50,       125.5683,      5.6758,      7.4164,      0.0706,      0.0166,
                329,         164.00,       125.3950,      5.6752,      7.3894,      0.0701,      0.0100,
                330,         164.50,       125.7118,      5.6970,      7.3797,      0.0699,      0.0092,
                331,         165.00,       125.6987,      5.6975,      7.3759,      0.0698,      0.0026,
                332,         165.50,       126.0216,      5.7160,      7.3761,      0.0697,      0.0093,
                333,         166.00,       126.0152,      5.7164,      7.3694,      0.0695,      0.0002,
                334,         166.50,       126.1089,      5.7278,      7.3646,      0.0692,      0.0032,
                335,         167.00,       126.3621,      5.7553,      7.3642,      0.0688,      0.0001,
                336,         167.50,       126.7453,      5.7774,      7.3791,      0.0688,      0.0110,
                337,         168.00,       126.9276,      5.7976,      7.3782,      0.0684,      0.0000,
                338,         168.50,       127.4449,      5.8407,      7.4253,      0.0686,      0.0124,
                339,         169.00,       127.7329,      5.8752,      7.4264,      0.0681,      0.0000,
                340,         169.50,       128.1275,      5.9059,      7.4756,      0.0684,      0.0004,
                341,         170.00,       128.3456,      5.9351,      7.4765,      0.0680,      0.0000,
                342,         170.50,       129.1073,      6.0340,      7.5461,      0.0682,      0.0359,
                343,         171.00,       129.4137,      6.0788,      7.5534,      0.0679,      0.0000,
                344,         171.50,       132.9249,      6.3395,      8.5195,      0.0805,      0.0121,
                345,         172.00,       133.1062,      6.3720,      8.5388,      0.0804,      0.0100,
                346,         172.50,       133.0730,      6.4017,      8.5363,      0.0802,      0.0003,
                347,         173.00,       132.7870,      6.4491,      8.4839,      0.0788,      0.0026,
                348,         173.50,       131.5316,      6.4663,      8.3880,      0.0774,      0.0027,
                349,         174.00,       129.2770,      6.4072,      8.2791,      0.0758,      0.0001,
                350,         174.50,       127.5703,      6.3726,      8.2066,      0.0753,      0.0016,
                351,         175.00,       126.7088,      6.3495,      8.1236,      0.0741,      0.0144,
                352,         175.50,       126.8791,      6.3863,      8.1038,      0.0736,      0.0161,
                353,         176.00,       127.0251,      6.4118,      8.0989,      0.0733,      0.0044,
                354,         176.50,       127.8695,      6.4428,      8.1119,      0.0733,      0.0118,
